N	2gram	Potebnia_M	OGranits
1	и в	58	13
2	и его	7	12
3	прежде всего	8	9
4	может быть	47	8
5	и не	34	8
6	не может	30	8
7	в его	7	7
8	и их	6	7
9	точки зрения	8	7
10	таким образом	21	6
11	не только	32	6
12	мы должны	4	6
13	только в	36	6
14	то что	24	6
15	как бы	12	6
16	языка и	20	5
17	хотя бы	4	5
18	с точки	4	5
19	в процессе	1	5
20	все же	11	5
21	в каждом	6	4
22	мы можем	10	4
23	до тех	1	4
24	мы не	17	4
25	то же	13	4
26	еще и	1	4
27	было бы	21	4
28	все это	3	4
29	в сознании	8	4
30	слов и	5	4
31	лишь в	2	4
32	в своей	3	4
33	тех пор	2	4
34	но мы	3	4
35	но в	12	4
36	вопроса о	2	4
37	с этим	11	3
38	что в	34	3
39	к одному	3	3
40	понятно что	1	3
41	и то	4	3
42	только путем	1	3
43	и уже	6	3
44	так и	17	3
45	не как	4	3
46	одно и	1	3
47	в одном	13	3
48	не столько	3	3
49	за пределы	4	3
50	отношению к	13	3
51	по отношению	15	3
52	превращается в	2	3
53	слово в	2	3
54	в их	3	3
55	в ее	2	3
56	самом деле	2	3
57	не в	23	3
58	в которой	5	3
59	что же	3	3
60	и все	6	3
61	общего с	3	3
62	но для	1	3
63	тела и	2	3
64	в себе	22	3
65	так как	29	3
66	языка как	6	3
67	вряд ли	2	3
68	похожим на	1	3
69	я хочу	1	3
70	да и	1	3
71	но и	26	3
72	и для	8	3
73	как и	16	3
74	ничего общего	3	3
75	никогда не	7	3
76	литературного языка	1	2
77	в области	1	2
78	к сожалению	1	2
79	в самом	5	2
80	во всем	5	2
81	нет ничего	2	2
82	что они	6	2
83	того или	1	2
84	может иметь	1	2
85	представим себе	1	2
86	мы видим	5	2
87	иное как	2	2
88	в данном	1	2
89	мы уже	1	2
90	и этот	1	2
91	а как	3	2
92	в своих	4	2
93	в этом	18	2
94	что иное	2	2
95	и лингвистики	1	2
96	в общем	1	2
97	случае и	1	2
98	fuerit in	1	2
99	на язык	7	2
100	человеческой речи	6	2
101	которое мы	5	2
102	в языке	36	2
103	с одной	7	2
104	в произведении	1	2
105	мог бы	5	2
106	в течение	2	2
107	которое может	2	2
108	входит в	1	2
109	для себя	4	2
110	наконец в	1	2
111	и при	6	2
112	одной стороны	6	2
113	и должно	2	2
114	который мы	2	2
115	роль в	1	2
116	в другом	3	2
117	мы считаем	1	2
118	при этом	17	2
119	несмотря на	5	2
120	между тем	7	2
121	в полном	2	2
122	для него	13	2
123	nihil est	1	2
124	только его	1	2
125	в этот	1	2
126	и тем	5	2
127	и может	5	2
128	те же	4	2
129	связанные с	3	2
130	из единства	1	2
131	ее в	1	2
132	не исчерпывается	2	2
133	в том	38	2
134	с этой	3	2
135	в тех	1	2
136	в отношении	1	2
137	но такое	2	2
138	вслед за	2	2
139	другой стороны	7	2
140	представлений и	1	2
141	сознания и	2	2
142	не что	2	2
143	но так	1	2
144	не на	3	2
145	отношений между	5	2
146	от этого	2	2
147	так же	7	2
148	думать что	6	2
149	в них	7	2
150	самого начала	5	2
151	а в	11	2
152	в г	2	2
153	связанных с	1	2
154	если бы	23	2
155	мы понимаем	1	2
156	себе что	1	2
157	о языке	3	2
158	от своего	2	2
159	но одно	1	2
160	на две	2	2
161	еще в	1	2
162	в ней	9	2
163	с самого	5	2
164	тем что	15	2
165	истории языка	2	2
166	и др	1	2
167	могут быть	17	2
168	вовсе не	13	2
169	в действительности	6	2
170	между собою	10	2
171	может в	1	2
172	quod non	1	2
173	его на	3	2
174	в связи	2	2
175	имеет место	4	2
176	в зависимости	1	2
177	во всей	1	2
178	с ними	2	2
179	est in	1	2
180	при восприятии	1	2
181	может стать	3	2
182	все эти	3	2
183	с другой	13	2
184	как в	18	2
185	не менее	10	2
186	только ее	1	2
187	нуждается в	2	2
188	явлений и	3	2
189	не имеет	9	2
190	там где	8	2
191	том что	21	2
192	в нем	26	2
193	уже в	5	2
194	и следовательно	4	2
195	языка но	3	2
196	зависимости от	1	2
197	не мог	3	2
198	и случайное	1	2
199	а не	38	2
200	всей своей	1	2
201	в чем	6	2
202	в целом	3	2
203	и ее	1	2
204	тот же	5	2
205	собственно говоря	2	2
206	к тому	5	2
207	есть не	7	2
208	кажется что	1	2
209	слова и	7	2
210	бы в	6	2
211	более того	1	2
212	в оценке	1	1
213	в особенности	1	1
214	его к	3	1
215	гумбольдта и	1	1
216	в некоторых	4	1
217	только одно	1	1
218	сведены к	1	1
219	себе в	2	1
220	как к	1	1
221	в каждой	1	1
222	к которому	5	1
223	и наоборот	10	1
224	переходим к	2	1
225	такой степени	2	1
226	поэтическое произведение	1	1
227	языка в	6	1
228	состоит не	1	1
229	находятся в	3	1
230	своего конкретного	1	1
231	то он	2	1
232	не нашел	1	1
233	несомненно что	2	1
234	не зная	3	1
235	ее и	1	1
236	о влиянии	1	1
237	одно другим	1	1
238	зрения и	7	1
239	для всех	6	1
240	находит свое	1	1
241	быть сведены	1	1
242	только к	1	1
243	и других	6	1
244	представителей этой	1	1
245	один из	2	1
246	как ни	1	1
247	движение может	1	1
248	перейти в	1	1
249	и здесь	1	1
250	бы несколько	2	1
251	вообще в	1	1
252	равно и	2	1
253	образом мы	3	1
254	уже из	1	1
255	приближается к	2	1
256	что язык	18	1
257	то это	8	1
258	может перейти	1	1
259	отличие от	1	1
260	одном случае	1	1
261	в последнем	2	1
262	вопрос о	5	1
263	слово но	1	1
264	как же	1	1
265	что мы	11	1
266	на этом	3	1
267	к слову	1	1
268	этим путем	1	1
269	они не	5	1
270	которую мы	1	1
271	языке и	2	1
272	на нем	1	1
273	не имеют	7	1
274	мысль что	6	1
275	только что	4	1
276	которая как	1	1
277	даже и	4	1
278	соединяются в	2	1
279	же объясняется	1	1
280	ее на	1	1
281	как средство	2	1
282	которые не	5	1
283	языка что	2	1
284	указать на	1	1
285	должно быть	9	1
286	того как	12	1
287	если он	1	1
288	чужого языка	1	1
289	самое образование	1	1
290	в самых	2	1
291	о значении	1	1
292	разных местах	1	1
293	есть создание	4	1
294	говоря и	1	1
295	на том	2	1
296	есть одно	1	1
297	не имеющие	1	1
298	такого рода	1	1
299	это все	1	1
300	но при	3	1
301	эти слова	1	1
302	более или	6	1
303	к разрешению	1	1
304	внимание на	3	1
305	углубляться в	1	1
306	потому что	89	1
307	должны быть	11	1
308	не сумеет	1	1
309	и остаются	1	1
310	языка от	1	1
311	от первого	1	1
312	но даже	2	1
313	возможностью и	1	1
314	того чтобы	4	1
315	и если	6	1
316	бы по	1	1
317	же как	1	1
318	между отдельными	1	1
319	конечно если	1	1
320	бы мы	1	1
321	и более	3	1
322	но такая	2	1
323	мы имеем	1	1
324	и у	3	1
325	не должно	2	1
326	ту же	1	1
327	в человеческом	3	1
328	для того	8	1
329	явления природы	1	1
330	совсем не	1	1
331	тому как	8	1
332	тому что	4	1
333	все то	2	1
334	и дает	1	1
335	есть его	1	1
336	быть не	7	1
337	это заставляет	1	1
338	и должна	1	1
339	к новым	2	1
340	чувствуем что	1	1
341	философской системы	1	1
342	нам могут	1	1
343	без знания	1	1
344	intellectu quod	1	1
345	как выражение	1	1
346	его и	1	1
347	близкий к	1	1
348	не всегда	2	1
349	в своем	3	1
350	в разных	2	1
351	или же	7	1
352	и тогда	2	1
353	наблюдения над	1	1
