N	3gram	Medvedev_F	Morfolog
1	и т д	11	60
2	мы видим что	1	11
3	в этом случае	1	10
4	не может быть	11	9
5	в связи с	9	9
6	таким образом мы	1	7
7	по отношению к	4	7
8	с точки зрения	17	6
9	тем не менее	2	6
10	связи с этим	4	5
11	как мы увидим	3	5
12	с другой стороны	4	5
13	а также и	1	5
14	в том что	3	4
15	на самом деле	7	4
16	не могут быть	4	4
17	к тому что	3	4
18	но все же	2	4
19	в большинстве случаев	5	3
20	в собственном смысле	1	3
21	как и в	1	3
22	для того чтобы	3	3
23	и пр и	4	3
24	в настоящее время	11	3
25	бы то ни	4	3
26	мы приходим к	1	3
27	состоит в том	1	3
28	в том случае	2	3
29	и пр то	1	2
30	образом мы приходим	1	2
31	мы увидим что	1	2
32	более или менее	7	2
33	том случае если	1	2
34	не что иное	1	2
35	это и не	1	2
36	в данном случае	2	2
37	мы имеем в	1	2
38	при помощи которой	1	2
39	и в других	1	2
40	то ни было	1	2
41	то же происходит	1	2
42	не входит в	1	2
43	а вовсе не	2	2
44	во всяком случае	6	2
45	и пр он	1	2
46	что иное как	1	2
47	к вопросу о	1	2
48	с одной стороны	5	2
49	в этом отношении	7	2
50	вне связи с	1	2
51	может быть и	4	2
52	привести в систему	1	1
53	нисколько не меняет	1	1
54	существу вовсе не	1	1
55	есть не что	1	1
56	в свою очередь	6	1
57	могут быть названы	1	1
58	и пр чем	1	1
59	мы уже знаем	1	1
60	в других случаях	1	1
61	как один из	2	1
62	вслед за этим	1	1
63	в первом и	1	1
64	в применении к	4	1
65	до известной степени	3	1
66	то что он	1	1
67	отношению к этой	1	1
68	и может быть	1	1
69	и многие другие	1	1
70	быть поняты без	1	1
71	бы сказать что	1	1
72	какого бы то	1	1
73	т е на	1	1
74	что и другие	1	1
75	в чем же	1	1
76	он не дает	1	1
77	как это делается	1	1
78	она должна быть	1	1
79	самом деле в	1	1
80	не дают никаких	1	1
81	если же они	1	1
82	т е он	1	1
83	таким образом во	1	1
84	а не по	1	1
85	что же касается	1	1
86	она могла бы	1	1
87	с этой точки	1	1
88	т е все	1	1
89	может войти в	2	1
90	точки зрения их	2	1
91	только в том	1	1
92	можно говорить лишь	1	1
93	один из важнейших	1	1
94	будет зависеть от	1	1
95	не оказывает никакого	1	1
96	во что бы	3	1
97	более и более	3	1
98	в то же	13	1
99	но они не	1	1
100	перейти к разработке	1	1
101	тех или иных	1	1
102	может быть заменено	1	1
103	со всеми другими	1	1
104	на этот вопрос	1	1
105	единого принципа в	1	1
106	в таком случае	1	1
107	находится еще в	1	1
108	и пр все	2	1
109	каковы будут эти	1	1
110	всего возникает вопрос	1	1
111	в противном случае	2	1
112	что бы то	3	1
113	до сих пор	7	1
114	все же в	1	1
115	все более и	3	1
116	дело обстоит не	1	1
117	прежде всего возникает	1	1
118	могут быть поняты	1	1
119	же время и	2	1
120	с помощью этого	1	1
121	иметь в виду	1	1
122	в нашу задачу	1	1
123	совсем не так	2	1
124	можно указать на	1	1
125	все эти вопросы	1	1
126	сама создает новые	1	1
127	следует сказать что	1	1
128	так как они	1	1
129	вместо того чтобы	1	1
130	прежде всего и	1	1
131	в этой области	1	1
132	но это бывает	1	1
133	то во всяком	1	1
134	во всех этих	1	1
135	в том или	1	1
136	и в нашем	1	1
137	точки зрения его	1	1
138	с самого начала	2	1
139	имеют отношение к	1	1
140	что в основе	1	1
141	в точном смысле	1	1
142	сам он не	1	1
143	по существу и	1	1
144	в высшей степени	4	1
145	но в этом	2	1
146	не может войти	2	1
147	если она есть	1	1
148	этой точки зрения	1	1
149	между тем в	1	1
150	на каком материале	1	1
151	и там где	1	1
152	мы увидим дальше	1	1
153	лишь постольку поскольку	1	1
154	сюда же относятся	1	1
155	и до известной	1	1
156	это значит что	1	1
157	и в какой	2	1
158	в целом и	1	1
159	между прочим и	1	1
160	то что они	1	1
161	то же время	13	1
162	является одним из	1	1
163	что и в	2	1
164	каким образом они	1	1
165	и как таковой	1	1
166	мы не можем	3	1
167	в сущности вовсе	1	1
168	по тем же	1	1
169	хотя и здесь	1	1
170	и в этой	2	1
171	если же он	1	1
172	было бы сказать	1	1
173	эти две формы	1	1
174	то ни стало	4	1
