N	3gram	Bakhtin_Pr	Analitik
1	в том что	6	25
2	не может быть	8	19
3	по отношению к	5	18
4	в то же	8	16
5	о том что	3	15
6	в данном случае	1	14
7	в отличие от	1	14
8	то же время	8	14
9	той или иной	2	14
10	к тому же	1	13
11	мы имеем дело	1	11
12	с другой стороны	3	9
13	по крайней мере	2	9
14	состоит в том	1	8
15	с точки зрения	13	8
16	как и в	4	8
17	не только в	1	8
18	в этом отношении	1	8
19	в свое время	4	7
20	в таком случае	1	7
21	во всяком случае	1	7
22	что иное как	1	7
23	тем не менее	2	6
24	так или иначе	1	6
25	не что иное	1	6
26	в той или	1	5
27	есть не что	1	5
28	но и в	2	5
29	в этом случае	1	5
30	имеем дело с	1	5
31	все той же	1	4
32	тех или иных	2	4
33	и тем самым	1	4
34	в соответствии с	2	4
35	в равной степени	1	4
36	и не может	6	4
37	и в этом	1	4
38	большей или меньшей	6	4
39	на себя внимание	2	4
40	в этом смысле	5	4
41	сама по себе	2	4
42	и тот же	1	3
43	и то что	1	3
44	хотя бы и	2	3
45	дело не в	1	3
46	в том числе	15	3
47	далеко не всегда	1	3
48	как бы не	1	3
49	сами по себе	1	3
50	в зависимости от	3	3
51	не в самом	1	3
52	как нам кажется	1	3
53	а не в	1	3
54	в связи с	1	3
55	то же самое	1	3
56	как раз и	1	3
57	то есть в	5	3
58	и в самом	1	3
59	можно сказать что	6	3
60	в соответствии со	1	3
61	и той же	1	3
62	включает в себя	1	3
63	дело в том	3	3
64	одной и той	1	3
65	что он не	1	2
66	в применении к	1	2
67	они сопоставлены или	1	2
68	но в таком	1	2
69	в самом наличии	1	2
70	литературе нового времени	2	2
71	самом наличии определенных	1	2
72	более или менее	3	2
73	можно было бы	2	2
74	друг с другом	6	2
75	в широком смысле	2	2
76	до сих пор	8	2
77	углом они сопоставлены	1	2
78	высказывания то есть	1	2
79	в обоих случаях	1	2
80	смысле этого слова	2	2
81	и прежде всего	5	2
82	определенных языковых стилей	1	2
83	и то же	1	2
84	наличии определенных языковых	1	2
85	как если бы	1	2
86	к тому что	1	2
87	это своего рода	2	2
88	один из трех	1	2
89	и в сущности	2	2
90	в том под	1	2
91	в этих случаях	1	2
92	они могут быть	1	2
93	вместе с ним	1	2
94	никогда не бывает	1	2
95	на то что	2	2
96	том под каким	1	2
97	противопоставлены в произведении	1	2
98	один и тот	1	2
99	здесь как и	1	2
100	с самим собою	6	2
101	того и другого	2	2
102	языковых стилей социальных	1	2
103	диалогическим углом они	1	2
104	а между тем	2	2
105	на этот вопрос	1	2
106	каким диалогическим углом	1	2
107	в одной из	1	2
108	как и на	1	2
109	одно и то	1	2
110	но в то	3	2
111	по своей природе	3	2
112	сопоставлены или противопоставлены	1	2
113	с самим собой	1	2
114	тем или иным	1	2
115	или противопоставлены в	1	2
116	под каким диалогическим	1	2
117	стилей социальных диалектов	1	2
118	прежде всего в	1	2
119	нет и не	3	2
120	обойтись без другого	1	1
121	время оно и	1	1
122	потому что я	1	1
123	рассказчика слово здесь	1	1
124	всей своей полноте	1	1
125	и он сам	1	1
126	как и во	1	1
127	в дальнейшем мы	1	1
128	на всех последующих	1	1
129	и на всех	1	1
130	принадлежат к числу	1	1
131	и вся его	1	1
132	в жанровом отношении	4	1
133	и к себе	1	1
134	всякое высказывание в	1	1
135	при всей их	2	1
136	и даже не	1	1
137	а не к	1	1
138	в той же	1	1
139	мы видим что	1	1
140	и наконец в	2	1
141	в одном слове	1	1
142	здесь и теперь	1	1
143	в пределах одной	1	1
144	в карнавале все	1	1
145	всегда и во	1	1
146	с собой он	1	1
147	в себя и	1	1
148	да еще и	2	1
149	вследствие чего она	1	1
150	как и его	1	1
151	что уже на	1	1
152	еще раз что	2	1
153	или иной форме	1	1
154	новый модус взаимоотношений	1	1
155	и т.п если	1	1
156	отношение между ними	1	1
157	в системе языка	1	1
158	и во всех	3	1
159	в каждом из	3	1
160	влияние на все	1	1
161	было и не	1	1
162	все еще не	1	1
163	модус взаимоотношений человека	1	1
164	в самом его	1	1
165	по своей жанровой	2	1
166	по отношению ко	1	1
167	друг от друга	2	1
168	видеть в ней	1	1
169	не совпадает с	1	1
170	молодого человека в	1	1
171	но они не	1	1
172	дальнейшем мы будем	1	1
173	достигает своего апогея	1	1
174	сказать что жанр	1	1
175	провозглашает веселую относительность	1	1
176	зрения исторической поэтики	1	1
177	то есть предполагает	1	1
178	преломление авторского замысла	1	1
179	главного героя и	1	1
180	случаев мы имеем	1	1
181	из них в	2	1
182	еще и до	1	1
183	именно потому что	1	1
184	те же самые	1	1
185	хотя и в	2	1
186	к своему собственному	1	1
187	он ничего не	1	1
188	в отношении к	2	1
189	в конце концов	1	1
190	я и мир	1	1
191	и вместе с	1	1
192	человека и его	3	1
193	в этом мире	1	1
194	а потому и	1	1
195	к себе внимание	1	1
196	нет ничего что	1	1
197	во всей своей	1	1
198	словам того же	1	1
199	а затем и	1	1
200	слове рассказчика слово	1	1
201	и даже отчасти	1	1
202	чем иным как	1	1
203	и тем же	1	1
204	и т.п и	1	1
205	времени как бы	1	1
206	мы и будем	1	1
207	вольный фамильярный контакт	2	1
208	выходит за пределы	1	1
209	вся его жизнь	1	1
210	перед нами два	1	1
211	каждом из них	2	1
212	то есть без	1	1
213	в себе оба	2	1
214	все же не	1	1
215	лицом к лицу	1	1
216	на самом же	2	1
217	или во всяком	1	1
218	и т.п все	2	1
219	носит в себе	1	1
220	у шекспира и	1	1
221	если в самом	1	1
222	ведь это не	1	1
223	замысла в слове	1	1
224	внешней и внутренней	2	1
225	и позволяет говорить	1	1
226	собственном смысле слова	1	1
227	и вступает в	1	1
228	в одном из	1	1
229	что могло бы	2	1
230	а как бы	1	1
231	взаимоотношений человека с	1	1
232	изо всей силы	1	1
233	почти вовсе не	2	1
234	но прежде всего	1	1
235	так как если	1	1
236	уже в доме	1	1
237	не в его	1	1
238	но не может	1	1
239	человека с человеком	3	1
240	то есть на	1	1
241	с этим можно	1	1
242	самом же деле	2	1
243	в большинстве случаев	9	1
244	и одновременно его	1	1
245	личности и его	1	1
246	под углом зрения	3	1
247	а вместе с	1	1
248	и может быть	1	1
249	но при этом	1	1
250	имеем в виду	3	1
251	но дело в	1	1
252	всех последующих этапах	1	1
253	не было и	1	1
254	конечно далеко не	1	1
255	жанровой формы и	1	1
256	выходят за пределы	2	1
257	тем более на	1	1
