N	4gram	Tiupa_Narr	Myslijsy
1	в то же время	3	13
2	одного и того же	1	9
3	один и тот же	1	4
4	не что иное как	2	4
5	дело в том что	1	4
6	в том что он	1	3
7	в том что оно	1	3
8	с этой точки зрения	1	3
9	состоит в том что	2	2
10	бы то ни было	3	2
11	той мере в какой	1	1
12	именно в том что	2	1
13	в той мере в	1	1
14	вовсе не то что	1	1
15	есть нечто большее а	1	1
16	следует иметь в виду	1	1
17	имеем дело не с	1	1
18	но это не так	1	1
19	же как и в	1	1
20	друг с другом и	1	1
21	мы имеем дело не	1	1
22	в том что именно	1	1
23	сам по себе а	1	1
24	то по крайней мере	1	1
25	не подлежит сомнению и	1	1
26	бы он ни был	1	1
27	но само по себе	1	1
28	в том числе и	4	1
29	сами по себе они	1	1
30	по отношению к нему	1	1
31	предполагает с одной стороны	1	1
32	из уст в уста	1	1
33	мы имеем дело с	1	1
34	точно так же как	2	1
35	есть не что иное	1	1
