N	4gram	Propp_Morf	StatiiOP
1	в то же время	1	9
2	и т д но	4	6
3	в то время как	3	5
4	на то что в	1	4
5	это не значит что	2	3
6	не имеет ничего общего	1	3
7	в том что он	1	3
8	и тем не менее	2	3
9	состоит в том что	3	2
10	сомневаться в том что	1	2
11	с точки зрения их	1	2
12	и т д и	1	2
13	вопрос о том кто	1	2
14	все более и более	1	2
15	бы то ни было	2	2
16	и т д как	4	1
17	это не всегда так	1	1
18	то же можно сказать	1	1
19	с точки зрения его	1	1
20	во что бы то	1	1
21	точно так же и	1	1
22	и т д в	2	1
23	лишь на то что	1	1
24	только в том случае	1	1
25	действующих лиц по их	1	1
26	но это еще не	1	1
27	не может быть и	1	1
28	с этой точки зрения	1	1
29	что бы то ни	1	1
30	в связи с этим	4	1
31	же из этого может	1	1
32	ответить на вопрос что	1	1
33	бы они ни были	1	1
34	а на самом деле	1	1
35	с этим может быть	1	1
36	вряд ли можно сомневаться	1	1
37	как бы они ни	1	1
38	одно и то же	1	1
39	ли можно сомневаться в	1	1
40	его и т д	1	1
41	связи с этим стоит	1	1
42	бы то ни стало	1	1
43	до сих пор не	1	1
44	можно сомневаться в том	1	1
45	приводит к тому что	1	1
46	и т д все	1	1
47	говорить о том что	2	1
48	у нас но и	1	1
49	что же из этого	1	1
50	к тому что в	1	1
