N	4gram	Trubetskoy	Tvorches
1	в то же время	2	24
2	дело в том что	1	4
3	и не может быть	1	3
4	нет и не может	1	2
5	в том числе и	1	2
6	заключается в том что	3	2
7	только в этом случае	1	1
8	но для того чтобы	1	1
9	каких бы то ни	1	1
10	почти ничего общего с	1	1
11	одного и того же	3	1
12	заключалось в том что	1	1
13	лишь в том что	3	1
14	мы уже говорили что	1	1
15	в том и другом	1	1
16	до сих пор еще	1	1
17	бы то ни было	3	1
18	в целом ряде случаев	1	1
19	и в конце концов	1	1
20	и в том же	1	1
21	в том же направлении	1	1
