N	3gram	Bakhtin_KF	Sovremen
1	мы не можем	1	6
2	с точки зрения	10	5
3	в зависимости от	1	4
4	не может быть	11	4
5	не может не	1	3
6	в свою очередь	1	2
7	то же самое	1	2
8	во всяком случае	1	2
9	тем не менее	2	2
10	времени и пространства	1	2
11	не подлежит сомнению	1	2
12	в настоящее время	1	2
13	может быть и	1	2
14	и мы получим	1	1
15	он может быть	2	1
16	том случае когда	1	1
17	по самому своему	1	1
18	не было бы	3	1
19	смысле можно говорить	1	1
20	то ни было	2	1
21	и ни в	2	1
22	не может дать	2	1
23	в том что	2	1
24	и именно в	1	1
25	один и тот	3	1
26	но все эти	3	1
27	на самом деле	3	1
28	но это уже	2	1
29	до сих пор	1	1
30	мы говорим о	2	1
31	в целом может	1	1
32	влечет за собой	1	1
33	может быть таким	1	1
34	и тот же	3	1
35	одна и та	2	1
36	и та же	2	1
37	ни в один	1	1
38	как бы два	1	1
39	и все же	1	1
40	может быть в	3	1
41	но только не	1	1
42	дело в том	1	1
43	в том случае	1	1
44	между ним и	1	1
45	той или иной	2	1
46	можно говорить об	1	1
47	и во всех	1	1
48	равно как и	1	1
49	заключать в себе	1	1
50	принципиально не может	2	1
51	ничего общего не	2	1
52	в конечном счете	1	1
53	когда мы говорим	1	1
54	жизни вообще и	1	1
55	в известном смысле	1	1
56	в одном случае	1	1
57	то же время	2	1
58	не в том	1	1
59	играть в нем	1	1
60	этом смысле можно	1	1
61	по отношению к	22	1
62	и может быть	2	1
63	общего не имеет	1	1
64	в то же	2	1
65	бы то ни	2	1
66	но отнюдь не	1	1
67	и в этом	3	1
68	ведь это не	1	1
69	же самое что	1	1
70	в этом смысле	3	1
71	и в то	1	1
72	в себе в	1	1
73	ровно ничего не	1	1
74	раз и навсегда	2	1
75	может быть только	7	1
