N	3gram	Medvedev_F	VerxiiNi
1	вместе с тем	5	8
2	с одной стороны	5	7
3	с точки зрения	17	6
4	во всяком случае	6	6
5	по крайней мере	1	5
6	до сих пор	7	5
7	для того чтобы	3	5
8	в том числе	1	5
9	более или менее	7	5
10	том числе и	1	4
11	но все же	2	4
12	в том что	3	3
13	в конце концов	2	3
14	так же как	1	3
15	в связи с	9	3
16	тем не менее	2	3
17	так или иначе	1	3
18	ничего общего с	2	2
19	с тем и	2	2
20	между этими двумя	2	2
21	то что он	1	2
22	таким образом в	1	2
23	с самого начала	2	2
24	может быть даже	1	2
25	то или иное	1	2
26	но вместе с	1	2
27	то ни было	1	2
28	этой точки зрения	1	2
29	так и от	1	2
30	на русской почве	1	2
31	по сравнению с	1	2
32	бы то ни	4	2
33	в этом отношении	7	2
34	то же время	13	2
35	в то же	13	2
36	влечет за собой	1	2
37	с этой точки	1	2
38	и в этом	6	2
39	может быть и	4	2
40	сами по себе	4	1
41	в своем целом	2	1
42	и конечно не	1	1
43	так и в	6	1
44	и некоторые другие	1	1
45	но при этом	1	1
46	может показаться что	1	1
47	в этот период	1	1
48	особенно важное значение	1	1
49	все более и	3	1
50	в свою очередь	6	1
51	так обстоит дело	1	1
52	в настоящее время	11	1
53	не только не	2	1
54	чуть ли не	1	1
55	иметь в виду	1	1
56	смысле этого слова	4	1
57	от нее не	1	1
58	но если в	1	1
59	может и не	1	1
60	но в то	3	1
61	в то что	1	1
62	в этой области	1	1
63	но для этого	1	1
64	тем что в	1	1
65	мы видим что	1	1
66	до известной степени	3	1
67	не может быть	11	1
68	по отношению к	4	1
69	и в то	4	1
70	в данном случае	2	1
71	мы имеем в	1	1
72	в том или	1	1
73	и в общем	1	1
74	в отличие от	2	1
75	а отчасти и	3	1
76	же что и	1	1
77	лишь в этом	1	1
78	а не как	1	1
79	в этой роли	1	1
80	общем можно сказать	1	1
81	до настоящего времени	3	1
82	в смысле общего	1	1
83	культуры и здесь	1	1
84	говорить не приходится	2	1
85	и действительно если	1	1
86	что касается до	1	1
87	все дальнейшее развитие	1	1
88	не может не	1	1
89	имеем в виду	1	1
90	сам он не	1	1
91	с тем что	3	1
92	из себя как	1	1
93	том или ином	1	1
94	его с другими	1	1
95	в широком смысле	2	1
96	что связано с	1	1
97	в самом деле	5	1
98	в таком случае	1	1
99	в общих чертах	1	1
100	лишь постольку поскольку	1	1
101	в этом процессе	2	1
102	состоит в том	1	1
103	только то что	1	1
104	без остатка в	1	1
105	для этого в	1	1
106	и в этой	2	1
107	можно говорить лишь	1	1
108	с другой стороны	4	1
109	но тем не	1	1
110	именно в эту	1	1
111	не в том	3	1
112	при этом не	2	1
113	более и более	3	1
114	но они не	1	1
115	что и в	2	1
116	а с точки	1	1
117	сменяют друг друга	2	1
118	в эту сторону	1	1
119	в общем можно	1	1
120	но не с	1	1
121	в этом последнем	1	1
122	и требует от	1	1
123	и здесь не	2	1
