N	4gram	Ircho_Kome	DiskursI
1	в то же время	5	8
2	состоит в том что	1	7
3	в том что в	1	3
4	не говоря уже о	4	3
5	в том числе и	1	3
6	в том случае если	1	2
7	в тех случаях когда	1	2
8	одних и тех же	1	2
9	бы то ни было	4	2
10	какую бы то ни	1	1
11	в том что ни	1	1
12	не что иное как	1	1
13	о том что на	1	1
14	не следует упускать из	1	1
15	только в том случае	1	1
16	ни в чем не	1	1
17	с другой стороны в	1	1
18	в том что они	1	1
19	в самых общих чертах	1	1
20	к одному и тому	1	1
21	в том что он	4	1
22	мы имеем дело с	1	1
23	что у него в	1	1
24	мы ничего не знаем	1	1
25	и представляет его себе	1	1
26	и даже не только	1	1
27	одному и тому же	1	1
28	до нас не дошли	1	1
29	и каждый из них	1	1
