N	3gram	Berdyaev_O	Literetu
1	в том что	1	21
2	не может быть	2	11
3	о том что	1	10
4	в этом отношении	1	10
5	прежде всего в	1	5
6	и прежде всего	1	4
7	и то что	1	4
8	в самом деле	1	3
9	на то что	1	3
10	как например в	1	3
11	во всяком случае	1	3
12	в самом начале	1	2
13	для того чтобы	3	2
14	не так как	1	2
15	в другом месте	1	2
16	а не только	1	2
17	но и в	2	2
18	так и не	1	2
19	и в самом	1	2
20	в виду не	1	2
21	все та же	1	2
22	до самого конца	2	1
23	жизни а не	1	1
24	никогда и нигде	1	1
25	и когда он	1	1
26	у достоевского всегда	1	1
27	может быть назван	1	1
28	как будто бы	1	1
29	это должно быть	1	1
30	нет ничего кроме	2	1
31	одно из самых	1	1
32	то что в	1	1
33	в частности может	1	1
34	что человек всегда	1	1
35	не в том	1	1
36	в русской и	1	1
37	потому что в	1	1
38	к человеку и	4	1
39	которой в другом	1	1
40	но он и	1	1
41	том что в	1	1
42	как и других	1	1
43	у него не	2	1
44	о том как	1	1
45	не в силах	1	1
46	преступления и наказания	1	1
47	и в том	1	1
48	а не в	2	1
49	и в этом	2	1
50	после того как	1	1
51	во имя свободы	1	1
52	в россии в	1	1
53	как бы в	1	1
54	он говорит в	1	1
55	может быть он	1	1
56	человеческого духа в	1	1
57	он придет и	1	1
58	человека в этом	1	1
59	хотя и не	1	1
60	в этих словах	1	1
61	ни с какой	1	1
62	он и не	1	1
63	в своей глубине	1	1
64	о которой в	1	1
65	не могут быть	2	1
66	и не может	1	1
67	само по себе	1	1
