N	4gram	Voloshinov	KulturaY
1	в то же время	7	6
2	в зависимости от того	2	4
3	одного и того же	1	4
4	но для того чтобы	2	3
5	в тех случаях когда	2	3
6	не что иное как	2	2
7	одной и той же	4	2
8	и в то же	2	2
9	одних и тех же	1	2
10	в собственном смысле слова	1	2
11	в самом широком смысле	1	2
12	одним и тем же	1	2
13	само по себе не	1	1
14	то что мы в	1	1
15	и к тому что	1	1
16	с нашей точки зрения	1	1
17	и в этом случае	1	1
18	можно было бы говорить	1	1
19	все же и здесь	1	1
20	не говоря уже об	1	1
21	и в голову не	1	1
22	но все же и	1	1
23	же и здесь мы	1	1
24	и то же слово	2	1
25	одно и то же	5	1
26	для того чтобы не	1	1
27	и не может быть	1	1
28	иметь в виду что	1	1
29	как мы видели есть	1	1
30	которое не было бы	1	1
31	в связи с этим	2	1
32	органов речи и как	1	1
33	в плоть и кровь	1	1
34	еще не слова в	1	1
35	одном и том же	2	1
36	к которому он принадлежит	1	1
37	приходится иметь дело не	1	1
38	в одном и том	1	1
39	в самом ли деле	1	1
40	иметь дело не с	1	1
41	тот или иной смысл	1	1
42	только тогда когда мы	1	1
43	в таких словах как	1	1
44	ни на минуту не	1	1
45	если бы нам удалось	1	1
46	есть не что иное	2	1
