N	4gram	Nazirov_Tv	Tragedij
1	в униженных и оскорбленных	2	6
2	в то же время	18	5
3	в записках из мертвого	1	2
4	но в то же	5	2
5	униженных и оскорбленных в	1	2
6	в преступлении и наказании	9	2
7	записках из мертвого дома	1	2
8	то же время с	1	1
9	сновидения в стихах и	1	1
10	неточка незванова прошедшая через	1	1
11	ведет к тому что	1	1
12	в братьях карамазовых не	1	1
13	достоевский в то же	1	1
14	как бы неточка незванова	1	1
15	и не может быть	2	1
16	хотя бы и в	1	1
17	петербургские сновидения в стихах	1	1
18	то же время он	2	1
19	в стихах и прозе	1	1
20	то же время показывает	1	1
21	из униженных и оскорбленных	1	1
22	бы неточка незванова прошедшая	1	1
23	в окончательном тексте в	1	1
24	в романе униженные и	1	1
25	романе униженные и оскорбленные	1	1
26	мечтателя из белых ночей	1	1
27	если так можно выразиться	1	1
28	незванова прошедшая через каторгу	1	1
29	к этой теме в	1	1
30	в году в петербурге	1	1
31	это как бы неточка	1	1
32	и добро и зло	1	1
33	если можно так выразиться	1	1
