N	3gram	Voloshinov	EvropaiC
1	в том что	1	16
2	до сих пор	3	15
3	друг с другом	1	9
4	с точки зрения	6	8
5	для того чтобы	1	7
6	мы знаем что	1	7
7	на самом деле	4	7
8	по сравнению с	3	5
9	в самом деле	2	5
10	не может быть	3	4
11	о том что	2	4
12	совершенно так же	1	4
13	вместе с тем	1	3
14	одного и того	1	3
15	нечего и говорить	2	3
16	так же как	2	3
17	то ни было	1	3
18	в данном случае	1	3
19	и того же	1	3
20	в связи с	1	3
21	бы то ни	1	3
22	рано или поздно	1	2
23	но вместе с	1	2
24	во всяком случае	3	2
25	и может быть	2	2
26	друг на друга	2	2
27	в этих областях	1	2
28	а с другой	1	2
29	в высшей степени	1	2
30	из того же	1	2
31	с одной стороны	1	2
32	роль в развитии	1	1
33	превратив его в	1	1
34	а может быть	1	1
35	в течение своей	1	1
36	все то что	2	1
37	а потом и	1	1
38	мы уже знаем	1	1
39	в более позднее	1	1
40	а на самом	1	1
41	вопрос можно ли	1	1
42	вступают в борьбу	1	1
43	как мы знаем	1	1
44	по крайней мере	3	1
45	основе их лежит	1	1
46	но мы знаем	1	1
47	этой точки зрения	1	1
48	с этой точки	1	1
49	а потому не	1	1
50	в этом и	1	1
51	осталось и следа	1	1
52	каких бы то	1	1
53	дело в том	1	1
54	что рано или	1	1
55	одна на другую	1	1
56	самом деле есть	1	1
57	как мы сказали	1	1
58	можно было бы	1	1
59	мы утверждаем что	1	1
60	а потому и	2	1
61	и таким образом	1	1
62	шаг за шагом	1	1
63	с самого начала	4	1
64	уже знаем что	1	1
65	в борьбу с	1	1
66	на наших глазах	1	1
67	на первый взгляд	1	1
68	то же самое	1	1
69	во всем мире	1	1
70	по его мнению	1	1
71	таким образом и	1	1
72	все эти понятия	1	1
73	сих пор еще	1	1
74	в основе их	1	1
75	теперь мы должны	1	1
76	не осталось и	1	1
77	между собою в	1	1
78	более позднее время	1	1
