N	2gram	Losev_Vlad	Istorich
1	и в	56	181
2	и т	3	160
3	т д	3	142
4	может быть	12	115
5	не только	35	114
6	что он	22	111
7	мы имеем	2	102
8	что в	24	90
9	но и	26	85
10	в этом	30	81
11	так как	11	75
12	то что	30	73
13	таким образом	6	72
14	вместе с	9	71
15	и не	33	67
16	все же	11	65
17	в этих	5	64
18	еще не	2	63
19	не может	12	61
20	так же	4	57
21	то же	10	56
22	никогда не	15	56
23	в том	26	53
24	том что	22	53
25	а в	20	52
26	с другой	3	52
27	потому что	16	52
28	и что	11	51
29	и здесь	3	51
30	что и	6	51
31	мы видели	1	49
32	а не	5	48
33	о том	13	48
34	связь с	1	47
35	его в	3	47
36	не в	12	47
37	другой стороны	3	46
38	и пр	1	44
39	мы должны	3	44
40	но в	19	44
41	это не	3	43
42	и его	12	43
43	мы знаем	5	42
44	в нем	7	42
45	только в	11	42
46	как в	6	42
47	представление о	2	41
48	или в	1	39
49	тем что	2	38
50	и на	7	38
51	в его	18	38
52	для нас	9	38
53	как и	7	37
54	уже не	6	37
55	мы уже	8	37
56	он не	13	37
57	что здесь	2	37
58	так и	11	37
59	знаем что	2	36
60	мы увидим	4	36
61	мы можем	1	36
62	что они	4	35
63	с тем	4	35
64	мы не	2	35
65	здесь мы	4	35
66	все эти	6	35
67	связи с	7	34
68	но не	5	34
69	а именно	4	34
70	у него	28	34
71	во время	4	34
72	что это	2	34
73	представления о	1	33
74	об этом	13	33
75	в качестве	7	32
76	один из	4	31
77	прежде всего	5	31
78	то это	4	31
79	так в	1	31
80	представляет собой	1	31
81	ничего не	4	31
82	с этим	3	30
83	с одной	1	30
84	в русской	1	30
85	в египте	3	30
86	к нему	6	30
87	при помощи	1	30
88	этом случае	1	29
89	но все	3	29
90	одной стороны	1	29
91	как мы	17	29
92	но это	6	29
93	и другие	2	28
94	что она	2	28
95	и с	27	28
96	например в	1	28
97	так что	13	27
98	того что	6	27
99	как он	4	27
100	как это	11	26
101	на него	3	26
102	мы здесь	2	26
103	и др	1	26
104	в ней	5	26
105	в брак	1	25
106	вопрос о	1	25
107	в дальнейшем	10	25
108	и он	7	25
109	не менее	9	24
110	видно что	5	24
111	к этому	11	24
112	было бы	7	24
113	раньше чем	1	24
114	того как	2	24
115	в виде	4	24
116	если бы	2	24
117	что мы	2	24
118	представлений о	1	23
119	их в	3	23
120	в доме	7	23
121	как бы	5	23
122	точно так	2	23
123	и это	4	23
124	тем не	8	23
125	в этой	4	23
126	не будем	3	23
127	все это	7	23
128	когда он	6	23
129	в частности	4	23
130	и по	10	22
131	с ним	10	22
132	при этом	5	22
133	в одном	2	21
134	сказать что	14	21
135	в связи	9	21
136	здесь не	6	21
137	к тому	5	21
138	они не	1	21
139	ее в	1	21
140	из них	3	20
141	из этих	5	20
142	она не	3	20
143	наряду с	1	20
144	одна из	1	20
145	в других	1	20
146	очень часто	2	20
147	в силу	1	20
148	видели что	1	20
149	другими словами	1	20
150	так например	3	19
151	что у	4	19
152	на том	1	19
153	но он	7	19
154	в тех	3	19
155	в другой	1	19
156	есть и	1	19
157	все еще	1	19
158	на то	7	19
159	и как	7	19
160	после того	2	19
161	в дом	1	18
162	после этого	2	18
163	в то	15	18
164	что этот	4	18
165	в данном	1	18
166	вовсе не	8	18
167	в них	5	17
168	можно найти	1	17
169	очень много	2	17
170	выше мы	3	17
171	том как	1	17
172	то и	3	17
173	по существу	4	17
174	дело не	3	17
175	и только	1	17
176	во всех	4	16
177	возможно что	1	16
178	всех этих	3	16
179	то мы	3	16
180	в котором	10	16
181	между двумя	1	16
182	не вполне	3	16
183	и действительно	3	16
184	и все	8	16
185	со стороны	5	16
186	перед нами	1	16
187	даже в	4	15
188	в особенности	4	15
189	уже знаем	1	15
190	и то	13	15
191	в своей	7	15
192	в которых	1	15
193	его и	2	15
194	в одной	1	15
195	как будто	2	15
196	и даже	23	15
197	на его	7	15
198	детей в	1	15
199	и тем	2	15
200	он в	4	15
201	друг друга	3	15
202	тот кто	1	15
203	в целом	3	15
204	с этой	4	14
205	от него	3	14
206	но мы	3	14
207	по отношению	1	14
208	мы еще	1	14
209	в него	1	14
210	одной из	2	14
211	на вопрос	2	14
212	у нас	11	14
213	его на	4	14
214	но они	1	14
215	на могилу	1	14
216	и есть	2	14
217	из которых	1	14
218	с ней	3	14
219	увидим ниже	5	14
220	с того	2	14
221	должен был	3	14
222	а также	12	14
223	уже видели	1	14
224	отношение к	7	14
225	него и	2	14
226	на себя	3	14
227	и наконец	2	14
228	в своем	10	13
229	на котором	2	13
230	время как	3	13
231	по себе	3	13
232	то время	6	13
233	после смерти	8	13
234	тогда как	1	13
235	и для	4	13
236	в себе	5	13
237	в таких	1	13
238	все что	2	13
239	своего рода	1	13
240	не просто	1	13
241	и у	4	13
242	на этом	3	13
243	и от	6	13
244	с ними	2	13
245	не имеет	2	13
246	к своему	4	13
247	его не	2	13
248	и если	8	13
249	что иное	2	13
250	таким же	1	13
251	во всем	4	12
252	кроме того	12	12
253	попасть в	1	12
254	хотя бы	5	12
255	к себе	2	12
256	а потом	1	12
