N	4gram	Vinokur_St	EvropaiE
1	в то же время	5	14
2	и в то же	1	8
3	бы то ни было	1	4
4	так же как и	1	3
5	в той или иной	1	3
6	заключается в том что	3	2
7	но в то же	2	2
8	каких бы то ни	1	2
9	и та и другая	1	1
10	но как бы ни	1	1
11	то же время не	1	1
12	не только в том	1	1
13	дело в том что	7	1
14	в том числе и	2	1
15	на то что в	2	1
16	как и всякая иная	1	1
17	как бы ни была	1	1
18	том смысле что оно	1	1
19	только в том случае	1	1
20	в то время как	1	1
21	не говоря уже о	2	1
22	с одной стороны в	1	1
23	в том смысле что	2	1
