N	2gram	Losev_Vlad	Dialekti
1	не есть	4	181
2	и не	33	120
3	и т	3	82
4	по себе	3	79
5	а не	5	78
6	и в	56	77
7	т д	3	75
8	точки зрения	4	72
9	может быть	12	71
10	не только	35	66
11	то что	30	59
12	и есть	2	55
13	ничего не	4	54
14	не может	12	53
15	и даже	23	47
16	что это	2	46
17	есть нечто	2	46
18	так как	11	46
19	потому что	16	45
20	не просто	1	44
21	как бы	5	43
22	и что	11	42
23	ни в	4	42
24	не имеет	2	41
25	вовсе не	8	41
26	в том	26	40
27	в этом	30	39
28	то же	10	39
29	что такое	3	39
30	что она	2	38
31	в себе	5	38
32	что он	22	37
33	том что	22	37
34	прежде всего	5	37
35	так что	13	36
36	это не	3	36
37	она есть	1	35
38	что в	24	34
39	в нем	7	34
40	и все	8	33
41	того что	6	33
42	но и	26	32
43	ясно что	2	31
44	все это	7	31
45	сказать что	14	30
46	отнюдь не	3	30
47	и как	7	30
48	было бы	7	29
49	так и	11	29
50	как и	7	28
51	никогда не	15	27
52	крайней мере	1	26
53	не в	12	26
54	по крайней	1	26
55	есть и	1	26
56	говорить о	1	25
57	учение о	2	25
58	и то	13	25
59	и пр	1	25
60	есть только	1	25
61	есть не	1	25
62	но это	6	24
63	если бы	2	24
64	таким образом	6	23
65	в то	15	23
66	это и	2	23
67	и вот	5	23
68	но что	5	22
69	я не	8	22
70	что не	3	21
71	в чем	4	21
72	личности и	2	21
73	она не	3	21
74	и с	27	20
75	о том	13	20
76	что и	6	20
77	что все	2	20
78	в таком	2	20
79	только в	11	20
80	в каком	3	20
81	совершенно не	2	20
82	уже не	6	20
83	как раз	7	20
84	и вообще	12	20
85	в самом	3	19
86	не менее	9	19
87	не существует	1	19
88	в своем	10	19
89	и притом	5	19
90	и это	4	19
91	как это	11	19
92	тогда когда	1	19
93	что мы	2	19
94	и его	12	19
95	же время	7	18
96	хотя бы	5	18
97	не что	2	18
98	с другой	3	18
99	что иное	2	18
100	ни на	1	18
101	что же	11	18
102	жизни и	8	18
103	иное как	2	18
104	в особенности	4	17
105	можно сказать	10	17
106	в сущности	2	17
107	должно быть	1	17
108	он есть	1	17
109	но если	1	17
110	кроме того	12	16
111	то это	4	16
112	одно и	1	16
113	к нему	6	16
114	только не	2	16
115	тем не	8	16
116	или не	1	16
117	сам по	1	16
118	само по	1	16
119	в своей	7	16
120	да и	6	16
121	нет ничего	1	16
122	конечно не	5	16
123	мы не	2	16
124	об этом	13	16
125	другими словами	1	16
126	же и	1	15
127	только что	2	15
128	все же	11	15
129	так же	4	15
130	то в	6	15
131	и мы	6	15
132	несмотря на	7	15
133	мы уже	8	15
134	но только	3	15
135	не мешает	2	15
136	самом деле	1	15
137	хотя и	9	15
138	в виде	4	15
139	личности в	1	15
140	также и	13	15
141	быть и	1	15
142	и о	6	15
143	на то	7	15
144	а именно	4	14
145	даже и	12	14
146	с ним	10	14
147	не было	12	14
148	ни с	6	14
149	жизнь и	3	14
150	на свете	1	14
151	и потому	8	14
152	и только	1	14
153	же это	1	14
154	и к	10	13
155	говорит о	1	13
156	другой стороны	3	13
157	не то	3	13
158	что они	4	13
159	время как	3	13
160	он не	13	13
161	и та	1	13
162	в силу	1	13
163	с ее	1	13
164	но в	19	13
165	мы находим	2	13
166	не могу	2	13
167	в ней	5	13
168	вы не	2	13
169	собственно говоря	4	13
170	именно в	4	12
171	с этим	3	12
172	вопрос о	1	12
173	но как	6	12
174	но не	5	12
175	даже не	3	12
176	иной раз	8	12
177	никак не	6	12
178	не могут	2	12
179	перед нами	1	12
180	еще не	2	12
181	и если	8	12
182	и тогда	1	12
183	и тут	2	12
184	все равно	1	12
185	все эти	6	12
186	тем более	4	12
187	и ни	2	12
188	и жизни	1	12
189	а в	20	12
190	что если	3	11
191	в них	5	11
192	в данном	1	11
193	только на	3	11
194	что я	5	11
195	быть в	1	11
196	не о	1	11
197	и тем	2	11
198	из них	3	11
199	можно только	1	11
200	та же	1	11
201	себе не	2	11
202	от того	2	11
203	мы имеем	2	11
204	или в	1	11
205	нисколько не	4	11
206	его не	2	11
207	мы должны	3	11
208	только то	1	11
209	во всем	4	10
210	в душе	1	10
211	с этой	4	10
212	одно из	1	10
213	в результате	6	10
214	в жизни	4	10
215	веры и	2	10
216	к тому	5	10
217	во всяком	8	10
218	только как	1	10
219	для того	4	10
220	на себе	1	10
221	в меру	2	10
222	это будет	1	10
223	себе и	2	10
224	а потом	1	10
225	только потому	1	10
226	и для	4	10
227	что для	5	10
228	содержит в	1	10
229	за пределы	3	10
230	то и	3	10
231	времени и	1	10
232	наука не	1	10
233	нет ни	1	10
234	в его	18	10
235	в их	2	10
236	это было	9	10
237	е в	7	10
238	в частности	4	10
239	и можно	4	10
240	как мы	17	10
241	бытия и	1	10
242	как будто	2	10
243	и уже	1	10
244	история и	3	9
245	мир как	1	9
246	при этом	5	9
247	тому что	1	9
248	случае не	1	9
249	не как	1	9
250	быть может	1	9
251	в этих	5	9
252	и на	7	9
253	мир и	1	9
254	в котором	10	9
255	в противоположность	1	9
256	в одном	2	9
257	и когда	1	9
258	же тут	1	9
259	точка зрения	1	9
260	и он	7	9
261	мы можем	1	9
262	бы в	1	9
263	на этом	3	9
264	общего с	1	9
265	и по	10	9
266	была бы	1	9
267	больше ничего	1	9
268	с ними	2	9
269	то время	6	9
270	как о	1	9
271	и более	1	9
272	той же	6	9
273	всех этих	3	9
274	и от	6	9
275	как он	4	9
276	в истории	4	9
277	от него	3	8
278	она всегда	2	8
279	даже в	4	8
280	в разных	1	8
281	в отношении	5	8
282	вопрос об	1	8
283	но все	3	8
284	в дальнейшем	10	8
285	вот почему	1	8
286	уже о	3	8
287	чего не	1	8
288	уже и	4	8
289	то как	2	8
290	нет и	2	8
291	себя в	6	8
292	с одной	1	8
293	это мы	5	8
294	по одному	2	8
295	не будет	1	8
296	этом смысле	4	8
297	в этой	4	8
298	или иначе	3	8
299	в одной	1	8
300	один из	4	8
301	и из	5	8
302	есть сама	1	8
303	не на	1	8
304	но вот	4	8
305	ничего общего	1	8
306	когда мы	2	8
307	у меня	3	8
308	при помощи	1	8
309	наука и	2	8
310	необходимым образом	1	8
311	у нас	11	8
312	на самом	1	8
313	бы и	1	8
314	как нечто	2	8
315	– то	1	8
316	и без	2	8
317	но она	4	8
318	все что	2	7
319	мы и	4	7
320	говоря уже	3	7
321	он всегда	2	7
322	тем что	2	7
323	но он	7	7
324	мира и	1	7
325	на первый	4	7
326	об отношении	1	7
327	точно так	2	7
328	как на	2	7
329	думаю что	1	7
330	он сам	3	7
331	что уже	1	7
332	и сама	2	7
333	это конечно	4	7
334	связи с	7	7
335	во внимание	1	7
336	каком случае	1	7
337	в конце	22	7
338	в связи	9	7
339	то ни	2	7
340	с какой	2	7
341	истории и	1	7
342	его как	2	7
343	и ничего	1	7
344	и при	2	7
345	из которых	1	7
346	так или	3	7
347	заключается в	1	7
348	отношения к	4	7
349	как в	6	7
350	со стороны	5	7
351	только одно	4	7
352	в сравнении	2	7
353	и больше	3	7
354	для меня	8	7
355	и об	1	7
356	не потому	1	7
357	что здесь	2	7
358	без всякого	2	7
359	с его	15	7
360	на что	2	7
361	будет ли	1	7
362	очень много	2	7
363	что этот	4	7
364	и я	7	7
365	думать что	1	7
366	не говоря	4	7
367	из этих	5	7
368	тем самым	2	7
369	религии и	1	6
370	можно и	1	6
371	богословия и	1	6
372	о чем	6	6
373	более или	5	6
374	в природе	1	6
375	уже в	9	6
376	а что	3	6
377	я вижу	1	6
378	одной стороны	1	6
379	в себя	1	6
380	когда она	1	6
381	но они	1	6
382	одна из	1	6
383	тут же	7	6
384	во всех	4	6
385	она в	1	6
386	для своего	2	6
387	по своей	4	6
388	в которой	8	6
389	я и	2	6
390	во что	1	6
391	где же	2	6
392	с тем	4	6
393	что нет	1	6
394	ровно никаких	1	6
395	вместе с	9	6
396	никто не	1	6
397	себя и	1	6
398	может не	1	6
399	о котором	2	6
400	еще и	10	6
401	ни к	2	6
402	тотчас же	1	6
403	того чтобы	4	6
404	это все	1	6
405	на основании	3	6
406	имеет никакого	2	6
407	никакого отношения	3	6
408	всяком случае	8	6
409	если только	1	6
410	не будучи	1	6
411	для него	16	6
412	природы и	2	6
413	о нем	9	6
414	они не	1	6
415	того как	2	6
416	того и	3	6
417	сравнении с	2	6
418	ее в	1	6
419	то мы	3	6
420	знания и	3	6
421	и знания	1	6
422	но с	1	6
423	по существу	4	6
424	чтобы быть	1	6
425	может только	2	6
426	и религии	1	6
427	по своему	5	6
428	его в	3	6
429	или менее	5	6
430	и почти	2	6
431	дело не	3	6
432	но я	4	6
433	не с	1	6
434	в науке	3	6
435	на всю	2	6
436	при всем	1	6
437	и часто	3	6
438	отношение к	7	6
439	и прежде	1	6
440	и совершенно	2	6
441	больше того	2	6
442	в той	2	5
443	в своих	7	5
444	если он	1	5
445	например в	1	5
446	что по	1	5
447	их в	3	5
448	даже просто	1	5
449	в это	6	5
450	но мы	3	5
451	об ее	1	5
452	но даже	3	5
453	и той	1	5
454	одной и	1	5
455	и еще	3	5
456	как я	2	5
457	к этому	11	5
458	нет никаких	2	5
459	едва ли	3	5
460	гораздо более	1	5
461	все в	1	5
462	что у	4	5
463	после этого	2	5
464	в качестве	7	5
465	тому же	3	5
466	есть еще	1	5
467	что его	8	5
468	тот кто	1	5
469	личности с	2	5
470	и у	4	5
471	действительности и	1	5
472	на нем	1	5
473	но тут	2	5
474	не раз	5	5
475	независимо от	1	5
476	в него	1	5
477	сказали что	1	5
478	от нее	3	5
479	если в	1	5
480	известно что	2	5
481	почти не	2	5
482	от отца	1	5
483	то я	1	5
484	с целью	1	5
485	учения о	3	5
486	от бога	1	5
487	если это	2	5
488	и так	3	5
489	я должен	2	5
490	это за	1	5
491	в течение	13	5
492	во мне	2	5
493	тех пор	2	5
494	для нее	3	5
495	со всей	1	5
496	отношении к	2	5
497	и во	3	5
498	говорил что	2	5
