N	3gram	Propp_Isto	Formalny
1	с точки зрения	1	40
2	не может быть	6	29
3	на самом деле	1	21
4	то же время	1	20
5	в то же	1	20
6	и т д	36	19
7	в связи с	6	16
8	во всяком случае	1	16
9	по отношению к	2	12
10	в самом деле	1	11
11	так и в	2	11
12	в зависимости от	1	10
13	с другой стороны	10	9
14	для того чтобы	3	8
15	до сих пор	7	8
16	вместе с тем	7	8
17	как мы видели	2	8
18	с одной стороны	7	8
19	в свою очередь	1	7
20	как мы знаем	1	7
21	в том что	4	6
22	с тем что	1	6
23	сам по себе	1	6
24	в данном случае	2	6
25	смысле этого слова	1	6
26	может быть и	1	6
27	одной стороны и	1	5
28	одни и те	1	5
29	в отличие от	1	5
30	и те же	1	5
31	тем не менее	6	4
32	не в том	2	4
33	не могут быть	1	4
34	но все же	6	4
35	а не в	1	4
36	но и в	2	4
37	как и все	1	4
38	подобно тому как	2	4
39	с самого начала	1	4
40	хотя бы в	1	4
41	в нем и	3	4
42	по аналогии с	1	4
43	мы уже знаем	1	3
44	то или иное	1	3
45	в том числе	3	3
46	социальной жизни и	1	3
47	друг с другом	2	3
48	то же что	1	3
49	том числе и	2	3
50	уже знаем что	1	3
51	то же самое	1	3
52	только то что	1	3
53	на первый план	1	3
54	т е к	1	3
55	в том смысле	2	3
56	в том чтобы	2	3
57	потому что он	5	3
58	мы увидим что	1	3
59	в своей работе	1	3
60	в пределах одного	1	3
61	как мы увидим	4	3
62	т е в	6	3
63	а в связи	1	2
64	о том как	4	2
65	том смысле что	1	2
66	том что искусство	1	2
67	т е на	2	2
68	с этой точки	2	2
69	вовсе не в	1	2
70	тот или другой	1	2
71	только тем что	1	2
72	совершенно очевидно что	1	2
73	но при этом	1	2
74	не потому что	2	2
75	иметь в виду	1	2
76	что перед нами	1	2
77	совершенно естественно что	1	2
78	и тем самым	2	2
79	в пределах одной	1	2
80	и в других	1	2
81	в таком случае	1	2
82	из того что	1	2
83	и входит в	1	2
84	в широком смысле	1	2
85	и в том	1	2
86	может быть только	1	2
87	мы видели что	2	2
88	всецело зависит от	1	2
89	и не всегда	1	2
90	в социальной жизни	1	2
91	в это время	2	2
92	этой точки зрения	2	2
93	как и в	4	2
94	как один из	1	2
95	от того что	1	2
96	ничего общего с	1	2
97	на этот вопрос	2	2
98	в одной из	1	2
99	но уже в	2	2
100	так как они	1	2
101	не только в	2	2
102	так же как	10	2
103	мы имеем в	2	2
104	в этом случае	13	2
105	в виду что	1	2
106	же как мы	1	2
107	что в нем	1	2
108	дело не в	1	2
109	что и в	3	2
110	он был бы	1	2
111	что он не	1	1
112	это то что	1	1
113	каждого из них	1	1
114	необходимо отличать от	1	1
115	но вместе с	4	1
116	уже тогда когда	1	1
117	ложные представления о	2	1
118	по себе но	1	1
119	что в его	1	1
120	таким образом между	1	1
121	что в ней	1	1
122	то что он	2	1
123	на задний план	3	1
124	сводится к следующему	1	1
125	в том как	1	1
126	и многие другие	1	1
127	как это делают	1	1
128	бы мы ни	1	1
129	здесь может быть	1	1
130	по сравнению с	1	1
131	в процессе развития	1	1
132	и связанные с	1	1
133	не в формах	1	1
134	влечет за собой	1	1
135	и на этом	1	1
136	он не может	2	1
137	ни к каким	1	1
138	которых идет речь	1	1
139	мы еще не	1	1
140	но в таком	1	1
141	что мы знаем	1	1
142	эти два вида	1	1
143	могут быть найдены	1	1
144	а с точки	1	1
145	в его состав	1	1
146	т д их	1	1
147	должен был получиться	1	1
148	с другой все	1	1
149	и то же	2	1
150	в частности в	1	1
151	смысле в каком	1	1
152	друг на друга	1	1
153	себя в нем	1	1
154	мы подойдем к	1	1
155	мы знаем что	8	1
156	о которых идет	1	1
157	с этой стороны	1	1
158	прежде всего мы	1	1
159	в книге о	1	1
160	прежде всего и	1	1
161	и все эти	1	1
162	и извне и	1	1
163	и вместе с	3	1
164	для нас это	1	1
165	может быть уже	1	1
166	ее так же	1	1
167	что в этом	1	1
168	по себе не	1	1
169	таким образом в	2	1
170	конечно не может	1	1
171	не могло быть	1	1
172	есть не что	1	1
173	может быть названа	1	1
174	все же необходимо	1	1
175	только один из	1	1
176	состоит в том	1	1
177	все эти формы	1	1
178	нее т е	1	1
179	этих и подобных	1	1
180	так как он	2	1
181	это значит что	2	1
182	связанные с ними	1	1
183	быть дана только	1	1
184	изнутри и извне	1	1
185	а не только	1	1
186	но эти случаи	1	1
187	и потому не	1	1
188	а также и	1	1
189	мы видим что	4	1
190	в чистом виде	1	1
191	в этих случаях	7	1
192	могут быть определены	1	1
193	таким образом мы	3	1
194	и тем не	2	1
195	этих случаях особенно	1	1
196	что душа или	1	1
197	со всем что	1	1
198	еще на одну	1	1
199	в ней самой	1	1
200	первый и основной	1	1
201	это может быть	1	1
202	входит в него	1	1
203	быть речи об	1	1
204	между жизнью и	1	1
205	но и здесь	1	1
206	на то что	3	1
207	и может быть	1	1
208	можно утверждать что	1	1
209	мере того как	3	1
210	в целом его	1	1
211	может быть дана	1	1
212	едва ли можно	1	1
213	не имеет никакого	1	1
214	и в особенности	2	1
215	в развитии этого	1	1
216	в этом рассказе	1	1
217	совершенно ясно в	1	1
218	в ней таким	1	1
219	о том что	5	1
220	ясно что это	1	1
221	а иногда и	2	1
222	что он уже	1	1
223	по мере того	3	1
224	они были не	1	1
225	не в своей	1	1
226	мы и здесь	3	1
227	из нее т	1	1
228	их функций в	1	1
229	можно сказать что	1	1
230	и даже в	1	1
231	только в том	1	1
232	знаем что этот	1	1
233	ему в то	1	1
234	в то время	3	1
235	все же не	1	1
236	если мы подойдем	1	1
237	но даже в	1	1
238	но для нас	1	1
239	другой стороны в	1	1
240	не что иное	1	1
241	что иное как	1	1
242	одно и то	2	1
243	том смысле в	1	1
244	но мы видели	1	1
245	в наши задачи	1	1
246	только потому что	1	1
247	что там где	1	1
248	во всех этих	2	1
249	говорит об этом	1	1
250	не менее в	1	1
