N	2gram	Bakhtin_fo	NovoeSre
1	а не	7	17
2	не может	8	16
3	и в	84	16
4	совсем не	4	12
5	и не	19	11
6	и есть	3	10
7	что в	9	9
8	в эпоху	5	9
9	в том	16	8
10	как не	1	8
11	жизни и	12	8
12	он не	6	8
13	в этом	41	7
14	может быть	18	7
15	средние века	4	7
16	в новой	1	7
17	это есть	1	7
18	культуры и	1	7
19	как и	15	7
20	общественной жизни	1	6
21	ни в	9	6
22	не знает	4	6
23	не в	10	6
24	лишь в	8	6
25	от бога	1	6
26	высшей степени	1	6
27	с его	10	6
28	но это	1	6
29	в высшей	1	6
30	никогда не	8	6
31	и к	4	5
32	не только	16	5
33	в ней	4	5
34	все это	10	5
35	в жизни	6	5
36	в нем	28	5
37	с ее	7	5
38	должен быть	2	5
39	культуры в	1	5
40	перестает быть	1	4
41	и потому	4	4
42	и xx	1	4
43	жизни к	1	4
44	по своему	3	4
45	в час	1	4
46	со всех	2	4
47	должно быть	6	4
48	потому что	11	4
49	большую роль	4	4
50	xix и	2	4
51	это не	8	4
52	прежде всего	28	4
53	в них	11	4
54	то что	13	4
55	не было	8	4
56	новое время	1	4
57	и все	10	4
58	всех сторон	2	4
59	не имеет	5	4
60	значит что	2	4
61	и для	12	4
62	эпохи и	1	4
63	о том	4	4
64	во всех	13	3
65	вопрос о	2	3
66	и пр	2	3
67	должна быть	1	3
68	она не	2	3
69	в ее	6	3
70	эти формы	2	3
71	смысле слова	4	3
72	в прошлом	3	3
73	к реальному	3	3
74	за пределы	1	3
75	стремится к	2	3
76	конечно не	7	3
77	в истории	6	3
78	не существует	1	3
79	в новое	4	3
80	с другой	4	3
81	в основе	9	3
82	в средние	4	3
83	к ним	3	3
84	бога и	2	3
85	сказать что	4	3
86	наряду с	7	3
87	жизни которые	2	3
88	с тем	5	3
89	не значит	1	3
90	к жизни	2	3
91	xx веков	1	3
92	в своей	2	3
93	в мире	4	3
94	как в	10	3
95	жизни в	11	3
96	но и	14	3
97	это было	2	3
98	жизни не	3	3
99	растет и	1	3
100	к тому	6	3
101	человека и	15	3
102	еще не	8	3
103	с этим	11	2
104	все они	4	2
105	более не	1	2
106	и от	3	2
107	и весь	2	2
108	это и	1	2
109	ни к	3	2
110	в центре	2	2
111	и что	1	2
112	возвращается к	1	2
113	не могли	3	2
114	на протяжении	3	2
115	свои права	1	2
116	права и	1	2
117	не имеют	4	2
118	и было	4	2
119	борьба и	2	2
120	эпоху когда	1	2
121	с одной	5	2
122	хотя бы	2	2
123	мы не	4	2
124	нем нет	2	2
125	того чтобы	11	2
126	хотя и	5	2
127	природе и	1	2
128	так и	17	2
129	как это	2	2
130	самой жизни	1	2
