N	3gram	Tiupa_Narr	Sovremen
1	с точки зрения	2	5
2	не может быть	5	4
3	не может не	2	3
4	друг с другом	1	2
5	в свою очередь	3	2
6	то же самое	1	2
7	тем не менее	3	2
8	не подлежит сомнению	1	2
9	в отличие от	5	2
10	может быть и	1	2
11	есть не что	1	1
12	с совершенно иными	1	1
13	то ни было	3	1
14	в том что	8	1
15	один и тот	1	1
16	на самом деле	1	1
17	до сих пор	1	1
18	и у нас	1	1
19	до наших дней	1	1
20	в свое время	1	1
21	сами по себе	2	1
22	и тот же	1	1
23	но уже в	1	1
24	не что иное	2	1
25	в связи с	2	1
26	в самом деле	1	1
27	какой бы то	1	1
28	дело в том	1	1
29	на другой день	2	1
30	к нему иначе	1	1
31	той или иной	4	1
32	что иное как	2	1
33	в данном случае	4	1
34	и не было	1	1
35	но все же	4	1
36	и прежде всего	1	1
37	в конечном счете	2	1
38	с одной стороны	7	1
39	на две половины	1	1
40	в известном смысле	2	1
41	в такого рода	1	1
42	так же как	2	1
43	по аналогии с	1	1
44	точки зрения и	1	1
45	то же время	3	1
46	а не только	1	1
47	из этих двух	1	1
48	по отношению к	6	1
49	в то же	3	1
50	бы то ни	3	1
51	он уже не	1	1
52	по крайней мере	1	1
53	тот или иной	1	1
54	можно было бы	2	1
55	именно в том	2	1
56	в этом смысле	1	1
57	в западной европе	1	1
58	и в то	1	1
59	может быть только	1	1
