N	2gram	Medvedev_I	Istorich
1	и в	1	181
2	что в	2	90
3	в этом	2	81
4	и не	2	67
5	никогда не	1	56
6	а в	1	52
7	с другой	1	52
8	другой стороны	1	46
9	тем что	1	38
10	он не	2	37
11	так и	1	37
12	все эти	1	35
13	ничего не	2	31
14	и с	3	28
15	того что	1	27
16	и др	1	26
17	если бы	1	24
18	все это	1	23
19	в них	1	17
20	то и	1	17
21	по существу	1	17
22	что при	1	15
23	в целом	1	15
24	по отношению	1	14
25	а также	1	14
26	отношению к	1	14
27	на котором	1	13
28	после смерти	1	13
29	в руки	1	13
30	как только	1	12
31	я не	1	11
32	от этого	1	11
33	а с	1	10
34	и тот	1	10
35	себя в	1	10
36	а если	1	10
37	есть только	1	10
38	а по	1	9
39	в первую	1	9
40	следующим образом	1	9
41	в основе	1	9
42	жизни и	1	9
43	только что	1	8
44	и сам	1	8
45	не так	1	8
46	не дает	1	8
47	должен быть	2	8
48	в эту	1	7
49	и и	1	7
50	вплоть до	1	7
51	свою жену	1	7
52	о ней	1	7
53	того же	1	7
54	тех же	1	7
55	того чтобы	1	7
56	для него	1	7
57	и о	1	7
58	с героем	1	6
59	не случайно	1	6
60	для того	1	6
61	и очень	1	5
62	бы в	1	5
63	к отцу	1	5
64	но когда	1	5
65	них не	1	5
66	только для	1	5
67	художественного творчества	1	5
68	видит в	1	5
69	как о	1	5
70	это было	1	5
71	могло бы	1	4
72	бы что	2	4
73	очевидно что	1	4
74	от нее	1	4
75	когда его	1	4
76	бы его	1	4
77	стороны он	1	4
78	нисколько не	1	4
79	и та	1	3
80	нам в	1	3
81	все тех	1	3
82	он с	1	3
83	все ясно	1	3
84	нет есть	1	3
85	доказать что	1	3
86	так то	1	3
87	работы не	1	2
88	и еще	1	2
89	и чрезвычайно	1	2
90	этим и	1	2
91	не остается	1	2
92	а для	1	2
93	что для	1	2
94	автор не	1	2
95	и со	1	2
96	отметим только	1	2
97	у всех	1	2
98	же это	1	2
99	какую роль	1	2
100	самого себя	2	2
101	чтобы доказать	1	2
102	говорить о	1	2
103	и ничего	1	2
104	как отец	1	2
105	первая жена	1	2
106	к нам	1	2
107	то она	1	2
108	нее и	1	2
109	во многом	1	2
110	более чем	1	2
111	знать и	1	1
112	не здесь	1	1
113	ясно а	1	1
114	получается нечто	1	1
115	жизни этого	1	1
116	в значительной	1	1
117	не слишком	1	1
118	ходить в	1	1
119	литература о	1	1
120	и дети	1	1
121	а отсюда	1	1
122	первого брака	1	1
123	дает и	1	1
124	со всеми	1	1
125	в материале	1	1
126	и многое	1	1
127	его цель	1	1
128	это был	1	1
129	многое другое	1	1
130	под редакцией	1	1
131	и без	1	1
132	еще одной	1	1
133	каждый исследователь	1	1
134	та и	1	1
135	не удовлетворял	1	1
136	попал к	1	1
137	вероятно на	1	1
138	по поводу	1	1
139	комплекс в	1	1
140	то получается	1	1
141	проф и	1	1
142	ушел от	1	1
143	и задача	1	1
144	мы стали	1	1
145	оба они	2	1
146	а позднее	1	1
147	основе всего	1	1
148	теперь я	1	1
149	утверждает что	1	1
150	против царя	1	1
151	как смерть	1	1
152	неудивительно что	1	1
153	цель и	1	1
154	автора и	1	1
155	бы всю	1	1
