N	3gram	Bakhtin_Pr	KulturaY
1	и т п	13	93
2	и т д	1	42
3	для того чтобы	2	38
4	с точки зрения	6	36
5	в том что	3	33
6	в самом деле	3	29
7	можно было бы	3	25
8	тем не менее	3	19
9	с другой стороны	4	17
10	до сих пор	1	14
11	по отношению к	19	13
12	в связи с	1	12
13	и в самом	1	11
14	не может быть	11	11
15	в этом отношении	2	11
16	в этом смысле	3	10
17	того или иного	2	9
18	не в том	1	8
19	на самом деле	3	8
20	не только в	2	8
21	т п и	1	7
22	в свою очередь	1	7
23	и тем не	1	7
24	с одной стороны	3	7
25	хотя бы и	1	6
26	в отличие от	5	6
27	то же время	3	6
28	той или иной	2	6
29	в то же	3	6
30	не говоря уже	1	6
31	в свое время	1	6
32	то или иное	2	5
33	говоря уже о	1	5
34	так и в	2	5
35	в данном случае	4	5
36	и в этом	1	5
37	на этот вопрос	1	5
38	хотя бы в	1	5
39	в конечном счете	4	4
40	что все эти	1	4
41	в иных случаях	3	4
42	в первом случае	1	4
43	смысле этого слова	1	4
44	а в том	1	4
45	к тому что	1	4
46	к вопросу о	1	4
47	в том и	1	4
48	на то что	1	4
49	именно в том	1	4
50	дает нам право	1	4
51	и в области	2	4
52	о том как	1	3
53	с тем что	1	3
54	в том смысле	1	3
55	ни в какой	1	3
56	и не в	1	3
57	ясно что в	1	3
58	в настоящее время	1	3
59	в то время	1	3
60	в противном случае	3	3
61	прежде всего следует	1	3
62	с помощью которого	1	3
63	в лучшем случае	2	3
64	не могут быть	2	3
65	в таких случаях	1	3
66	в какой мере	2	3
67	языка в его	2	3
68	в тех же	1	2
69	и прежде всего	5	2
70	в применении к	3	2
71	том смысле что	1	2
72	а следовательно и	1	2
73	в большинстве случаев	5	2
74	здесь прежде всего	1	2
75	несмотря на то	1	2
76	и в другом	1	2
77	имеется в виду	1	2
78	у нас в	1	2
79	не выходит за	1	2
80	по себе не	1	2
81	говорить и о	2	2
82	и в других	1	2
83	в строгом смысле	2	2
84	может быть только	3	2
85	сами по себе	1	2
86	формы и содержания	2	2
87	иметь в виду	1	2
88	какое же значение	1	2
89	в особенности же	1	2
90	между тем как	5	2
91	в двух направлениях	1	2
92	и в то	2	2
93	хотя и не	1	2
94	а не с	1	2
95	в известной мере	1	2
96	можно говорить и	2	2
97	бы то ни	3	2
98	и в том	1	2
99	быть не может	1	2
100	в ее целом	1	2
101	в узком смысле	1	2
102	первом случае мы	1	2
103	можно сказать что	2	2
104	по сравнению с	1	2
105	таким образом в	1	2
106	не что иное	1	2
107	вследствие того что	1	2
108	с первого же	1	2
109	самом широком смысле	1	2
110	тем или иным	1	2
111	а вовсе не	1	2
112	что иное как	1	2
113	в самом широком	1	2
114	идет речь в	1	2
115	также и в	1	2
116	если бы не	1	2
117	может быть и	1	2
118	лингвистической точки зрения	1	1
119	отношению к которому	1	1
120	это имеет место	1	1
121	не могла бы	1	1
122	все то что	3	1
123	форма должна быть	1	1
124	приходится иметь дело	2	1
125	или иным путем	1	1
126	и как можно	1	1
127	смысле слова и	1	1
128	точка зрения на	1	1
129	первого же взгляда	1	1
130	на том основании	1	1
131	и с его	2	1
132	в области изучения	2	1
133	что далеко не	1	1
134	является как бы	1	1
135	прежде всего от	1	1
136	отнюдь не является	1	1
137	и содержания в	1	1
138	то что не	1	1
139	язык в его	1	1
140	к своему предмету	1	1
141	которых идет речь	1	1
142	в коем случае	2	1
143	и независимо от	1	1
144	не может но	1	1
145	т д мы	1	1
146	рядом с ними	1	1
147	здесь же мы	1	1
148	можно и должно	1	1
149	бы не было	1	1
150	при этом в	1	1
151	во что бы	1	1
152	имеют в виду	1	1
153	которые могли бы	1	1
154	уже выше в	1	1
155	первом и втором	1	1
156	говорить об особой	1	1
157	если так то	1	1
158	только в той	1	1
159	и не столь	1	1
160	языка как такового	1	1
161	широком смысле слова	1	1
162	не следует что	2	1
163	есть не что	1	1
164	о которых идет	1	1
165	не для того	1	1
166	ни в коем	2	1
167	всего следует отметить	1	1
168	только в поэзии	3	1
169	по аналогии с	1	1
170	следует что в	1	1
171	не о том	1	1
