N	4gram	Vygotskiy_	slovoVRo
1	с одной стороны и	2	4
2	можно прямо сказать что	1	3
3	одно и то же	1	3
4	с этой точки зрения	7	2
5	в том и в	1	2
6	том и в другом	1	2
7	в то время как	4	2
8	и в другом случае	2	2
9	и связанное с ним	1	1
10	но тем самым он	1	1
11	мы имеем в виду	1	1
12	одни и те же	1	1
13	простое и непосредственное отношение	1	1
14	для того чтобы увидеть	1	1
15	и связанная с ней	1	1
16	на каждом шагу в	1	1
17	в отличие от второй	1	1
18	в том что в	2	1
19	одной и той же	3	1
20	в связи с этим	1	1
21	которая лежит в основе	1	1
22	но во всяком случае	1	1
23	в том числе и	2	1
24	в данном случае не	2	1
25	в том что он	3	1
26	все более и более	3	1
27	бы то ни было	1	1
28	заключается в том чтобы	2	1
29	друг с другом в	2	1
30	прежде чем перейти к	2	1
31	так же как и	2	1
32	как мы уже говорили	1	1
