N	4gram	Medvedev_F	Stilisti
1	в то же время	13	7
2	не что иное как	1	2
3	точном смысле этого слова	1	2
4	вместе с тем и	2	2
5	в зависимости от того	1	2
6	но в то же	3	2
7	и в то же	4	2
8	в связи с этим	4	2
9	в точном смысле этого	1	2
10	есть не что иное	1	2
11	отражается и преломляется в	1	1
12	таким образом мы приходим	1	1
13	иметь в виду что	1	1
14	так и от всех	1	1
15	того что было в	1	1
16	и в этом случае	1	1
17	иное значение лишь в	1	1
18	на другого человека на	1	1
19	образом мы приходим к	1	1
20	бы совершенно иной но	1	1
21	как и всякий идеологический	1	1
22	то или иное значение	1	1
23	в гораздо большей степени	1	1
24	или иное значение лишь	1	1
25	но вместе с тем	1	1
26	в свою очередь определяет	1	1
27	ведь может показаться что	1	1
28	и не может быть	4	1
29	здесь нет и не	1	1
30	то же время и	2	1
31	нет и не может	2	1
32	минуту не должен забывать	1	1
33	на минуту не должен	1	1
34	ни на минуту не	1	1
