N	3gram	Medvedev_U	FransuaR
1	то же время	3	55
2	в то же	3	55
3	в том что	2	27
4	до сих пор	2	27
5	но в то	1	20
6	в этом отношении	2	20
7	большей или меньшей	1	16
8	в большей или	1	15
9	или меньшей степени	1	14
10	и прежде всего	1	14
11	не может быть	4	13
12	с одной стороны	1	13
13	в той же	1	13
14	и в то	1	12
15	с другой стороны	3	12
16	можно сказать что	1	11
17	в данном случае	1	10
18	в конце концов	2	10
19	не только в	1	10
20	более или менее	1	8
21	в самом деле	2	7
22	на первый план	1	7
23	в значительной мере	1	7
24	имеем в виду	1	6
25	в этой же	1	6
26	друг с другом	1	5
27	то же самое	2	5
28	и в этой	2	5
29	и в частности	2	5
30	мы имеем в	1	5
31	все это в	1	5
32	литературы и искусства	1	4
33	но даже и	2	4
34	и то что	2	4
35	но прежде всего	1	4
36	конечно не в	1	4
37	и все они	1	4
38	и у других	1	3
39	не входит в	1	3
40	но это не	1	3
41	все же не	1	3
42	но конечно не	1	3
43	является одним из	1	3
44	в этом смысле	2	3
45	тех или иных	2	3
46	бы то ни	3	3
47	одним из самых	1	3
48	он знает только	1	2
49	может быть в	1	2
50	же время не	1	2
51	так много в	1	2
52	сам по себе	1	2
53	другой стороны в	1	2
54	мы полагаем что	1	2
55	которых так много	1	2
56	и с другой	1	2
57	то ни было	3	2
58	все они в	1	2
59	не могут быть	2	2
60	никогда не может	1	2
61	в конечном счете	4	2
62	и не только	1	2
63	но по существу	1	2
64	но именно этот	1	2
65	то что было	1	2
66	в этом случае	1	2
67	материала и формы	2	1
68	художественное творчество и	1	1
69	они до сих	1	1
70	что все они	1	1
71	и эта позиция	1	1
72	хотя бы и	2	1
73	таким образом на	1	1
74	идет не о	1	1
75	фактов и в	1	1
76	в этом плане	1	1
77	они в своей	1	1
78	оно все же	1	1
79	в буквальном смысле	1	1
80	и в различных	1	1
81	в художественном произведении	2	1
82	же самое что	1	1
83	в частности с	1	1
84	выдвигает на первый	1	1
85	но это же	1	1
86	а между тем	2	1
87	также несомненно и	1	1
88	это то же	1	1
89	уже знакомый нам	1	1
90	в художественном творчестве	2	1
91	он прежде всего	1	1
92	уже знакомая нам	2	1
93	в первую очередь	1	1
94	с тем что	1	1
95	язык в его	1	1
96	насколько нам известно	1	1
97	что в своей	1	1
98	из первых мест	1	1
99	только к этому	1	1
100	еще один пример	1	1
101	на эту книгу	1	1
102	о котором говорил	1	1
103	она должна была	1	1
104	таков прежде всего	1	1
105	не в том	1	1
106	что для него	1	1
107	дело конечно не	1	1
108	само по себе	1	1
109	анализ раскрыл бы	1	1
110	том что она	1	1
111	в точном смысле	1	1
112	теории и истории	1	1
113	в широком смысле	1	1
114	тем что он	1	1
115	между тем в	1	1
116	на то что	1	1
117	это было и	1	1
118	и в конце	1	1
119	для него не	1	1
120	одно из первых	1	1
121	этом отношении очень	1	1
122	по нашему мнению	3	1
123	и т.д в	1	1
124	и независимо от	1	1
125	на первый взгляд	1	1
126	надо было сделать	1	1
127	в этой области	3	1
