N	3gram	Kanaev_Sov	StatiiOP
1	в том что	1	47
2	до сих пор	1	19
3	с точки зрения	5	14
4	во всяком случае	2	13
5	не может быть	4	11
6	в самом деле	1	9
7	то же время	1	9
8	в то же	1	9
9	дело в том	1	9
10	можно было бы	1	9
11	тем не менее	2	8
12	на самом деле	1	8
13	не в том	1	7
14	в этой области	1	7
15	в данном случае	1	7
16	но все же	1	7
17	и в этом	1	7
18	так же как	1	6
19	по отношению к	1	6
20	в этом смысле	1	6
21	по крайней мере	1	6
22	в свое время	1	5
23	тот факт что	1	5
24	с самого начала	3	5
25	сами по себе	1	4
26	с одной стороны	1	4
27	в связи с	1	4
28	каждого из них	2	3
29	что в ней	1	3
30	из этих двух	1	3
31	в том как	1	3
32	совершенно так же	1	3
33	на этот раз	1	3
34	бы то ни	1	3
35	в известном смысле	1	3
36	в этом случае	1	3
37	всяком случае не	1	3
38	и пр но	1	2
39	каждом отдельном случае	5	2
40	все более и	1	2
41	в обоих случаях	1	2
42	в зависимости от	4	2
43	и в то	1	2
44	в каждом отдельном	5	2
45	в отличие от	2	2
46	то ни было	1	2
47	не может не	3	2
48	само собою разумеется	2	2
49	то же самое	2	2
50	в свою очередь	2	2
51	той или иной	1	2
52	в которой он	1	2
53	более и более	1	2
54	в настоящее время	2	2
55	на этот вопрос	1	2
56	прежде всего необходимо	1	2
57	ни о каком	1	2
58	может быть и	2	2
59	но ведь это	1	1
60	но все эти	1	1
61	а может быть	1	1
62	в этом направлении	1	1
63	и те же	1	1
64	же это за	2	1
65	как видит читатель	1	1
66	как и во	1	1
67	сих пор в	1	1
68	одни и те	1	1
69	мы говорим о	1	1
70	до наших дней	1	1
71	из них это	1	1
72	в том случае	1	1
73	может не быть	1	1
74	в такой же	1	1
75	и могут быть	1	1
76	ясно что при	1	1
77	во многом не	1	1
78	быть и речи	1	1
79	что же это	3	1
80	это означало бы	1	1
81	важную роль в	1	1
82	и по его	1	1
83	так как он	2	1
84	это значит что	1	1
85	ведь это не	1	1
86	и не может	1	1
87	же как у	1	1
88	вместе с ним	1	1
89	каждая из этих	1	1
90	наук может быть	1	1
91	и может быть	1	1
92	никакому сомнению что	1	1
93	со всеми его	1	1
94	и именно в	1	1
95	и не было	1	1
96	что все они	1	1
97	и той же	1	1
98	и ни в	1	1
99	и что следовательно	1	1
100	только и могут	1	1
101	он может быть	1	1
102	в такого рода	1	1
103	под углом зрения	1	1
104	если бы эти	1	1
105	но уже в	1	1
106	и во всей	1	1
107	одной и той	1	1
108	же мере в	1	1
109	именно в том	1	1
110	не давая себе	1	1
111	сказать несколько слов	1	1
112	совершенно независимо от	1	1
113	не могут быть	1	1
114	представление о том	1	1
115	те или иные	1	1
116	и все же	1	1
117	по его мнению	1	1
118	тот или иной	1	1
