N	3gram	Losev_Dial	NovoeSre
1	не может быть	12	4
2	со всех сторон	1	3
3	подобно тому как	5	3
4	не значит что	2	3
5	вопрос о том	1	2
6	ни одна из	1	2
7	равно как и	2	2
8	так же как	2	2
9	в нем нет	2	2
10	в этом смысле	1	2
11	значит что в	1	2
12	что в нем	1	2
13	он не может	3	2
14	когда мы говорим	1	2
15	с одной стороны	3	2
16	с другой стороны	3	2
17	она не может	1	2
18	это не значит	1	2
19	бытия и небытия	1	1
20	сами по себе	3	1
21	в том что	12	1
22	не в том	5	1
23	но это значит	2	1
24	до сих пор	1	1
25	не существует что	1	1
26	я не могу	1	1
27	и из них	1	1
28	что все категории	1	1
29	истории и не	1	1
30	в такой же	1	1
31	эта символическая природа	1	1
32	и к ней	1	1
33	в час ночи	1	1
34	это конечно не	1	1
35	в зависимости от	3	1
36	как я уже	1	1
37	не только потому	1	1
38	по существу своему	1	1
39	оснований думать что	1	1
40	в природе но	1	1
41	и вместе с	1	1
42	такой же мере	1	1
43	только потому что	1	1
44	не только в	1	1
45	которые могут быть	1	1
46	от бога и	1	1
47	в том смысле	1	1
48	в отличие от	1	1
49	мы говорим что	1	1
50	который можно назвать	1	1
51	не менее чем	1	1
52	как это было	1	1
53	есть прежде всего	4	1
54	в нем не	2	1
55	но оно есть	1	1
56	о том что	6	1
57	же как и	1	1
58	и пр в	2	1
59	не могут быть	3	1
60	как и в	3	1
61	и не в	1	1
62	во всяком случае	3	1
63	для себя и	1	1
64	та или иная	3	1
65	и во всех	1	1
66	это не есть	3	1
67	это значит что	25	1
68	но я не	1	1
69	религия не может	2	1
70	не в силах	2	1
71	в то время	6	1
72	все в мире	1	1
73	не должно быть	2	1
74	это и есть	4	1
75	жизнь не может	1	1
76	в основе их	1	1
77	то время как	6	1
78	по природе своей	1	1
79	ни в чем	2	1
80	и мы не	1	1
81	и не может	1	1
82	я думаю что	1	1
83	может быть только	1	1
