N	2gram	Medvedev_V	EvropaiC
1	в том	2	31
2	и в	2	24
3	том что	2	20
4	в этом	1	13
5	все это	1	13
6	самом деле	1	12
7	и не	1	9
8	потому что	1	9
9	в самом	1	8
10	ясно что	1	8
11	так как	1	7
12	по существу	1	7
13	только в	1	6
14	именно в	1	5
15	далеко не	1	5
16	столь же	1	5
17	к этому	1	5
18	и то	1	4
19	чем больше	1	4
20	в их	1	4
21	в конце	2	4
22	хотя бы	1	4
23	и т.д	1	4
24	том же	1	4
25	конце концов	2	4
26	то же	1	4
27	тем более	1	3
28	сводится к	1	2
29	совершенно ясно	1	2
30	все то	1	2
31	все дело	1	2
32	я не	1	2
33	в которых	1	2
34	на одном	1	2
35	и только	1	2
36	не играет	1	2
37	в другом	1	2
38	в частности	1	2
39	и его	1	2
40	гораздо более	1	2
41	стоит на	1	1
42	то я	1	1
43	время в	1	1
44	говорили в	1	1
45	положений которые	1	1
46	как же	1	1
47	дело в	1	1
48	так в	1	1
49	другом месте	1	1
50	зависят от	1	1
51	да и	1	1
52	по крайней	1	1
53	же все	1	1
54	и заключается	1	1
55	в значительной	1	1
56	этому и	1	1
57	одно и	1	1
58	говоря о	1	1
59	а только	1	1
60	с большой	1	1
61	главным образом	1	1
62	этом и	1	1
63	техники и	1	1
64	значит и	1	1
65	крайней мере	1	1
66	которые они	1	1
67	и мало	1	1
