N	2gram	Vygotskiy_	KFilosof
1	может быть	35	45
2	в его	8	42
3	в нем	5	32
4	не может	30	29
5	и не	24	28
6	и в	55	28
7	в котором	5	24
8	не есть	4	22
9	для меня	1	22
10	в себе	6	21
11	только в	18	18
12	и его	14	18
13	в своем	3	17
14	в ее	7	17
15	а не	18	17
16	в этом	21	15
17	для него	1	13
18	не в	19	13
19	точки зрения	32	13
20	к нему	3	12
21	ни в	9	12
22	но не	5	12
23	и это	6	12
24	в своей	6	11
25	все эти	7	11
26	во всех	4	11
27	все это	11	10
28	это не	1	10
29	с точки	12	10
30	и есть	5	10
31	бытия и	1	10
32	от себя	4	10
33	и для	9	10
34	в целом	8	10
35	в их	4	9
36	и все	8	9
37	но и	12	9
38	как бы	11	9
39	для нее	1	9
40	не было	5	8
41	если бы	10	8
42	быть только	1	8
43	в мире	1	8
44	со стороны	5	8
45	было бы	14	8
46	в себя	3	8
47	жизни и	5	8
48	во всем	5	7
49	и здесь	3	7
50	что и	27	7
51	должен быть	2	7
52	вовсе не	7	7
53	уже не	3	7
54	совершенно не	7	7
55	то что	47	7
56	я должен	1	7
57	конечно не	2	7
58	на основе	2	7
59	но лишь	1	7
60	для себя	2	7
61	и только	5	7
62	отнюдь не	11	7
63	ее и	2	6
64	должно быть	2	6
65	не значит	2	6
66	но все	1	6
67	я не	1	6
68	не имеет	3	6
69	в смысле	3	6
70	смысл и	2	6
71	в том	55	6
72	и их	4	6
73	и действительно	1	6
74	отношение к	3	6
75	место в	1	6
76	он не	8	6
77	но это	3	6
78	от его	1	5
79	со всем	1	5
80	то же	17	5
81	мы имеем	7	5
82	не только	25	5
83	с ним	2	5
84	но как	4	5
85	его в	3	5
86	в основе	13	5
87	есть лишь	1	5
88	но в	5	5
89	именно в	1	5
90	но ведь	1	5
91	как и	25	5
92	все же	9	5
93	жизни в	1	5
94	себя и	3	5
95	еще не	2	5
96	что я	4	5
97	время и	1	5
98	хотя бы	4	5
99	и содержание	3	5
100	в одном	4	5
101	а в	10	5
102	культуры и	1	5
103	его как	1	5
104	и единственный	1	5
105	там где	5	5
106	никогда не	13	5
107	что в	39	4
108	должна быть	3	4
109	при этом	28	4
110	ни было	2	4
111	что это	12	4
112	о нем	2	4
113	не как	3	4
114	для нас	5	4
115	прежде всего	5	4
116	в своих	12	4
117	места в	1	4
118	с ними	2	4
119	мира и	1	4
120	в действительной	1	4
121	том что	30	4
122	в чем	5	4
123	в каком	3	4
124	могло бы	5	4
125	только как	3	4
126	во всей	1	4
127	могла бы	1	4
128	между тем	6	4
129	здесь мы	1	4
130	его конкретной	1	4
131	времени и	2	4
132	тем самым	2	4
133	и т.д	1	4
134	к ним	4	4
135	быть в	2	4
136	всех своих	1	4
137	жизни но	1	3
138	от него	2	3
139	и может	3	3
140	та же	4	3
141	и на	6	3
142	здесь нет	1	3
143	на язык	1	3
144	и пр	1	3
145	мы не	15	3
146	был бы	6	3
147	тогда когда	7	3
148	всем его	1	3
149	действительной жизни	3	3
150	и этот	3	3
151	того что	15	3
152	на самом	6	3
153	ясно что	22	3
154	в виду	6	3
155	и тот	4	3
156	и делает	2	3
157	самом деле	19	3
158	прошлое и	1	3
159	тем что	7	3
160	но для	1	3
161	людей и	2	3
162	в корне	1	3
163	стороны в	1	3
164	что этот	3	3
165	не дает	3	3
166	не менее	9	3
167	для этой	1	3
168	по своему	2	3
169	бы не	1	3
170	один и	2	3
171	его жизни	3	3
172	может дать	2	3
173	поскольку он	2	3
174	себе и	2	3
175	и другого	4	3
176	в каждом	5	3
177	это и	3	3
178	того или	2	3
179	бы и	5	3
180	данный момент	1	3
181	ясно и	1	3
182	что не	2	3
183	не могу	1	3
184	в свою	3	3
185	лежат в	1	3
186	в другом	1	3
187	для того	12	3
188	и должна	1	3
189	в ней	3	3
190	а эта	1	3
191	не имеем	1	3
192	и та	1	3
193	смысл в	1	3
194	к чему	2	3
195	этом смысле	3	3
196	от того	6	3
197	человека и	3	3
198	всем другим	1	3
199	из его	4	3
200	эти моменты	1	3
201	нет и	1	3
202	не быть	2	3
203	только с	2	3
204	могут быть	15	3
205	до конца	9	3
206	нигде не	2	3
207	о том	11	3
208	теории и	1	3
209	тем как	2	3
210	в данный	1	3
211	в то	8	3
212	а следовательно	1	3
213	или иного	1	3
214	независимо от	3	3
215	и совершенно	7	3
216	тот же	8	3
217	и тем	5	3
218	ничего не	4	3
219	или иным	2	2
220	были бы	2	2
221	бы то	3	2
222	как к	2	2
223	и эти	2	2
224	и развивается	1	2
225	один из	6	2
226	вступить в	1	2
227	я уже	1	2
228	и мы	6	2
229	и содержания	2	2
230	ему в	1	2
231	и отсюда	2	2
232	мышления и	3	2
233	не содержание	1	2
234	может не	1	2
235	можно ли	2	2
236	и того	1	2
237	его с	3	2
238	факта и	1	2
239	случае мы	1	2
240	дело с	10	2
241	одна и	1	2
242	еще более	2	2
243	конечно в	1	2
244	тому что	7	2
245	а это	1	2
246	тем не	6	2
247	содержание не	1	2
248	так и	6	2
249	жить и	1	2
250	из которых	5	2
251	в принципе	1	2
252	оно переживается	1	2
253	и то	4	2
254	и за	1	2
255	в качестве	3	2
256	и свой	1	2
257	нами в	1	2
258	это есть	6	2
259	и когда	5	2
260	сводится к	3	2
261	и само	1	2
262	по себе	21	2
263	и смысл	1	2
264	все остальное	2	2
265	со всеми	5	2
266	нашей деятельности	2	2
267	оно не	2	2
268	не потому	3	2
269	отказаться от	4	2
270	он может	1	2
271	не о	1	2
272	ее от	4	2
273	однако что	1	2
274	даны в	2	2
275	относит его	1	2
276	из нее	1	2
277	дано мне	1	2
278	в сознании	6	2
279	мы говорим	2	2
280	дело в	2	2
281	содержание и	1	2
282	и эта	1	2
283	в ту	1	2
284	дело здесь	1	2
285	не следует	1	2
286	возможности в	1	2
287	в процессе	7	2
288	в жизни	5	2
289	нем нельзя	1	2
290	смысле и	2	2
291	не остается	2	2
292	и должен	1	2
293	с тем	11	2
294	его на	1	2
295	и как	9	2
296	и чувство	1	2
297	что он	17	2
298	истины и	1	2
299	в соответствии	1	2
300	но я	1	2
301	предмет и	1	2
302	переживания как	1	2
303	чтобы дать	1	2
304	и отчетливо	1	2
305	и просто	1	2
306	как в	17	2
307	смысла и	1	2
308	это было	1	2
309	вследствие этого	2	2
310	в это	1	2
311	ли это	3	2
312	а для	1	2
313	деятельности и	1	2
314	целом не	2	2
315	можно и	1	2
316	как оно	2	2
317	для выражения	7	2
318	жизнь и	3	2
319	или как	2	2
320	и мир	1	2
321	этого слова	5	2
322	поскольку она	2	2
323	к этому	5	2
324	и потому	2	2
325	его и	4	2
326	ведь это	1	2
327	а с	2	2
328	в данном	1	2
329	и других	4	2
330	же с	1	2
331	вопрос о	3	2
332	ни у	2	2
333	которой он	2	2
334	как некоторую	1	2
335	оба эти	2	2
336	она не	6	2
337	потому что	27	2
338	того чтобы	13	2
339	то ни	2	2
340	совсем не	3	2
341	быть не	1	2
342	с этого	2	2
343	другое дело	1	2
344	от действительного	1	2
345	дело не	1	2
346	из самого	2	2
347	не будет	4	2
348	в него	4	2
349	именно на	1	2
350	на нем	2	2
351	а по	1	2
352	содержания и	3	2
353	что эта	4	2
354	для этого	1	2
355	отношении к	3	2
356	всех других	2	2
357	мы получим	2	2
358	даны и	1	2
359	для берегов	1	2
360	этот факт	1	2
361	же время	2	2
362	к которой	1	2
363	думать что	3	2
364	этих людей	1	2
365	всей его	1	2
366	или иное	2	2
367	стал бы	2	2
368	основе своей	2	2
369	это только	4	2
370	они находятся	1	2
371	процесс и	1	2
372	в этой	5	2
373	он и	1	2
374	соответствии с	1	2
375	нем не	1	2
376	хiх и	1	2
377	что есть	3	2
378	при условии	1	2
379	это можно	3	2
380	что только	3	2
381	слова в	5	2
382	включает в	1	2
383	с его	3	2
384	в области	12	2
385	его к	2	2
386	как предмет	2	2
387	а как	2	2
388	человек не	1	2
389	и хх	1	2
390	себе как	1	2
391	с ее	3	2
392	к содержанию	1	2
393	то или	3	2
394	сознания в	1	2
395	и ее	4	2
396	едва ли	5	2
397	одного и	2	2
398	этих моментов	1	2
399	гораздо более	2	2
400	себе а	4	2
401	для самого	2	1
402	подход к	3	1
403	все в	2	1
404	в самом	18	1
405	мысли чувства	1	1
406	не дано	1	1
407	какого бы	1	1
408	значит ли	2	1
409	и долготу	1	1
410	и к	5	1
411	на почве	3	1
412	и критике	1	1
413	осуществления и	1	1
414	совершенно безразличен	1	1
415	именно к	2	1
416	лежит вне	1	1
417	к действительности	1	1
418	новое и	1	1
419	утверждать что	9	1
420	было показано	1	1
421	только не	4	1
422	понятий и	3	1
423	стать в	1	1
424	принцип как	1	1
425	и точности	1	1
426	во втором	1	1
427	все что	4	1
428	как это	8	1
429	бы утверждать	2	1
430	образом и	4	1
431	или бессознательно	1	1
432	к одному-единственному	1	1
433	мы видим	8	1
434	до сих	8	1
435	здесь на	1	1
436	и всякий	2	1
437	собой и	1	1
438	мы найдем	2	1
439	основе его	1	1
440	религии и	1	1
441	содержится в	1	1
442	в переживании	1	1
443	ничем не	1	1
