N	2gram	Vinokur_Ku	Marksizm
1	чужой речи	1	85
2	точки зрения	25	69
3	может быть	25	64
4	и в	44	63
5	и не	23	55
6	как бы	11	53
7	не может	13	47
8	с точки	16	46
9	и пр	23	42
10	и его	8	41
11	в этом	31	39
12	таким образом	17	38
13	в процессе	1	33
14	как мы	2	32
15	языка и	16	31
16	в пределах	8	31
17	философии языка	1	31
18	лишь в	6	30
19	не только	29	29
20	речи в	7	29
21	то же	12	28
22	в нем	7	28
23	языка как	7	27
24	но и	13	27
25	в языке	16	26
26	связи с	8	25
27	речи и	8	25
28	самом деле	17	25
29	в самом	20	24
30	как и	3	24
31	прежде всего	14	24
32	только в	15	23
33	так и	10	23
34	в том	47	22
35	то что	14	22
36	а не	17	22
37	при этом	6	20
38	так сказать	5	20
39	для него	2	20
40	если мы	5	20
41	на почве	2	19
42	не в	18	19
43	если бы	21	19
44	том что	30	19
45	в его	16	19
46	языка в	14	18
47	в ее	2	18
48	в слове	3	18
49	и для	3	18
50	но в	11	18
51	вовсе не	18	18
52	все же	17	17
53	в сущности	11	17
54	и чужой	1	16
55	по отношению	9	16
56	ни было	1	16
57	речь в	7	16
58	слова и	8	16
59	социального общения	3	16
60	и как	3	16
61	в то	4	16
62	с помощью	12	15
63	во всех	1	15
64	в связи	4	15
65	отнюдь не	5	15
66	что он	7	15
67	же время	4	15
68	русском языке	14	15
69	в русском	14	15
70	отношению к	9	15
71	язык как	9	14
72	в данном	8	14
73	хотя бы	19	14
74	в контексте	2	14
75	в смысле	2	14
76	в своей	4	13
77	так же	8	13
78	то ни	2	13
79	что в	25	13
80	и здесь	8	13
81	не является	2	13
82	того чтобы	25	13
83	было бы	28	13
84	ничего не	6	13
85	мы не	1	13
86	слова в	7	13
87	для того	23	12
88	того же	6	12
89	бы то	1	12
90	в результате	8	12
91	выражение в	4	12
92	между тем	11	12
93	он не	4	12
94	является не	1	12
95	а в	7	12
96	не столько	2	11
97	на материале	1	11
98	и того	2	11
99	к нему	1	11
100	мы уже	1	11
101	и что	11	11
102	и от	2	11
103	как система	1	11
104	слова как	5	11
105	до сих	5	11
106	и на	8	11
107	и все	4	11
108	как в	6	11
109	еще не	10	11
110	так как	16	11
111	на самом	3	11
112	все эти	17	11
113	в ней	6	11
114	сих пор	5	11
115	без исключения	1	10
116	именно в	7	10
117	во всяком	8	10
118	с другой	14	10
119	сказать что	5	10
120	к этому	4	10
121	никогда не	2	10
122	в своем	4	10
