N	3gram	Propp_Russ	Analitik
1	в том что	27	25
2	не может быть	1	19
3	по отношению к	1	18
4	о том что	6	15
5	в данном случае	7	14
6	в отличие от	4	14
7	в свою очередь	2	9
8	в том чтобы	2	9
9	подобно тому как	3	9
10	с одной стороны	1	9
11	значении этого слова	1	8
12	состоит в том	16	8
13	с точки зрения	3	8
14	как и в	1	8
15	не только в	1	8
16	в этом отношении	1	8
17	в таком случае	1	7
18	во всяком случае	1	7
19	что иное как	3	7
20	тем не менее	3	6
21	одного и того	1	6
22	и того же	1	6
23	не что иное	3	6
24	в этом ряду	1	5
25	но и в	1	5
26	в этом случае	9	5
27	обращает на себя	1	4
28	для того чтобы	6	4
29	в равной степени	2	4
30	и в этом	2	4
31	на себя внимание	2	4
32	из того что	1	4
33	быть не может	1	3
34	и как бы	1	3
35	и он же	1	3
36	и т п	1	3
37	одни и те	1	3
38	и а а	1	3
39	в связи с	4	3
40	в этой связи	1	3
41	и те же	1	3
42	тогда как в	1	3
43	можно сказать что	1	3
44	в противном случае	1	3
45	в применении к	1	2
46	по своему происхождению	2	2
47	более или менее	1	2
48	можно было бы	2	2
49	совершенно очевидно что	2	2
50	друг с другом	1	2
51	в такой же	1	2
52	в особенности же	1	2
53	это означает что	1	2
54	о чем речь	1	2
55	к тому что	4	2
56	в тех случаях	2	2
57	во многих отношениях	2	2
58	в этих случаях	1	2
59	на то что	2	2
60	здесь мы имеем	2	2
61	тем более что	1	2
62	а между тем	1	2
63	на этот вопрос	1	2
64	тех случаях когда	2	2
65	на первый взгляд	1	2
66	но и как	1	2
67	с этого момента	2	2
68	в целом ряде	1	1
69	что с ними	1	1
70	этого слова в	1	1
71	как будто бы	1	1
72	это имеет место	3	1
73	в тексте и	1	1
74	никак не может	1	1
75	мы видим что	1	1
76	дело не только	1	1
77	и наконец в	1	1
78	во всех этих	1	1
79	одно из значений	1	1
80	рассказывает об этом	1	1
81	но и на	2	1
82	в году все	1	1
83	в течение всего	1	1
84	точки зрения в	1	1
85	в е годы	2	1
86	в том же	1	1
87	существует независимо от	1	1
88	на нее как	1	1
89	смены времен года	1	1
90	более высокой ступени	1	1
91	что один из	1	1
92	обращают на себя	1	1
93	былинах и в	1	1
94	о том же	4	1
95	из них в	1	1
96	не только на	3	1
97	приходит к выводу	1	1
98	можно судить по	1	1
99	между собой и	1	1
100	ничего нам не	1	1
101	не только для	1	1
102	всяком случае не	1	1
103	и таким образом	1	1
104	таким образом в	1	1
105	умирающего и воскресающего	2	1
106	ставит себе целью	1	1
107	в этой роли	1	1
108	о чем свидетельствует	1	1
109	и каким образом	1	1
110	что в этом	2	1
111	также что в	1	1
112	себя и не	1	1
113	вся его жизнь	1	1
114	это все же	1	1
115	все же не	2	1
116	нуждается в дальнейшем	1	1
117	на самом же	2	1
118	в состав этого	1	1
119	себя но и	1	1
120	в былинах и	1	1
121	имея в виду	1	1
122	в частности изучение	1	1
123	и в том	2	1
124	он так и	1	1
125	но это все	1	1
126	виду что в	1	1
127	не только по	2	1
128	на тех же	1	1
129	собой не что	1	1
130	в одном из	1	1
131	вместе с тем	10	1
132	цикла одна из	1	1
133	или по меньшей	1	1
134	самом же деле	2	1
135	в большинстве случаев	2	1
136	как это ни	1	1
137	с полной уверенностью	1	1
138	а вместе с	1	1
139	точно так же	1	1
140	перед нами как	1	1
141	между тем это	3	1
142	к выводу что	3	1
143	сказать что в	1	1
144	одна из наиболее	1	1
145	пишет об этом	1	1
146	в то время	3	1
147	приводит нас к	3	1
148	свое внимание на	1	1
149	и та же	1	1
150	однако все эти	1	1
151	вопрос о том	1	1
152	хотя и не	1	1
153	приводит к тому	1	1
154	на самом деле	1	1
155	ни одна из	2	1
156	место в текстах	1	1
157	тому как на	1	1
158	только тогда когда	3	1
159	как будто не	1	1
160	по меньшей мере	1	1
161	самом деле как	1	1
162	еще не означает	1	1
163	в первую очередь	1	1
164	к этому же	3	1
165	же как и	3	1
166	в собственном смысле	1	1
167	как мы увидим	5	1
168	в связь с	1	1
169	во второй половине	1	1
170	одна и та	1	1
171	а в случае	1	1
172	одна из них	1	1
173	а в тех	1	1
174	как это имеет	3	1
175	по аналогии с	1	1
176	состояла в том	3	1
177	что и в	1	1
178	приводит его к	1	1
179	не только как	1	1
180	после того как	3	1
181	в этот день	17	1
182	а н веселовский	4	1
183	на две части	1	1
184	еще в е	1	1
185	что до появления	1	1
186	в своего рода	1	1
