N	2gram	Kanaev_Sov	Sotsiolo
1	все это	3	7
2	в том	4	5
3	в этом	7	5
4	метод в	1	4
5	не только	4	3
6	не в	3	3
7	и в	7	3
8	и только	1	3
9	но ведь	1	3
10	в его	2	3
11	для нас	3	3
12	что в	2	2
13	ведь это	3	2
14	таким образом	11	2
15	том что	1	2
16	как бы	4	2
17	в результате	6	2
18	было бы	3	2
19	и мы	3	2
20	может быть	12	2
21	по существу	1	2
22	она может	2	2
23	и что	2	2
24	это и	1	2
25	нашей науки	1	2
26	по отношению	1	2
27	в конце	3	2
28	отношению к	1	2
29	только в	1	2
30	к которому	1	2
31	то же	3	2
32	еще не	3	2
33	а в	4	1
34	в конечном	1	1
35	в целом	4	1
36	на этот	2	1
37	это значит	1	1
38	все эти	5	1
39	не было	1	1
40	когда мы	3	1
41	развития и	1	1
42	связи с	1	1
43	во всяком	2	1
44	в мире	1	1
45	и потому	3	1
46	дает нам	2	1
47	все же	3	1
48	научной мысли	1	1
49	научного исследования	2	1
50	что это	2	1
51	на ней	1	1
52	по крайней	1	1
53	с другой	1	1
54	мы должны	4	1
55	это как	1	1
56	с ним	1	1
57	и более	1	1
58	но как	1	1
59	в этой	3	1
60	и его	1	1
61	в данном	1	1
62	в области	3	1
63	и по	2	1
64	их на	1	1
65	подвести итоги	1	1
66	с помощью	4	1
67	может развиваться	1	1
68	же самое	2	1
69	один из	1	1
70	в то	1	1
71	может не	3	1
72	те же	1	1
73	между собой	3	1
74	же это	4	1
75	отнюдь не	3	1
76	и не	6	1
77	всяком случае	2	1
78	по самому	1	1
79	том как	1	1
80	настоящее время	2	1
81	или нет	1	1
82	но не	1	1
83	они не	1	1
84	благодаря этому	1	1
85	диалектического материализма	1	1
86	и им	1	1
87	этой области	1	1
88	наука но	1	1
89	прежде всего	5	1
90	что она	3	1
91	тем же	2	1
92	все построение	1	1
93	в каждом	8	1
94	и благодаря	1	1
95	не из	1	1
96	положительная ценность	1	1
97	но только	1	1
98	и будет	2	1
99	не дает	2	1
100	в область	1	1
101	конечном счете	1	1
102	его в	1	1
103	крайней мере	1	1
104	же этот	1	1
105	в процессе	1	1
106	этого и	1	1
107	вовсе не	1	1
108	основной вопрос	3	1
109	с одной	2	1
110	и наконец	5	1
111	конечно не	1	1
112	возможность именно	1	1
113	о том	1	1
114	мы не	9	1
115	в заключение	1	1
116	мысли в	1	1
117	условий то	1	1
118	ровно ничего	1	1
119	у него	2	1
120	по себе	1	1
121	же время	1	1
122	это не	4	1
123	одной стороны	1	1
124	в связи	1	1
125	и должно	1	1
126	работы в	1	1
127	в виде	2	1
128	в настоящее	2	1
129	именно в	1	1
130	никогда не	1	1
131	и есть	2	1
132	не может	17	1
133	между ними	1	1
134	что все	2	1
135	случае только	1	1
136	для наших	1	1
137	как и	6	1
138	ничего не	6	1
