N	2gram	Losev_Prob	StatiiOP
1	в и	1	145
2	и в	48	103
3	в том	25	89
4	том что	29	77
5	в этом	31	76
6	что в	12	74
7	не только	28	60
8	и т	2	51
9	о том	17	47
10	но и	21	46
11	то что	26	44
12	что он	12	42
13	в его	19	42
14	и не	29	41
15	может быть	11	38
16	было бы	12	32
17	т д	1	32
18	в этой	14	31
19	вовсе не	18	31
20	тем что	2	29
21	все это	8	29
22	таким образом	20	28
23	в г	1	28
24	а в	8	27
25	а не	7	27
26	но в	17	26
27	что это	4	25
28	так и	15	25
29	этом отношении	4	24
30	в трагедии	9	24
31	и его	11	24
32	все же	12	23
33	точки зрения	17	23
34	не в	16	23
35	так что	18	23
36	потому что	21	23
37	для того	4	22
38	в которой	7	22
39	как в	3	22
40	того что	8	22
41	прежде всего	15	22
42	у нас	17	22
43	в области	3	22
44	того чтобы	3	21
45	до сих	3	20
46	это не	8	20
47	в своей	29	19
48	г в	1	19
49	сих пор	3	19
50	т п	1	19
51	в то	6	19
52	только в	21	19
53	в котором	5	18
54	с другой	8	18
55	он не	4	18
56	об этом	11	18
57	не может	6	18
58	в самом	7	17
59	в году	9	17
60	как на	1	17
61	между прочим	2	17
62	в русской	4	17
63	самом деле	3	17
64	в россии	2	17
65	как бы	10	17
66	в данном	6	17
67	своей трагедии	3	17
68	в этих	3	16
69	с этим	3	16
70	сказать что	13	16
71	можно было	4	16
72	если бы	2	16
73	в ней	4	16
74	г и	1	16
75	другой стороны	8	15
76	его трагедии	1	15
77	с тем	7	15
78	как и	10	15
79	по поводу	2	15
80	из этих	2	15
81	у него	13	15
82	я не	3	15
83	и на	9	15
84	например в	1	15
85	в отношении	8	15
86	как раз	7	15
87	для него	2	15
88	также и	21	15
89	то же	6	14
90	но все	6	14
91	так например	1	14
92	к тому	7	14
93	с точки	13	14
94	между тем	2	14
95	и что	9	14
96	была бы	3	14
97	в той	5	13
98	именно в	11	13
99	во всяком	7	13
100	в своем	16	13
101	из них	4	13
102	в качестве	9	13
103	а с	4	13
104	в конце	10	13
105	в нем	8	13
106	вместе с	15	13
107	со стороны	1	13
108	всяком случае	6	13
109	но это	7	13
110	дело в	4	13
111	что касается	5	13
112	жизни и	7	13
113	тому что	2	13
114	в своих	3	12
115	не менее	8	12
116	хотя бы	11	12
117	что у	6	12
118	обстоятельство что	2	12
119	в первой	2	12
120	ни в	17	12
121	так как	10	12
122	что они	4	12
123	в них	5	11
124	в другом	6	11
125	никогда не	7	11
126	не было	4	11
127	ясно что	11	11
128	и с	10	11
129	и по	2	11
130	своего рода	1	11
131	из его	1	11
132	того как	5	11
133	вопрос о	2	11
134	все эти	12	11
135	это было	2	11
136	то обстоятельство	1	11
137	на то	2	11
138	кроме того	5	10
139	не столько	1	10
140	в виду	3	10
141	так же	7	10
142	что такое	1	10
143	что и	8	10
144	xix века	1	10
145	это слово	1	10
146	но он	5	10
147	во всех	2	10
148	а как	2	10
149	в каком	1	10
150	в истории	1	10
151	же время	1	10
152	ничего не	3	10
153	на самом	2	10
154	по словам	2	10
155	но не	12	10
156	в частности	5	10
157	в начале	6	10
158	и к	9	9
159	с этой	4	9
160	говорит о	9	9
161	можно сказать	10	9
162	он был	5	9
163	в одном	6	9
164	говорит что	1	9
165	внимание на	4	9
166	несмотря на	7	9
167	его жизни	1	9
168	и это	3	9
169	в чем	3	9
170	в каждом	2	9
171	и тем	4	9
172	что эта	3	9
173	не является	2	9
174	такого рода	4	9
175	времени и	1	9
176	и для	11	9
177	для нас	14	9
178	что мы	4	9
179	там где	1	9
180	по этому	5	9
181	и об	2	8
182	в результате	11	8
183	и даже	24	8
184	по его	2	8
185	еще более	4	8
186	что она	2	8
187	к этому	2	8
188	связи с	11	8
189	одним из	1	8
190	и др	1	8
191	могут быть	2	8
192	в общем	1	8
193	нужно сказать	1	8
194	должен был	2	8
195	заключается в	1	8
196	не имеет	3	8
