N	2gram	Medvedev_U	NovoeSre
1	а не	10	17
2	не может	7	16
3	и в	14	16
4	и не	8	11
5	что в	1	9
6	в том	2	8
7	он не	1	8
8	в этом	7	7
9	может быть	6	7
10	как и	3	7
11	не в	2	6
12	с его	2	6
13	но это	2	6
14	никогда не	1	6
15	не только	10	5
16	в ней	1	5
17	все это	5	5
18	в нем	1	5
19	перестает быть	5	4
20	и потому	1	4
21	должно быть	1	4
22	это не	3	4
23	прежде всего	8	4
24	то что	7	4
25	не было	1	4
26	и все	1	4
27	и для	2	4
28	о том	1	4
29	к лицу	1	3
30	должна быть	2	3
31	она не	1	3
32	что такое	4	3
33	за пределы	1	3
34	конечно не	4	3
35	не существует	1	3
36	с другой	4	3
37	в россии	4	3
38	сказать что	1	3
39	с тем	1	3
40	не значит	1	3
41	не есть	2	3
42	в своей	3	3
43	но и	4	3
44	это было	2	3
45	человека и	1	3
46	все они	2	2
47	и что	1	2
48	что она	2	2
49	с одной	1	2
50	хотя бы	5	2
51	мы не	2	2
52	вот почему	7	2
53	природе и	1	2
54	так и	1	2
55	если нет	1	2
56	одной стороны	1	2
57	не ставит	1	2
58	другой стороны	3	2
59	этом смысле	2	2
60	у него	1	2
61	и даже	1	2
62	и формы	3	2
63	и с	2	2
64	по существу	2	2
65	для этого	3	2
66	нет и	1	2
67	равно как	1	2
68	могут быть	2	2
69	в себе	2	2
70	быть в	1	2
71	уже не	1	2
72	что все	2	2
73	же как	1	2
74	но не	2	2
75	в то	3	2
76	том что	2	2
77	и это	1	2
78	но для	1	2
79	к созданию	1	2
80	реакцией против	1	2
81	но в	3	2
82	формы и	2	2
83	обращение к	1	2
84	в той	1	1
85	все в	1	1
86	в самом	2	1
87	но тут	1	1
88	можно сказать	1	1
89	все что	1	1
90	для всех	2	1
91	и быть	1	1
92	до сих	2	1
93	изжит и	1	1
94	в котором	1	1
95	что этот	1	1
96	она должна	1	1
97	переходит в	1	1
98	в значительной	1	1
99	для себя	1	1
100	но также	1	1
101	себе нового	1	1
102	быть не	1	1
103	не для	1	1
104	споров о	1	1
105	последние годы	1	1
106	это значит	1	1
107	а это	1	1
108	в этот	1	1
109	это уже	2	1
110	он и	1	1
111	было бы	3	1
112	в его	2	1
113	и вся	1	1
114	и через	2	1
115	у нас	3	1
116	не столько	2	1
117	себя на	1	1
118	вопроса о	2	1
119	в виду	1	1
120	превращается в	2	1
121	слова а	1	1
122	нужно будет	1	1
123	только в	2	1
124	этого конечно	1	1
125	не могут	2	1
126	было и	1	1
127	была уже	1	1
128	механическое сцепление	1	1
129	всего что	1	1
130	и бессодержательной	1	1
131	но он	1	1
132	в которой	1	1
133	в этой	4	1
134	этого не	1	1
135	и техники	1	1
136	как на	1	1
137	он в	1	1
138	и формального	1	1
139	и возвращается	1	1
140	от вопроса	1	1
141	тем что	2	1
142	в конце	2	1
143	так много	1	1
144	смысле и	1	1
145	приобретает характер	1	1
146	в своем	1	1
147	нам далеко	1	1
148	в последние	1	1
149	сих пор	2	1
150	что он	2	1
151	их в	1	1
152	он может	1	1
153	что мы	2	1
154	в период	1	1
155	но если	1	1
156	по себе	2	1
157	приводит к	1	1
158	только для	1	1
159	в области	3	1
160	вверх ногами	1	1
161	и только	5	1
162	и истории	1	1
163	в известном	1	1
164	тут мы	1	1
165	не случайно	2	1
166	отказаться от	1	1
167	и у	2	1
168	гораздо больше	1	1
