1	бы то ни было	6	11
2	одного и того же	1	9
3	в то же время	26	7
4	но в то же	11	6
5	и не может быть	1	5
6	на самом же деле	1	5
7	не может быть и	1	4
8	может быть и речи	1	4
9	одно и то же	3	3
10	и того же слова	1	3
11	один и тот же	1	3
12	в неразрывной связи с	1	3
13	как если бы он	2	3
14	лишь с точки зрения	1	3
15	какой бы то ни	2	3
16	каких бы то ни	1	3
17	в том числе и	1	3
18	в том что он	5	3
19	в той или иной	5	3
20	и до настоящего времени	1	3
21	так как если бы	1	2
22	в собственном смысле слова	1	2
23	уже с самого начала	1	2
24	в таком случае это	1	2
25	той или иной степени	2	2
26	одного поколения к другому	1	2
27	от одного поколения к	1	2
28	так же как и	1	2
29	и то же слово	1	2
30	какого бы то ни	1	2
31	с точки зрения своего	2	2
32	все более и более	1	2
33	и он сам и	1	1
34	если бы это было	1	1
35	одну и ту же	1	1
36	том что он находится	1	1
37	сих пор совершенно не	2	1
38	это и есть та	1	1
39	в его целом это	1	1
40	как и во всякой	1	1
41	провести отчетливую границу между	1	1
42	друг за другом и	1	1
43	до сих пор совершенно	2	1
44	в разрезе данного мгновения	2	1
45	с одной стороны и	1	1
46	и в большинстве случаев	2	1
47	которой можно найти только	1	1
48	не чем иным как	1	1
49	слово в то же	1	1
50	как мы увидим в	1	1
51	не с точки зрения	1	1
52	в той форме в	1	1
53	если бы он и	1	1
54	не может до конца	3	1
55	о которых мы упоминали	1	1
56	это не значит конечно	2	1
57	в прямо противоположных направлениях	1	1
58	в большей или меньшей	3	1
59	не значит конечно что	2	1
60	в отношении к другому	3	1
61	с точки зрения содержания	1	1
62	до сих пор не	1	1
63	на чужое слово и	3	1
64	одна и та же	2	1
65	тем не менее в	1	1
66	или иной степени в	1	1
67	никогда не может быть	1	1
68	можно сказать что вся	1	1
69	именно в том что	1	1
70	бы они ни были	1	1
71	чужое слово и на	1	1
72	и в другом направлении	1	1
73	то же самое слово	1	1
74	позиции по отношению к	1	1
75	и для себя самого	3	1
76	и прежде всего в	1	1
77	мы можем сказать что	2	1
78	для него как бы	1	1
79	иначе и быть не	1	1
80	как бы оно ни	1	1
81	в том что это	1	1
82	той или иной форме	2	1
83	рядом друг с другом	1	1
84	не может быть понято	1	1
85	по отношению к нему	2	1
86	в конце концов так	1	1
87	как к своему центру	1	1
88	ибо как мы знаем	1	1
89	может войти в мир	1	1
90	смысле этого слова как	1	1
91	в сущности ничего не	1	1
92	конце концов так же	1	1
93	или во всяком случае	1	1
94	они становятся как бы	1	1
95	дело в том что	2	1
96	которых мы упоминали выше	1	1
97	бы оно ни было	1	1
98	с точки зрения ее	1	1
99	а может быть и	1	1
100	это было так то	1	1
101	себя на самом деле	1	1
102	друг с другом как	1	1
103	с точки зрения этого	1	1
104	можно прямо сказать что	1	1
105	с другой стороны и	3	1
106	не только может быть	1	1
107	сама по себе лишена	1	1
108	но тем не менее	2	1
109	несмотря на то что	1	1
110	мы уже говорили что	4	1
