1	точном смысле этого слова	2	3
2	одно и то же	5	3
3	одной и той же	4	3
4	все больше и больше	2	2
5	в точном смысле этого	2	2
6	одна и та же	1	2
7	при этом мы условно	1	1
8	в той же мере	1	1
9	мы должны были бы	1	1
10	в жизни и в	1	1
11	если мы будем говорить	1	1
12	до того как перейти	1	1
13	при этом она приобретает	1	1
14	которые с точки зрения	1	1
15	то для того чтобы	1	1
16	как мы увидим ниже	1	1
17	не что иное как	2	1
18	о том что такое	1	1
19	становится совершенно ясным что	1	1
20	и то же слово	2	1
21	в одной и той	1	1
22	того как перейти к	1	1
23	в том и другом	1	1
24	том и другом случае	1	1
25	одного и того же	1	1
