N	3gram	Propp_Russ	EvropaiE
1	с точки зрения	3	16
2	с одной стороны	1	8
3	в том что	27	6
4	так же как	5	5
5	для того чтобы	6	5
6	не только в	1	4
7	и в этом	2	4
8	друг с другом	1	3
9	из западной европы	1	3
10	можно думать что	1	3
11	в применении к	1	3
12	можно было бы	2	3
13	же как и	3	3
14	свой народ и	2	3
15	во всяком случае	1	3
16	можно сказать что	1	3
17	в этом отношении	1	3
18	но не только	1	2
19	в одном из	1	2
20	сказать что в	1	2
21	и все другие	1	2
22	приводит нас к	3	2
23	как мы видели	1	2
24	западной европы в	1	2
25	не может быть	1	2
26	на то что	2	2
27	в большинстве случаев	2	2
28	в данном случае	7	2
29	то что в	1	2
30	во второй половине	1	2
31	в свою очередь	2	2
32	из того что	1	2
33	нужно заметить что	1	2
34	во многих отношениях	2	1
35	мы видели что	1	1
36	и т д	12	1
37	хотя и не	1	1
38	что в этот	2	1
39	в противном случае	1	1
40	в течение года	2	1
41	так обстояло дело	2	1
42	и не только	1	1
43	и затем в	1	1
44	не означает что	1	1
45	и та же	1	1
46	как это имело	1	1
47	рождества христова и	1	1
48	т е не	1	1
49	данном случае она	1	1
50	а именно в	1	1
51	во многих других	1	1
52	в других случаях	2	1
53	как и другие	4	1
54	мы не можем	5	1
55	к тому что	4	1
56	но и в	1	1
57	во многих случаях	4	1
58	то время как	1	1
59	из составных частей	1	1
60	во всех этих	1	1
61	в отличие от	4	1
62	еще далеко не	2	1
63	и в своем	1	1
64	и то и	1	1
65	именно тогда когда	1	1
66	это имело место	1	1
67	рождества христова в	1	1
68	и того же	1	1
69	тех случаях когда	2	1
70	из всего этого	1	1
71	не более как	1	1
72	не может не	1	1
73	с тем что	1	1
74	мы увидим что	1	1
75	как будто нет	1	1
76	случае она не	1	1
77	т е до	1	1
78	в связи с	4	1
79	вероятно что в	1	1
80	в некоторых случаях	1	1
81	в том же	1	1
82	в ближайшем будущем	1	1
83	имело место при	1	1
84	например то что	1	1
85	можно рассматривать как	1	1
86	и в другие	4	1
87	главным образом из	1	1
88	не можем входить	1	1
89	в то время	3	1
90	только тогда когда	3	1
91	чем в других	1	1
92	что в этом	2	1
93	более или менее	1	1
94	независимо от того	1	1
95	время не имеет	1	1
96	но так как	1	1
97	на этот вопрос	1	1
98	и во многих	1	1
99	в западной европе	2	1
100	в тех случаях	2	1
101	что в течение	1	1
102	совершенно очевидно что	2	1
103	одна и та	1	1
104	одного и того	1	1
105	которые можно было	1	1
106	же все эти	1	1
107	может быть и	3	1
108	друг к другу	2	1
