N	3gram	Tiupa_Vved	Vladivir
1	в том что	10	29
2	о том что	6	22
3	тем не менее	3	18
4	что же касается	2	14
5	дело в том	1	13
6	во всяком случае	3	12
7	в связи с	1	12
8	содержит в себе	1	11
9	более или менее	2	11
10	к тому же	6	11
11	не может быть	6	10
12	в то же	5	10
13	то что он	1	9
14	в этом смысле	1	9
15	как раз и	1	9
16	на этот раз	2	9
17	то же время	4	9
18	а также и	2	8
19	на то что	2	8
20	само по себе	1	6
21	в данном случае	15	6
22	в отличие от	11	6
23	с другой стороны	2	6
24	и в этом	1	6
25	в настоящее время	1	6
26	как мы видели	3	6
27	в году в	1	6
28	ничего не говорит	1	5
29	на первом плане	1	5
30	и в то	1	5
31	не только в	3	5
32	можно сказать что	1	4
33	в том же	1	4
34	для того чтобы	1	4
35	в этом отношении	7	4
36	мы увидим ниже	1	4
37	к этому времени	1	4
38	в том чтобы	2	4
39	по крайней мере	1	4
40	не что иное	1	4
41	можно было бы	2	4
42	что иное как	1	4
43	с одной стороны	9	4
44	в последние годы	1	3
45	а не к	1	3
46	в самом деле	2	3
47	в котором он	1	3
48	в том числе	1	3
49	не в том	3	3
50	свидетельствует о том	1	3
51	иметь в виду	1	3
52	а с другой	3	3
53	а в том	3	3
54	к тому что	1	3
55	но это не	1	3
56	в свою очередь	5	3
57	за свое существование	1	3
58	так и не	4	3
59	в своем учении	1	3
60	хотя и не	2	3
61	с самого начала	1	3
62	у нас нет	2	3
63	так же как	1	2
64	но только в	1	2
65	одной стороны и	3	2
66	и тот же	1	2
67	и по своим	1	2
68	в таком случае	1	2
69	в себе не	1	2
70	и прежде всего	1	2
71	и вот теперь	1	2
72	и во многом	1	2
73	из них не	1	2
74	и такого рода	1	2
75	а не только	1	2
76	в ответ на	1	2
77	но и здесь	1	2
78	один и тот	1	2
79	в этом рассуждении	1	2
80	и даже в	1	2
81	об этом и	1	2
82	но в данном	2	2
83	но в то	1	2
84	том что и	1	2
85	одно и то	1	2
86	и то же	1	2
87	в этом случае	1	2
88	и можно сказать	1	2
89	как мы увидим	1	2
90	и все же	6	2
91	то что мы	1	2
92	но на этот	1	2
93	это и есть	1	2
94	если бы мы	1	2
95	не спал всю	1	1
96	но в этот	1	1
97	благодаря тому что	1	1
98	в самом начале	1	1
99	и в жизни	2	1
100	мы никак не	1	1
101	но и не	1	1
102	бы и не	2	1
103	спал всю ночь	1	1
104	все то что	1	1
105	как будто бы	3	1
106	за ее пределы	1	1
107	со всеми своими	1	1
108	это вовсе еще	1	1
109	период в жизни	1	1
110	но и по	1	1
111	и даже не	1	1
112	в той же	1	1
113	отнюдь не является	1	1
114	до известной степени	1	1
115	а не с	1	1
116	как и вообще	1	1
117	к одному из	1	1
118	в том как	2	1
119	мы читаем о	1	1
120	рассуждение о том	1	1
121	не говорится о	1	1
122	не было и	2	1
123	он не может	1	1
124	сказать и о	1	1
125	том же году	1	1
126	котором он не	1	1
127	потому что она	1	1
128	собственно говоря и	1	1
129	но это вовсе	1	1
130	не только с	1	1
131	а не просто	1	1
132	она тем что	1	1
133	у него были	1	1
134	в приведенных выше	1	1
135	то что можно	1	1
136	три года до	1	1
137	а также в	1	1
138	не столько самой	1	1
139	те же самые	1	1
140	них не может	1	1
141	той или иной	4	1
142	в рассматриваемом нами	1	1
143	что же в	1	1
144	в его сознании	1	1
145	ни с того	1	1
146	и тем самым	2	1
147	первые три главы	1	1
