N	3gram	Voloshinov	VeschiIm
1	и т д	1	38
2	не может быть	14	24
3	бы то ни	3	12
4	не что иное	1	12
5	то ни было	2	12
6	что иное как	1	12
7	тем не менее	4	11
8	по крайней мере	1	10
9	в том что	9	9
10	есть не что	1	8
11	в самом деле	10	7
12	по сравнению с	1	7
13	ни в каком	2	6
14	с точки зрения	15	6
15	вовсе не есть	1	6
16	в свою очередь	4	5
17	и тем не	2	5
18	в чем же	2	5
19	не есть только	1	5
20	в то же	6	5
21	и то же	1	5
22	одно и то	1	5
23	равно как и	2	4
24	от того что	1	4
25	то что является	1	4
26	есть прежде всего	1	4
27	в то время	1	4
28	сам по себе	4	4
29	в каком случае	2	4
30	что же такое	2	4
31	не только не	1	4
32	дело в том	1	4
33	о том что	3	4
34	это и есть	2	4
35	то же время	6	4
36	мы видели что	3	3
37	и даже не	1	3
38	заключается в том	2	3
39	уже не может	1	3
40	можно сказать что	5	3
41	все же не	1	3
42	из того что	1	3
43	она не может	1	3
44	мы не можем	3	3
45	можно было бы	1	3
46	и в то	1	3
47	в собственном смысле	3	3
48	только то что	3	3
49	с одной стороны	2	3
50	то что мы	2	3
51	так же как	1	2
52	своих прежних работах	1	2
53	то что он	1	2
54	все то что	3	2
55	все это –	3	2
56	каком случае не	1	2
57	мы находим в	1	2
58	в применении к	2	2
59	в данном случае	4	2
60	у нас в	2	2
61	в свое время	1	2
62	хотя бы и	2	2
63	в этом смысле	2	2
64	а следовательно и	2	2
65	для этого нужно	2	2
66	для того чтобы	3	2
67	или по крайней	1	2
68	но в чем	1	2
69	но что же	1	2
70	друг с другом	1	2
71	том что он	2	2
72	в своих прежних	1	2
73	а есть только	1	2
74	только один из	1	2
75	в конце концов	2	2
76	и таким образом	1	2
77	даже и не	1	2
78	как бы ни	1	2
79	никакого отношения к	1	2
80	можно говорить о	1	2
81	то что же	1	2
82	но даже и	1	2
83	одну или другую	1	2
84	нужно сказать что	1	2
85	к тому что	2	2
86	но все же	1	2
