N	3gram	Voloshinov	PoTuStor
1	с точки зрения	5	6
2	на самом деле	3	4
3	по ту сторону	1	4
4	с самого начала	4	4
5	до сих пор	1	3
6	не может быть	2	3
7	в большинстве случаев	1	3
8	по крайней мере	1	3
9	по сравнению с	1	3
10	можно сказать что	2	3
11	все то что	2	2
12	на две группы	1	2
13	в конечном счете	1	2
14	о том что	2	2
15	в самом деле	2	2
16	не нуждается в	1	2
17	связанных с ними	1	2
18	и в этом	1	2
19	каждое из этих	1	1
20	мы говорили что	1	1
21	одних и тех	1	1
22	в том что	1	1
23	и как всякий	1	1
24	мы не можем	1	1
25	не что иное	2	1
26	и та же	1	1
27	что иное как	2	1
28	из всего сказанного	1	1
29	той или иной	4	1
30	вместе с тем	2	1
31	мы уже знаем	1	1
32	но вместе с	1	1
33	я и в	1	1
34	можно было бы	1	1
35	прежде всего на	1	1
36	в своей первой	1	1
37	человек не может	1	1
38	мы должны перейти	1	1
39	только одна из	1	1
40	значения из одного	1	1
41	мы имеем в	1	1
42	на это мы	1	1
43	в душе человека	1	1
44	и ту же	2	1
45	и как мы	1	1
46	ее не только	1	1
47	другими словами на	1	1
48	и того же	1	1
49	нам в голову	1	1
50	и т.п и	3	1
51	несмотря на это	1	1
52	в высшей степени	1	1
53	войти в историю	1	1
54	мы увидим что	2	1
55	одну и ту	2	1
56	одна и та	1	1
57	на первый взгляд	2	1
58	то же самое	4	1
59	в каком направлении	1	1
60	что же делает	1	1
61	для того чтобы	7	1
62	художественного творчества и	1	1
63	в разных местах	2	1
64	в нем и	1	1
65	в этом отношении	2	1
66	нет ничего удивительного	1	1
67	связи с этим	2	1
68	самым существенным моментом	1	1
69	и тех же	1	1
70	на вопрос о	1	1
71	но даже и	1	1
72	нужно отметить что	1	1
73	одного и того	1	1
74	же самое и	1	1
75	в связи с	2	1
