N	3gram	Tiupa_Lite	UchenyiS
1	в конечном счете	8	4
2	не может быть	5	4
3	то ни было	1	3
4	с другой стороны	5	3
5	бы то ни	1	3
6	в то же	12	3
7	то же время	12	3
8	и то что	2	2
9	в том что	15	2
10	в самом деле	1	2
11	не могут быть	1	2
12	до сих пор	1	2
13	тех или иных	2	2
14	и в частности	1	2
15	в конце концов	1	2
16	в этом отношении	5	2
17	но даже и	1	2
18	по крайней мере	2	2
19	во главу угла	1	1
20	быть не может	1	1
21	в не меньшей	1	1
22	так или иначе	8	1
23	интерес не только	1	1
24	или иных приемов	1	1
25	на первый взгляд	1	1
26	которые могли бы	1	1
27	но в то	1	1
28	и только как	1	1
29	же время не	2	1
30	и у пушкина	1	1
31	с одной стороны	8	1
32	нам представляется что	1	1
33	его претензии на	1	1
34	как нам представляется	2	1
35	что такое искусство?	2	1
36	первый взгляд представляется	1	1
37	и не только	1	1
38	а не только	1	1
39	на то что	1	1
40	является одним из	1	1
41	не только в	4	1
42	и прежде всего	4	1
43	и в то	1	1
44	не меньшей степени	1	1
45	в данном случае	6	1
46	для тех кто	1	1
47	в этом случае	2	1
48	слово как таковое	1	1
49	в художественном отношении	1	1
