N	2gram	Bakhtin_Pr	TeoriaLi
1	в качестве	1	33
2	в мире	8	26
3	не только	14	24
4	и в	83	24
5	в частности	1	23
6	то есть	86	22
7	состоит в	1	22
8	может быть	23	22
9	при этом	6	20
10	в том	22	20
11	художественной деятельности	1	17
12	и не	41	17
13	а в	4	15
14	но и	16	14
15	а не	19	14
16	так и	9	14
17	в себе	10	14
18	но не	9	13
19	в этом	24	12
20	но в	12	12
21	в его	15	12
22	то же	10	12
23	своего рода	7	11
24	том что	9	11
25	точки зрения	17	11
26	и его	13	11
27	что в	5	10
28	эстетическое отношение	1	10
29	по отношению	6	10
30	как это	2	10
31	лишь в	1	10
32	отношению к	5	10
33	в душе	1	9
34	только в	10	9
35	в данном	1	9
36	с другой	4	9
37	не в	10	9
38	в то	8	9
39	в своей	5	8
40	же время	8	8
41	как бы	27	8
42	по своей	12	8
43	не может	18	8
44	в самом	7	7
45	на смену	1	7
46	или иной	2	7
47	и т.п	42	7
48	в отличие	1	7
49	в своем	2	7
50	себя в	1	7
51	мы имеем	4	7
52	а также	4	7
53	отличие от	1	7
54	во второй	1	7
55	отношение к	14	7
56	место в	3	7
57	в области	6	7
58	в нем	21	7
59	другой стороны	3	6
60	более или	3	6
61	как и	13	6
62	не менее	4	6
63	еще не	10	6
64	в основе	6	6
65	то что	14	6
66	со стороны	1	6
67	уже не	5	6
68	с его	4	6
69	в ее	3	6
70	с другими	6	6
71	или иначе	1	6
72	между ними	14	6
73	или менее	3	6
74	героя и	3	6
75	тем самым	2	6
76	в первой	2	6
77	ни в	4	5
78	в виду	3	5
79	так или	1	5
80	и одновременно	6	5
81	как в	10	5
82	можно сказать	12	5
83	не является	1	5
84	для того	1	5
85	жизни как	4	5
86	как правило	1	5
87	на почве	1	5
88	по преимуществу	1	5
89	данном случае	1	5
90	для него	1	5
91	того что	1	5
92	в себя	8	5
93	между тем	2	5
94	он не	5	5
95	и тем	4	5
96	в пределах	8	5
97	и о	3	5
98	могут быть	5	5
99	в отношении	3	4
100	не на	1	4
101	и сам	1	4
102	в этих	8	4
103	что он	6	4
104	в слове	2	4
105	языка в	1	4
106	совпадает с	1	4
107	входит в	1	4
108	в другом	1	4
109	говорить о	2	4
110	отношении к	2	4
111	и а	1	4
112	и т.д	5	4
113	сказать что	12	4
114	к тому	2	4
115	этого слова	3	4
116	во времени	1	4
117	никогда не	10	4
118	или иным	1	4
119	искусства но	1	4
120	это не	10	4
121	хотя и	10	4
122	в литературе	8	4
123	слова в	3	4
124	в их	7	4
125	его в	4	4
126	читателя в	1	4
127	но он	3	4
128	не знает	8	4
129	или даже	1	4
130	так в	1	4
131	мира и	3	4
132	по своему	6	4
133	со своей	2	4
134	а только	2	4
135	личности в	1	4
136	личности и	2	4
137	речи и	3	4
138	в свою	1	4
139	и что	3	4
140	самим собой	1	4
141	в форме	6	4
142	далеко не	4	4
143	того же	5	4
144	художественного мира	1	4
145	в силу	1	4
146	с ее	3	4
147	в целом	3	4
148	и ее	8	4
149	и к	13	3
150	к действительности	3	3
151	во втором	1	3
152	в таком	3	3
153	на меня	1	3
154	в момент	1	3
155	с этой	1	3
156	даже в	3	3
157	о чем	2	3
158	если бы	1	3
159	все эти	9	3
160	в романе	9	3
161	именно в	3	3
162	например в	8	3
163	в жизни	14	3
164	к его	2	3
165	в соответствии	3	3
166	их в	3	3
167	никто не	1	3
168	роль в	1	3
169	из которого	1	3
170	тем не	2	3
171	культуры в	1	3
172	следует подчеркнуть	1	3
173	перед нами	17	3
174	между собой	1	3
175	своей природе	4	3
176	сводятся к	1	3
177	в роли	2	3
178	потому что	9	3
179	между двумя	4	3
180	или иных	2	3
181	в одном	4	3
182	имеем в	3	3
183	мог бы	1	3
184	во всей	5	3
185	не все	1	3
186	от себя	1	3
187	и внешней	1	3
188	из этих	3	3
189	и для	5	3
190	о ней	1	3
191	таким образом	9	3
192	и то	2	3
193	человека к	3	3
194	и вот	1	3
195	том числе	15	3
196	в произведении	3	3
197	авторской позиции	3	3
198	в художественной	1	3
199	и потому	6	3
200	с точки	13	3
201	знаковом материале	1	3
202	как раз	6	3
203	не слияние	1	3
204	есть в	7	3
205	прежде всего	20	3
206	несет в	1	3
207	а на	2	3
208	и притом	2	3
209	связи с	1	3
210	или в	7	3
211	и позволяет	1	3
212	одним из	6	3
213	в равной	1	3
214	в связи	2	3
215	и как	1	3
216	в сторону	1	3
217	вовсе не	12	3
218	той или	2	3
219	во всех	15	3
220	а с	1	3
221	в акте	1	3
222	принадлежит к	1	3
223	в которой	2	3
224	не с	1	3
225	нового времени	8	3
226	к области	2	3
227	этом смысле	5	3
228	человека с	3	3
229	равной степени	1	3
230	в этой	3	3
231	что можно	1	3
232	и др	18	3
233	человеческой жизни	3	3
234	в узком	1	3
235	столь же	1	3
236	и по	5	3
237	слова как	1	3
238	тех или	2	3
239	в той	2	2
240	о жизни	1	2
241	ведет к	3	2
242	мире и	2	2
243	и другие	14	2
244	обращены к	1	2
245	образом и	3	2
246	для всех	2	2
247	один из	7	2
248	и здесь	4	2
249	и мира	1	2
250	и на	27	2
251	если в	2	2
252	рассказ о	2	2
253	от имени	1	2
254	жизни а	2	2
255	которая в	1	2
256	к числу	1	2
257	строго говоря	2	2
258	жить и	4	2
259	на этом	4	2
260	из которых	2	2
261	а затем	5	2
262	мы в	2	2
263	в году	2	2
264	не признает	1	2
265	по себе	3	2
266	не могут	4	2
267	в них	4	2
268	и даже	5	2
269	а напротив	1	2
270	здесь мы	3	2
271	заключается в	1	2
272	к более	1	2
273	литературных жанров	1	2
274	жизнь на	2	2
275	в одно	1	2
276	с ними	2	2
277	вместе с	5	2
278	жизни в	4	2
279	не вполне	1	2
280	себя и	3	2
281	отличается от	2	2
282	собою в	2	2
283	в следующей	1	2
284	всей своей	2	2
285	жизни на	2	2
286	своей жизни	3	2
287	к своему	4	2
288	о том	3	2
289	могут оказаться	2	2
290	не входит	1	2
291	казалось бы	4	2
292	при всем	3	2
293	при всей	3	2
294	это и	1	2
295	еще и	4	2
296	ними и	1	2
297	в диалоге	1	2
298	для автора	1	2
299	восходит к	1	2
300	духовной жизни	1	2
301	высказывания и	2	2
302	к нему	3	2
303	на основе	4	2
304	но во	2	2
305	не всегда	3	2
306	жанрового канона	1	2
307	и больше	1	2
308	не могло	1	2
309	только на	3	2
310	вступает в	1	2
311	может служить	2	2
312	и это	3	2
313	превращается в	5	2
314	времени и	4	2
315	других произведений	1	2
316	соответствии с	2	2
317	если мы	5	2
318	тем же	1	2
319	имеем дело	1	2
320	что она	2	2
321	для понимания	3	2
322	здесь не	5	2
323	в структуре	4	2
324	в мировой	1	2
325	в произведениях	2	2
326	он и	2	2
327	в системе	1	2
328	не просто	1	2
329	видения мира	1	2
330	в самой	2	2
331	только о	1	2
332	это своего	2	2
333	на время	2	2
334	жизни но	1	2
335	истории литературы	1	2
336	то в	1	2
337	что они	2	2
338	при котором	1	2
339	но на	2	2
340	жанровой традиции	8	2
341	в последней	1	2
342	одной из	6	2
343	что сама	1	2
344	несмотря на	3	2
345	корнями в	1	2
346	в формах	2	2
347	ее в	4	2
348	все это	11	2
349	что и	4	2
350	у нас	2	2
351	xix века	2	2
352	в европейской	2	2
353	с их	3	2
354	к жизни	2	2
355	таком случае	1	2
356	слова не	2	2
357	у него	5	2
358	в повести	3	2
359	от всех	2	2
360	говорит в	1	2
361	в присутствии	1	2
362	и некоторые	2	2
363	дело в	3	2
364	этих двух	5	2
365	на себя	3	2
366	не могли	2	2
367	в конце	5	2
368	я и	2	2
369	сама по	2	2
370	тому что	1	2
371	я не	6	2
372	на фоне	1	2
373	зрения и	2	2
374	первой части	1	2
375	это было	3	2
376	в чем	1	2
377	делает его	1	2
378	об этом	3	2
379	частной жизни	1	2
380	жизни то	1	2
381	такова например	2	2
382	тем более	2	2
383	а для	2	2
384	из виду	1	2
385	к одному	2	2
386	могли бы	2	2
387	о себе	2	2
388	но как	2	2
389	и одной	1	2
390	позволяет говорить	1	2
391	определенным образом	1	2
392	как уже	1	2
393	имеются и	1	2
394	этом мире	1	2
395	дело не	1	2
396	в рассказе	2	2
397	быть и	2	2
398	и существенно	1	2
399	но она	3	2
400	диалогическим углом	1	2
401	одно и	1	2
402	и является	1	2
403	за пределы	7	2
404	перед лицом	1	2
405	человека и	10	2
406	в большинстве	9	2
407	с человеком	3	2
408	тем или	1	2
409	не сводятся	1	2
410	так же	4	2
411	числе и	13	2
412	на уровне	1	2
413	человеческих отношений	2	2
414	что может	1	2
415	и особенно	3	2
416	о его	1	2
417	к чужому	1	2
418	в словаре	1	2
419	и прежде	6	2
420	как будто	3	2
421	включает в	1	2
422	автора как	1	2
423	события в	1	2
424	ни был	1	2
425	случае это	1	2
426	в пространстве	1	2
427	самим собою	6	2
428	могло быть	1	2
429	в особенности	2	1
430	с которыми	1	1
431	это на	1	1
432	строя и	1	1
433	от него	3	1
434	определить и	1	1
435	один голос	1	1
436	значение языкового	1	1
437	в последующих	3	1
438	все что	1	1
439	вступить в	2	1
440	это тот	1	1
441	за ним	1	1
442	и конечно	2	1
443	жизненных позиций	1	1
444	вещи в	1	1
445	же и	1	1
446	героев и	1	1
447	душе моей	1	1
448	и категорий	1	1
449	этой жанровой	1	1
450	и личной	1	1
451	своего собственного	1	1
452	его с	2	1
453	все люди	1	1
454	живет в	3	1
455	не знают	2	1
456	на ее	2	1
457	на первом	1	1
458	модус взаимоотношений	1	1
459	социальных диалектов	2	1
460	дело с	1	1
461	в которую	1	1
462	образа и	1	1
463	можно назвать	2	1
464	связей с	1	1
465	что делает	1	1
466	вопросу о	1	1
467	уходит своими	1	1
468	во внешних	1	1
469	а у	2	1
470	такова специфика	1	1
471	развития но	2	1
472	что это	2	1
473	стилей социальных	1	1
474	жанры в	1	1
475	события на	1	1
476	с ним	3	1
477	это уже	2	1
478	тем как	1	1
479	в сущности	15	1
480	говорит о	2	1
481	самой жизни	2	1
482	те же	1	1
483	не как	5	1
484	проникновения в	1	1
485	первых двух	1	1
486	в область	2	1
487	из того	1	1
488	разного рода	1	1
489	одному из	2	1
490	представлений о	2	1
491	смысле можно	1	1
492	дается в	1	1
493	и делает	1	1
494	своему собственному	1	1
495	в результате	2	1
496	то с	1	1
497	оно стремится	1	1
498	эта позиция	2	1
499	до последнего	1	1
500	не бывает	1	1
501	с собой	1	1
502	и само	1	1
503	языковых стилей	2	1
504	жизни ср	1	1
505	в центре	4	1
506	со всеми	8	1
507	сопоставлены или	1	1
508	и позволило	1	1
509	должен был	1	1
510	в драматическом	1	1
511	он уже	1	1
512	все то	4	1
513	с некоторыми	1	1
514	на свой	2	1
515	до этого	1	1
516	новое время	4	1
517	литературы но	1	1
518	внутренне не	1	1
519	в собственном	3	1
520	и делают	1	1
521	о мире	1	1
522	с ней	4	1
523	жизнь в	4	1
524	смысла и	1	1
525	мы говорим	2	1
526	все моменты	1	1
527	его произведений	3	1
528	значение в	4	1
529	античности в	3	1
530	можно даже	1	1
531	пусть это	1	1
532	тем что	2	1
533	него но	1	1
534	и действительно	3	1
535	и пусть	2	1
536	или противопоставлены	1	1
537	принадлежат к	1	1
538	но самое	1	1
539	литературный жанр	1	1
540	их поступки	1	1
541	чужому слову	1	1
542	и другим	1	1
543	дмитрий карамазов	1	1
544	этого типа	1	1
545	к самому	5	1
546	завершенность и	1	1
547	литературные жанры	1	1
548	нам уже	3	1
549	о судьбе	1	1
550	в обычной	2	1
551	с собою	1	1
552	все же	3	1
553	отношений не	1	1
554	других а	1	1
555	и вещи	1	1
556	в словах	2	1
557	не такое	1	1
558	не имеет	1	1
559	а этот	1	1
560	бы не	1	1
561	но у	1	1
562	да и	3	1
563	о котором	1	1
564	с героем	1	1
565	зависимости от	3	1
566	характерна для	4	1
567	и слово	2	1
568	складывались в	1	1
569	в стихах	1	1
570	ряд произведений	1	1
571	друг от	2	1
572	на каждом	1	1
573	свою собственную	1	1
574	зрения логики	1	1
575	высказывание в	1	1
576	своей внешней	1	1
577	по крайней	2	1
578	свое время	4	1
579	с этим	3	1
580	все они	2	1
581	быть это	1	1
582	можно в	1	1
583	одним и	1	1
584	совершенно не	4	1
585	все и	1	1
586	со смертью	3	1
587	европейского романа	3	1
588	не существует	1	1
589	истории не	1	1
590	в котором	8	1
591	его заместители	1	1
592	есть от	2	1
593	и такие	1	1
594	и пр	1	1
595	языка и	1	1
596	время оно	1	1
597	вопрос о	1	1
598	отвечая на	1	1
