N	3gram	Bakhtin_KF	Mirosoze
1	не может быть	11	28
2	в том что	2	9
3	а не в	2	9
4	это и есть	1	9
5	для того чтобы	1	7
6	и в этом	3	6
7	вместе с тем	1	6
8	и в нем	2	6
9	до сих пор	1	5
10	на этом пути	1	5
11	что и в	1	5
12	не было бы	3	5
13	может быть и	1	5
14	по отношению к	22	4
15	потому что в	1	4
16	в нем нет	1	4
17	никогда не было	1	4
18	на то что	1	4
19	есть лишь момент	3	4
20	для него и	1	3
21	не может не	1	3
22	к тому что	1	3
23	но это не	1	3
24	одна и та	2	3
25	и та же	2	3
26	в значительной степени	1	3
27	во всяком случае	1	3
28	бы и не	2	2
29	это не значит	1	2
30	смысле этого слова	1	2
31	а не к	1	2
32	хотя бы и	1	2
33	лежит в основе	1	2
34	не знает границ	1	2
35	он не может	1	2
36	в этом смысл	1	2
37	себя в своем	1	2
38	между тем как	3	2
39	в чем не	4	2
40	в нем не	1	2
41	все это лишь	1	2
42	и для него	2	2
43	и только в	3	2
44	для себя а	1	2
45	в том смысле	1	2
46	и менее всего	1	2
47	в движении в	1	2
48	в котором не	1	2
49	друг для друга	1	2
50	никогда не может	1	2
51	уже не только	1	2
52	ни в чем	4	2
53	и не знает	1	2
54	в иной мир	1	2
55	всего этого не	1	1
56	ничего не остается	1	1
57	в этот момент	1	1
58	независимо от его	1	1
59	как и на	1	1
60	бы он ни	2	1
61	все человеческое для	1	1
62	ничего общего не	2	1
63	и мир в	1	1
64	человека и человеческого	1	1
65	на том что	1	1
66	во всех его	1	1
67	он ни был	2	1
68	оно должно быть	1	1
69	не в себе	1	1
70	мог бы быть	1	1
71	для себя и	1	1
72	это не есть	3	1
73	не значит что	1	1
74	когда мы говорим	1	1
75	значит ли это	1	1
76	к нему он	1	1
77	но и тут	1	1
78	всю свою жизнь	1	1
79	в своей истории	1	1
80	к которой мы	1	1
81	к которой он	1	1
82	любви к человеку	1	1
83	не в ее	1	1
84	могут быть признаны	1	1
85	не в том	1	1
86	в том случае	1	1
87	не потому что	1	1
88	и должна быть	1	1
89	и не должно	1	1
90	не может жить	1	1
91	того что в	1	1
92	не единство а	1	1
93	со всеми своими	1	1
94	люди а не	1	1
95	в зависимости от	1	1
96	это нисколько не	1	1
97	вместо того чтобы	1	1
98	в этом мире	1	1
99	и тем самым	1	1
100	ее можно только	1	1
101	и кажется что	1	1
102	было дано в	1	1
103	не имеет смысла	1	1
104	и по отношению	1	1
105	но и от	1	1
106	может быть понята	1	1
107	но не в	1	1
108	в себе в	1	1
109	только в нем	1	1
110	нужно помнить что	1	1
111	в котором я	2	1
112	не имеет для	1	1
113	должен быть признан	1	1
114	тогда когда он	1	1
115	и все человеческое	1	1
116	только тогда когда	1	1
117	это-то и есть	1	1
118	но не было	1	1
119	раз и навсегда	2	1
120	себя и для	1	1
121	и не быть	2	1
122	сих пор не	1	1
123	не проникает в	5	1
124	той или иной	2	1
125	и как бы	1	1
126	он любит и	1	1
127	с разных точек	1	1
128	он должен быть	1	1
129	и потому только	1	1
130	не только от	1	1
131	с точки зрения	10	1
132	а не как	1	1
133	и землю и	1	1
134	из себя в	2	1
135	имеем в виду	2	1
136	как момент в	1	1
137	не есть еще	1	1
138	к нему подхода	1	1
139	и не в	1	1
140	а следовательно и	1	1
141	только в этом	1	1
142	в то же	2	1
143	во всех своих	3	1
144	в себе а	1	1
145	не в этом	1	1
146	отношению к нему	4	1
147	а не из	2	1
148	не для того	1	1
149	оно прежде всего	1	1
150	не есть для	1	1
151	не выходит из	1	1
152	то же время	2	1
153	нисколько не противоречит	1	1
154	и ценности и	1	1
155	ли это что	1	1
156	на самом деле	3	1
157	отражается и в	1	1
158	я не могу	1	1
159	смысле слова в	1	1
160	жизни и смерти	1	1
161	том смысле в	1	1
162	сознание не может	1	1
163	он за тобой	1	1
164	во всех этих	2	1
165	мир в котором	7	1
166	если он не	1	1
167	на своем я	1	1
168	все что есть	1	1
169	но это уже	2	1
170	ее уже нет	1	1
171	она может быть	1	1
172	и все же	1	1
173	потому только что	1	1
174	в нем и	3	1
175	общего не имеет	1	1
176	до конца и	1	1
177	нет и не	1	1
178	будет ли она	1	1
179	может быть противопоставлен	1	1
180	себе в своем	1	1
181	если бы не	1	1
