N	3gram	Bakhtin_fo	Vvedenie
1	и т д	3	39
2	для того чтобы	11	22
3	в том что	4	15
4	о том что	2	13
5	не может быть	4	10
6	в широком смысле	3	7
7	до сих пор	4	7
8	в самом деле	1	6
9	к выводу что	1	6
10	в то же	10	6
11	в этом случае	1	6
12	то же время	13	6
13	и т п	18	5
14	с другой стороны	1	5
15	во всяком случае	1	5
16	и в том	1	4
17	широком смысле слова	1	4
18	по отношению к	3	4
19	с точки зрения	9	4
20	по сравнению с	3	4
21	и в особенности	5	4
22	не только в	6	4
23	в данном случае	2	4
24	в отличие от	3	4
25	но все же	3	4
26	с одной стороны	3	4
27	в этом отношении	5	4
28	и в этом	2	4
29	одной стороны и	2	3
30	той или иной	3	3
31	вместе с тем	3	3
32	и в самом	1	3
33	можно сказать что	1	3
34	в строгом смысле	2	3
35	дело в том	2	3
36	но в то	2	3
37	как мы видели	1	3
38	в зависимости от	1	3
39	с тем что	2	3
40	также и в	3	3
41	то же самое	1	3
42	сама по себе	1	3
43	на этой почве	1	2
44	в свою очередь	1	2
45	мы уже знаем	1	2
46	но вместе с	1	2
47	в значительной мере	2	2
48	на том что	1	2
49	как об этом	1	2
50	не до конца	1	2
51	этой точки зрения	1	2
52	до наших дней	1	2
53	с этой точки	1	2
54	не могут не	1	2
55	только в том	1	2
56	и то же	4	2
57	как мы уже	11	2
58	каждой из них	1	2
59	но дело не	1	2
60	вообще не может	1	2
61	смысле этого слова	1	2
62	в конце концов	1	2
63	одно и то	4	2
64	могут быть названы	1	2
65	в данном отношении	1	2
66	в соответствии с	2	2
67	общий вопрос о	1	2
68	что в нем	1	2
69	что в этом	1	2
70	и того же	6	2
71	не могут быть	1	2
72	в связи с	12	2
73	а так как	1	2
74	в другом месте	2	2
75	здесь не место	2	2
76	одного и того	6	2
77	уже не только	1	2
78	а также и	3	2
79	может быть и	4	2
80	не совпадающем с	1	1
81	в эпоху возрождения	3	1
82	разумеется не в	1	1
83	дошедшие до нас	1	1
84	в той или	2	1
85	имеет свои корни	1	1
86	целого но все	1	1
87	как своего рода	1	1
88	свои корни в	1	1
89	соответствии с этим	2	1
90	в одном и	1	1
91	в том же	3	1
92	все то что	2	1
93	сказанного ясно что	1	1
94	не входят в	2	1
95	себе самому и	2	1
96	и др в	2	1
97	и том же	1	1
98	быть и речи	2	1
99	с этим в	2	1
100	или иной степени	1	1
101	человека в его	3	1
102	и до наших	1	1
103	дело не только	1	1
104	но и в	5	1
105	и тогда когда	1	1
106	в заключение нашего	1	1
107	по вопросу о	1	1
108	тесно связан и	1	1
109	и в дальнейшем	1	1
110	на самом деле	1	1
111	здесь как и	1	1
112	наряду с этим	3	1
113	мы говорим о	1	1
114	во всех отношениях	1	1
115	и закреплены традицией	1	1
116	приходит к выводу	1	1
117	тот факт что	1	1
118	и как оно	1	1
119	в том числе	7	1
120	когда мы говорим	1	1
121	в средние века	4	1
122	связи с этим	4	1
123	и для того	1	1
124	только в этом	1	1
125	народа в их	1	1
126	того чтобы быть	1	1
127	в частности в	1	1
128	каждом из них	2	1
129	может быть только	3	1
130	в них не	1	1
131	одним из существенных	1	1
132	все же в	2	1
133	в его прямой	1	1
134	в них и	1	1
135	то что можно	1	1
136	совершенно ясно что	1	1
137	в особенности в	2	1
138	во всех его	1	1
139	как мы видим	2	1
140	прежде всего к	1	1
141	как раз в	4	1
142	же в них	1	1
143	нуждается в какой-то	1	1
144	нечего и говорить	1	1
145	так же как	2	1
146	именно этого и	1	1
147	совершенно та же	1	1
148	в этом ее	1	1
149	не место для	1	1
150	имеем в виду	3	1
151	в более узком	1	1
152	и прежде всего	4	1
153	мы имеем в	2	1
154	том что в	1	1
155	тогда когда оно	1	1
156	с самого начала	3	1
157	в нем не	3	1
158	дошедших до нас	1	1
159	этого целого и	1	1
160	как если бы	2	1
161	не может не	1	1
162	и как раз	6	1
163	по глубине и	1	1
164	но в этом	2	1
165	и все прочие	1	1
166	в нем все	2	1
167	не могло не	1	1
168	имел в виду	1	1
169	и говорить о	1	1
170	в точном смысле	3	1
171	к тому что	1	1
172	та или иная	1	1
173	том что классическая	1	1
174	все это не	1	1
175	то увидим что	1	1
176	одном и том	1	1
177	историческая действительность в	1	1
178	и всего того	1	1
179	в значительной степени	1	1
180	прежде всего в	3	1
181	то что в	1	1
182	всего того что	1	1
183	только с помощью	1	1
184	потому что они	1	1
