N	3gram	Vinokur_Ku	SlovoVZh
1	по отношению к	8	11
2	не может быть	5	7
3	можно сказать что	2	5
4	в том что	23	4
5	дело в том	1	4
6	то ни было	1	3
7	до сих пор	5	3
8	этой точки зрения	4	3
9	и не в	2	3
10	бы то ни	1	3
11	тем не менее	9	3
12	может быть и	1	3
13	находит свое выражение	1	2
14	в каком отношении	1	2
15	форма должна быть	1	2
16	имеем в виду	1	2
17	на самом деле	3	2
18	одно и то	1	2
19	в данном случае	1	2
20	в зависимости от	7	2
21	с одной стороны	2	2
22	с другой стороны	12	2
23	и то же	1	2
24	с точки зрения	16	2
25	в настоящее время	2	2
26	сам по себе	1	1
27	отношению к которому	1	1
28	сами по себе	2	1
29	самом деле в	1	1
30	о том что	6	1
31	как одно из	1	1
32	ни в какой	1	1
33	в противном случае	2	1
34	следует ли из	1	1
35	в самом деле	14	1
36	бьют мимо цели	1	1
37	совершенно ясно что	1	1
38	в том и	3	1
39	как например в	1	1
40	особенно важное значение	1	1
41	все более и	1	1
42	в свою очередь	4	1
43	ничего общего с	2	1
44	на это мы	1	1
45	по себе не	1	1
46	и в частности	1	1
47	что мы имеем	2	1
48	как и в	1	1
49	таким образом не	1	1
50	какой бы то	1	1
51	в такой степени	1	1
52	характер и становится	1	1
53	но прежде всего	1	1
54	речи так как	1	1
55	во всяком случае	8	1
56	в литературе и	1	1
57	связь слова с	1	1
58	в лучшем случае	1	1
59	и с другой	1	1
60	первого же взгляда	1	1
61	это на примере	1	1
62	только то что	1	1
63	в ней еще	1	1
64	мы увидим что	2	1
65	хотя и здесь	1	1
66	в конечном счете	2	1
67	зависимости от того	1	1
68	тогда когда он	2	1
69	по аналогии с	1	1
70	к слову в	1	1
71	но есть в	1	1
72	точки зрения как	1	1
73	слова и не	1	1
74	можно было бы	11	1
75	в этом отношении	8	1
76	так же как	3	1
77	то же время	4	1
78	свое выражение в	2	1
79	с первого же	2	1
80	далеко не всегда	1	1
81	которая находит свое	1	1
82	между тем как	1	1
83	ясно что не	1	1
84	но для этого	1	1
85	тех или иных	1	1
86	грамматических форм которые	1	1
87	не должно быть	1	1
88	однако он не	1	1
89	более или менее	3	1
90	более и более	1	1
91	в то же	4	1
92	мы имеем в	1	1
93	и грамматических форм	1	1
94	ту же социальную	1	1
95	позицию по отношению	1	1
96	том что в	1	1
97	по крайней мере	11	1
98	берет на себя	1	1
99	того чтобы не	1	1
100	и тогда когда	3	1
101	но и вся	1	1
102	в этом смысле	8	1
103	но все это	1	1
104	степени зависит от	1	1
105	в виду не	2	1
106	уже не может	3	1
107	от того кто	1	1
108	но все же	3	1
109	самом деле это	1	1
110	мы видели в	1	1
111	и здесь мы	1	1
112	отнюдь не является	1	1
113	к тому же	1	1
114	они ни были	1	1
115	может быть только	2	1
116	к вопросу о	3	1
