N	4gram	Bakhtin_fo	Hudozhes
1	в то же время	10	7
2	мы имеем в виду	2	3
3	одно и то же	4	3
4	одного и того же	6	3
5	и не могло быть	1	2
6	в том числе и	4	2
7	в той или иной	2	2
8	с этой точки зрения	1	2
9	и в то же	6	2
10	в осмысленном и конкретном	1	1
11	не было и не	1	1
12	в том специфическом значении	1	1
13	было и не могло	1	1
14	той или иной форме	1	1
15	человека с самим собою	1	1
16	слияние пространственных и временных	1	1
17	включает в себя и	1	1
18	хронотопе имеет место слияние	1	1
19	как раз в том	1	1
20	в одном и том	1	1
21	место слияние пространственных и	1	1
22	с одной стороны и	2	1
23	с самим собою в	1	1
24	примет в осмысленном и	1	1
25	временных примет в осмысленном	1	1
26	осмысленном и конкретном целом	1	1
27	и временных примет в	1	1
28	из уст в уста	1	1
29	но и прежде всего	1	1
30	пространственных и временных примет	1	1
31	том числе и для	1	1
32	то же время оно	1	1
33	но в то же	2	1
34	не может быть и	2	1
35	одном и том же	1	1
36	в связи с этим	4	1
37	имеет место слияние пространственных	1	1
