N	3gram	Medvedev_V	Freidism
1	не может быть	8	14
2	по отношению к	7	11
3	в самом деле	1	10
4	в том что	5	9
5	во всяком случае	2	8
6	в то же	5	6
7	мы знаем что	2	6
8	то же время	5	6
9	может быть и	1	6
10	можно сказать что	4	5
11	в свою очередь	1	4
12	это вовсе не	1	4
13	в зависимости от	5	4
14	в данном случае	1	4
15	в таком случае	1	4
16	не могут быть	4	4
17	в этом отношении	14	4
18	фрейд и его	1	4
19	в последнем счете	1	4
20	все то что	1	3
21	только то что	2	3
22	для того чтобы	3	3
23	выйти за пределы	1	3
24	о том что	3	3
25	до сих пор	2	3
26	далеко не всегда	1	3
27	на этот вопрос	1	3
28	мы видели что	3	3
29	что все эти	2	3
30	но в то	1	3
31	а потому и	1	3
32	быть и речи	1	3
33	в конечном счете	5	3
34	нет и не	1	3
35	если бы он	1	3
36	и не может	2	3
37	равно как и	4	2
38	но вместе с	1	2
39	одним из наиболее	1	2
40	в применении к	1	2
41	и может быть	1	2
42	в этом смысле	1	2
43	в чем же	2	2
44	один из них	1	2
45	то или иное	1	2
46	ни в какой	1	2
47	хотя бы и	5	2
48	в конце концов	2	2
49	не отличается от	1	2
50	не чем иным	1	2
51	чем иным как	1	2
52	по меньшей мере	1	2
53	мы полагаем что	1	2
54	и по отношению	1	2
55	таким образом в	2	2
56	к тому что	4	2
57	это и есть	3	2
58	в другом месте	2	2
59	с одной стороны	2	2
60	то же самое	1	2
61	и т д	16	1
62	на этой почве	1	1
63	что он не	1	1
64	в этом случае	1	1
65	во время сна	1	1
66	это как мы	1	1
67	протекает в пределах	1	1
68	сих пор не	1	1
69	а как бы	1	1
70	вместе с этим	1	1
71	сводящийся к тому	1	1
72	того или иного	1	1
73	все эти высказывания	1	1
74	право говорить о	1	1
75	как будто бы	1	1
76	и др в	3	1
77	той или иной	1	1
78	по аналогии с	1	1
79	на язык сознания	1	1
80	каждого человека в	1	1
81	для самого себя	1	1
82	все зависит от	1	1
83	и связанное с	1	1
84	но и в	1	1
85	от того что	2	1
86	с того момента	1	1
87	как мы знаем	1	1
88	по крайней мере	2	1
89	по сравнению с	1	1
90	его таким образом	1	1
91	того что мы	1	1
92	его роль в	1	1
93	но она не	1	1
94	не имели бы	1	1
95	таково в основных	1	1
96	во всех его	2	1
97	может быть даже	1	1
98	этом отношении может	1	1
99	имеем в виду	1	1
100	и без того	1	1
101	бы он был	1	1
102	можно определить как	2	1
103	содержания и формы	1	1
104	если же сознание	1	1
105	в том же	1	1
106	только с того	1	1
107	он и не	1	1
108	из этих объективных	1	1
109	только в пределах	1	1
110	решение этой проблемы	1	1
111	только в этом	1	1
112	в то время	1	1
113	чтобы ответить на	1	1
114	количество труда и	1	1
115	главным образом у	1	1
116	не является особым	1	1
117	как называет ее	1	1
118	но даже и	1	1
119	и то же	1	1
120	говорит о том	1	1
121	них не было	1	1
122	у них не	1	1
123	все же не	1	1
124	со всех сторон	1	1
125	хотя и не	1	1
126	не было бы	4	1
127	в несколько иной	1	1
128	все это только	2	1
129	жизнь в его	1	1
130	ничего общего с	1	1
131	а между тем	1	1
132	только один из	1	1
133	иметь в виду	2	1
134	как и все	1	1
135	роль в этом	1	1
136	ответ на этот	1	1
137	одно и то	1	1
138	в основных чертах	3	1
139	бросается в глаза	1	1
140	сознания в формы	1	1
141	так же как	1	1
142	если можно так	1	1
143	во время работы	1	1
144	во всех этих	2	1
145	явлений и процессов	2	1
146	и никогда не	2	1
147	и в то	3	1
148	может обойтись без	1	1
149	из них не	2	1
150	этого процесса и	1	1
151	не только не	2	1
152	является для него	1	1
153	не может обойтись	1	1
154	и др и	1	1
155	в целом и	1	1
156	об этом у	1	1
157	того момента когда	1	1
158	в каком направлении	1	1
159	по этому вопросу	2	1
160	его от других	1	1
161	но все же	1	1
162	все это не	1	1
163	как это делает	3	1
164	могут быть сведены	1	1
165	точки зрения на	1	1
166	от всех других	1	1
167	мы не будем	1	1
168	таким образом и	1	1
169	к этой категории	1	1
170	оно может быть	1	1
171	даже и не	1	1
172	говорит об этом	1	1
173	тот или иной	1	1
174	фактов и явлений	1	1
175	можно было бы	2	1
176	то же явление	1	1
177	произведения во всех	1	1
178	можно так выразиться	1	1
