N	2gram	Bakhtin_Fr	Sotsiolo
1	все это	16	7
2	в том	17	5
3	в этом	22	5
4	не только	24	3
5	как же	1	3
6	не в	4	3
7	и в	105	3
8	и только	1	3
9	в его	24	3
10	для нас	5	3
11	литературы и	7	2
12	что в	4	2
13	то что	7	2
14	таким образом	5	2
15	том что	9	2
16	или даже	2	2
17	как бы	33	2
18	в результате	1	2
19	было бы	4	2
20	в литературоведении	1	2
21	в смысле	2	2
22	в частности	6	2
23	но и	20	2
24	конце концов	1	2
25	может быть	11	2
26	по существу	2	2
27	главным образом	6	2
28	это и	3	2
29	за пределы	10	2
30	по отношению	2	2
31	в конце	3	2
32	отношению к	2	2
33	исторического развития	2	2
34	должна быть	1	2
35	далеко не	6	2
36	только в	16	2
37	к которому	2	2
38	только как	1	2
39	то же	6	2
40	еще не	8	2
41	и стиля	1	1
42	а в	4	1
43	что он	5	1
44	несколько упрощенно	1	1
45	образом в	3	1
46	литературы как	1	1
47	даже в	6	1
48	на что	3	1
49	в таких	2	1
50	в целом	3	1
51	в силу	1	1
52	вряд ли	1	1
53	на этот	3	1
54	это значит	1	1
55	что эти	1	1
56	жизни он	1	1
57	все эти	15	1
58	не было	3	1
59	остается в	1	1
60	развития и	2	1
61	связи с	5	1
62	представляет и	1	1
63	систему его	1	1
64	только то	1	1
65	целом все	1	1
66	есть метод	1	1
67	в труде	1	1
68	в своей	8	1
69	что без	1	1
70	во всяком	2	1
71	в мире	1	1
72	и потому	14	1
73	переходим к	1	1
74	все же	10	1
75	еще и	6	1
76	от друга	1	1
77	с другой	3	1
78	ни на	3	1
79	мы понимаем	1	1
80	мы должны	2	1
81	это как	5	1
82	единства и	1	1
83	художественный стиль	1	1
84	с ним	6	1
85	между тем	5	1
86	собой не	1	1
87	и более	4	1
88	но как	3	1
89	в этой	11	1
90	время в	3	1
91	в свои	1	1
92	и его	24	1
93	опираясь на	1	1
94	они ни	1	1
95	это по	2	1
96	ли не	1	1
97	нашей работы	6	1
98	на все	5	1
99	только для	1	1
100	этих вопросов	1	1
101	далеки от	2	1
102	в области	10	1
103	и по	3	1
104	первый план	1	1
105	с помощью	1	1
106	один из	5	1
107	так и	16	1
108	в то	5	1
109	бы они	1	1
110	реализма и	2	1
111	развиваться в	1	1
112	в котором	1	1
113	те же	1	1
114	именно на	2	1
115	должно было	2	1
116	же это	1	1
117	и не	34	1
118	должны служить	1	1
119	выходит за	5	1
120	но она	1	1
121	всяком случае	2	1
122	эти два	2	1
123	же по	1	1
124	а строго	1	1
125	настоящее время	1	1
126	и о	4	1
127	это вовсе	1	1
128	и должны	1	1
129	вступает в	1	1
130	но не	7	1
131	жанра и	1	1
132	они не	1	1
133	в те	1	1
134	в него	2	1
135	благодаря этому	4	1
136	его утверждение	1	1
137	для этого	1	1
138	прежде всего	26	1
139	тем что	5	1
140	характера это	1	1
141	тем же	1	1
142	литературе о	1	1
143	литературного развития	2	1
144	в строгом	1	1
145	на тех	2	1
146	и основательно	1	1
147	друг от	1	1
148	в чем	2	1
149	не из	1	1
150	и связь	1	1
151	мы еще	1	1
152	еще недостаточно	2	1
153	а между	1	1
154	в лучшем	1	1
155	в сущности	20	1
156	в область	1	1
157	он говорит	1	1
158	его в	7	1
159	два типа	1	1
160	в наше	1	1
161	на определенных	1	1
162	в процессе	2	1
163	ни были	1	1
164	новое и	3	1
165	вовсе не	25	1
166	с одной	2	1
167	и наконец	2	1
168	конечно не	2	1
169	о том	5	1
170	мы не	1	1
171	в заключение	2	1
172	но именно	4	1
173	мысли в	1	1
174	наше время	1	1
175	в этих	6	1
176	какой же	1	1
177	у него	2	1
178	по себе	1	1
179	на отдельные	2	1
180	на первый	1	1
181	не место	1	1
182	без этого	1	1
183	перед нами	1	1
184	из тех	2	1
185	в любой	1	1
186	очень далеки	1	1
187	вот в	1	1
188	и остаются	1	1
189	литературе и	3	1
190	все то	1	1
191	хотя бы	2	1
192	же время	5	1
193	наконец в	2	1
194	что на	1	1
195	даже больше	1	1
196	это не	4	1
197	чуть ли	1	1
198	в серьезных	1	1
199	одной стороны	2	1
200	в связи	2	1
201	бы в	2	1
202	работы в	1	1
203	в виде	1	1
204	в настоящее	1	1
205	именно в	6	1
206	никогда не	11	1
207	не может	9	1
208	между ними	4	1
209	и как	2	1
210	что все	1	1
211	место в	4	1
212	как и	15	1
213	ничего не	3	1
214	в них	13	1
215	монументальный труд	1	1
