N	2gram	Medvedev_I	KulturaY
1	и в	1	84
2	в этом	2	57
3	и не	2	52
4	что в	2	44
5	того чтобы	1	44
6	для того	1	41
7	если бы	1	32
8	того что	1	28
9	все эти	1	28
10	с другой	1	24
11	так и	1	23
12	тем что	1	19
13	и с	3	18
14	все это	1	18
15	другой стороны	1	17
16	ничего не	2	16
17	по отношению	1	15
18	а в	1	15
19	в них	1	14
20	я не	1	14
21	отношению к	1	14
22	не случайно	1	13
23	по существу	1	13
24	говорить о	1	12
25	того же	1	12
26	должен быть	2	11
27	он не	2	11
28	бы в	1	10
29	тех же	1	10
30	очевидно что	1	9
31	а также	1	9
32	в целом	1	9
33	в первую	1	8
34	то и	1	8
35	и о	1	8
36	а с	1	7
37	как о	1	7
38	нисколько не	1	7
39	только что	1	6
40	только для	1	6
41	по поводу	1	6
42	от этого	1	6
43	первую очередь	1	6
44	а если	1	6
45	же это	1	6
46	доказать что	1	5
47	и еще	1	5
48	могло бы	1	5
49	никогда не	1	5
50	не так	1	5
51	как только	1	4
52	то она	1	4
53	не дает	1	4
54	что для	1	4
55	пушкина и	1	4
56	нам в	1	4
57	и без	1	4
58	факты и	1	3
59	другое дело	1	3
60	так то	1	3
61	на котором	1	3
62	более чем	1	3
63	для него	1	3
64	и со	1	3
65	и творчества	1	2
66	слишком много	1	2
67	бы что	2	2
68	и тот	1	2
69	и др	1	2
70	и ничего	1	2
71	с а	1	2
72	и идей	1	2
73	это был	1	2
74	это было	1	2
75	в руки	1	2
76	а по	1	2
77	во многом	1	2
78	жизни и	1	2
79	точно и	1	2
80	самого себя	2	1
81	и сам	1	1
82	бы все	1	1
83	чтобы доказать	1	1
84	не здесь	1	1
85	его ученики	1	1
86	знакомство с	1	1
87	следующим образом	1	1
88	себя в	1	1
89	о ней	1	1
90	этим и	1	1
91	от нее	1	1
92	стали бы	1	1
93	в эту	1	1
94	понятий и	1	1
95	сомневаюсь что	1	1
96	и та	1	1
97	оба они	2	1
98	них не	1	1
99	а отсюда	1	1
100	дает и	1	1
101	утверждает что	1	1
102	следовательно в	1	1
103	к нам	1	1
104	не сомневаюсь	1	1
105	какую роль	1	1
106	ничего в	1	1
107	в основе	1	1
108	в значительной	1	1
109	доказательство того	1	1
110	у всех	1	1
111	для других	1	1
112	это пушкин	1	1
113	есть только	1	1
114	все тех	1	1
115	не шучу	1	1
116	после смерти	1	1
