N	3gram	Vygotskiy_	FransuaR
1	то же время	1	55
2	в то же	2	55
3	мы уже говорили	2	43
4	как мы уже	2	28
5	в том что	24	27
6	в том числе	2	27
7	до сих пор	6	27
8	в большинстве случаев	2	22
9	с точки зрения	31	20
10	в этом отношении	7	20
11	для того чтобы	24	17
12	том числе и	2	17
13	о том что	4	17
14	как мы видели	7	16
15	и до конца	1	16
16	но и в	1	15
17	начала и до	1	14
18	не может быть	6	13
19	с одной стороны	7	13
20	в той же	2	13
21	на самом деле	2	13
22	с другой стороны	3	12
23	в отличие от	4	11
24	как и все	1	11
25	можно сказать что	7	11
26	самом же деле	1	10
27	той или иной	2	10
28	как и в	4	10
29	на самом же	1	10
30	в данном случае	5	10
31	в значительной степени	1	10
32	в конце концов	1	10
33	не только в	2	10
34	по отношению к	9	9
35	так и в	1	9
36	до известной степени	2	9
37	таким образом в	2	8
38	его связь с	1	8
39	мы видели что	3	8
40	после того как	1	8
41	в самом деле	4	7
42	в то время	8	7
43	о том как	1	7
44	включает в себя	2	7
45	можно было бы	5	7
46	прежде всего в	2	7
47	на первый план	1	7
48	в настоящее время	1	7
49	подобно тому как	2	7
50	во всех этих	1	7
51	в значительной мере	2	7
52	о чем мы	2	6
53	к тому же	1	6
54	но все же	1	6
55	и во всех	2	6
56	в свою очередь	3	6
57	с самого начала	13	6
58	одной стороны и	4	5
59	друг с другом	6	5
60	то же самое	11	5
61	в одной из	1	5
62	по сравнению с	20	5
63	но все это	1	5
64	во всяком случае	1	5
65	в том же	3	5
66	все же в	1	5
67	в первом случае	5	5
68	потому что он	4	5
69	вместо того чтобы	2	5
70	как раз в	3	5
71	это и есть	1	5
72	то что в	1	4
73	имеет в виду	3	4
74	том что в	3	4
75	в собственном смысле	4	4
76	и той же	5	4
77	сказать что в	1	4
78	здесь не в	1	4
79	по ту сторону	1	4
80	мы уже упоминали	1	4
81	не только для	1	4
82	прежде всего на	1	4
83	таким образом все	1	4
84	на этот вопрос	1	4
85	так же как	13	4
86	и то что	5	4
87	как мы увидим	1	4
88	в самом начале	5	4
89	также и в	1	4
90	что и в	1	4
91	так например в	1	4
92	во втором случае	5	4
93	одной и той	5	4
94	как раз и	1	4
95	и не может	2	4
96	мы находим в	2	4
97	а следовательно и	1	4
98	во всех областях	1	4
99	же время в	1	4
100	в предыдущей главе	1	3
101	потому что в	1	3
102	друг от друга	3	3
103	в нашем примере	1	3
104	видим таким образом	1	3
105	те же самые	1	3
106	мысли и слова	4	3
107	смысле этого слова	4	3
108	во всех деталях	1	3
109	и в отношении	1	3
110	не только не	11	3
111	и того же	3	3
112	совершенно иначе чем	1	3
113	вместе с тем	6	3
114	как мы знаем	1	3
115	дело здесь не	1	3
116	содержит в себе	4	3
117	и не могут	1	3
118	но и для	1	3
119	в себе в	2	3
120	что все это	1	3
121	в этом смысле	2	3
122	на том же	1	3
123	одного и того	3	3
124	в одной плоскости	1	3
125	именно потому что	1	3
126	хотя и в	2	3
127	есть не что	1	3
128	здесь как и	1	3
129	и там где	2	3
130	и в этом	2	3
131	заключается в том	9	3
132	не что иное	1	3
133	с таким же	1	3
134	в основе этого	1	3
135	все эти три	2	3
136	в сущности и	1	3
137	мы видим таким	1	3
138	что иное как	1	3
139	нет и не	3	3
140	может быть в	1	2
141	но и не	3	2
142	том что это	1	2
143	никак не может	1	2
144	в том или	1	2
145	в сущности все	1	2
146	они и не	1	2
147	его отношение к	1	2
148	совершенно так же	1	2
149	здесь как мы	1	2
150	сам по себе	2	2
151	но при этом	1	2
152	его отношения к	1	2
153	не потому что	1	2
154	таким образом что	1	2
155	в первых двух	1	2
156	и вместе с	2	2
157	но также и	1	2
158	в ряду этих	1	2
159	что в основе	1	2
160	по этому поводу	3	2
161	и с другой	1	2
162	из того что	5	2
163	одно из важнейших	1	2
164	есть и в	1	2
165	это нашло свое	1	2
166	два момента во-первых	1	2
167	то что он	1	2
168	и тем же	2	2
169	и может быть	1	2
170	в том чтобы	1	2
171	все они в	1	2
172	но это есть	1	2
173	первый из них	1	2
174	находит свое выражение	3	2
175	именно в этом	3	2
176	у нее нет	2	2
177	никогда не могут	1	2
178	распространяется на все	1	2
179	по своей природе	4	2
180	то время когда	1	2
181	главным образом в	1	2
182	в основном и	1	2
183	не могут быть	3	2
184	самый переход от	1	2
185	никогда не может	1	2
186	но и там	1	2
187	той же задаче	1	2
188	он еще не	1	2
189	в конечном счете	2	2
190	говорят о том	1	2
191	между словом и	8	2
192	и есть то	1	2
193	мы знаем что	2	2
194	так и по	2	2
195	том же самом	1	2
196	до некоторой степени	1	2
197	и по отношению	1	2
198	с полной ясностью	1	2
199	после всего сказанного	2	2
200	то что для	2	2
201	перестает быть самим	1	2
202	в известном смысле	2	2
203	только тогда когда	1	2
204	теми или иными	1	2
205	к нему и	1	2
206	на котором мы	2	2
207	что у него	1	2
208	языка но и	1	2
209	не могли не	1	2
210	мысль и слово	3	2
211	ничего общего с	1	2
212	со всеми ее	1	2
213	но именно этот	1	2
214	только в самом	1	2
215	одним и тем	2	2
216	то что было	1	2
217	в письменной и	1	2
218	в этом случае	15	2
219	том что он	2	2
220	же как и	3	2
221	мы не можем	3	2
222	быть самим собой	1	2
223	как одной из	1	2
224	мы остановимся в	1	2
225	потому что они	2	2
226	друг к другу	3	2
227	не мог понять	1	1
228	что в каждом	1	1
229	он говорит что	1	1
230	не являются чем-то	1	1
231	свое выражение в	5	1
232	в направлении к	3	1
233	он никак не	1	1
234	новых и новых	1	1
235	его в себя	1	1
236	в соответствии с	1	1
237	и никак не	1	1
238	в меру этого	1	1
239	и связанное с	1	1
240	к действительности и	1	1
241	и тогда когда	2	1
242	в сущности решает	1	1
243	и значение в	1	1
244	сих пор в	1	1
245	два основных момента	1	1
246	связь между словом	4	1
247	во всех трех	1	1
248	таким образом на	1	1
249	к частному и	2	1
250	в котором рассказывается	2	1
251	что между ними	1	1
252	и теоретически осмыслить	1	1
253	то в чем	2	1
254	не совпадает с	4	1
255	к которой мы	1	1
256	при помощи одних	1	1
257	так как она	4	1
258	по своему содержанию	1	1
259	к другу и	1	1
260	кроме того что	1	1
261	в действительности же	1	1
262	что при таком	1	1
263	в этом плане	1	1
264	но и вообще	1	1
265	в обоих случаях	1	1
266	будем исходить из	1	1
267	только в одной	1	1
268	с тем и	2	1
269	стремились показать что	2	1
270	но только в	1	1
271	и таким образом	1	1
272	и тем самым	8	1
273	и его отношения	1	1
274	речи и к	1	1
275	чем иным как	2	1
276	но вместе с	2	1
277	в последнее время	4	1
278	не знает ни	1	1
279	только и может	2	1
280	потому что не	1	1
281	имеет дело с	1	1
282	общего и частного	2	1
283	приводят к тому	1	1
284	мы говорили выше	2	1
285	что с точки	1	1
286	одна из важнейших	1	1
287	рядом друг с	1	1
288	и делает его	1	1
289	относится ко всему	1	1
290	так как в	2	1
291	же самое что	3	1
292	в нашем исследовании	1	1
293	тем же законам	1	1
294	находится в состоянии	1	1
295	может и не	1	1
296	и кричит ему	1	1
297	лежащие в основе	1	1
298	таким образом мы	2	1
299	лишь тогда когда	1	1
