N	3gram	Losev_Dial	Formalny
1	с точки зрения	25	40
2	не может быть	12	29
3	на самом деле	1	21
4	то же время	3	20
5	в то же	3	20
6	и т д	38	19
7	и т п	1	18
8	в связи с	3	16
9	во всяком случае	3	16
10	в самом деле	6	11
11	в этом отношении	2	11
12	бы то ни	2	10
13	в зависимости от	3	10
14	с другой стороны	3	9
15	и не может	1	9
16	для того чтобы	1	8
17	до сих пор	1	8
18	с одной стороны	3	8
19	в применении к	1	7
20	более или менее	1	7
21	того или иного	3	7
22	сами по себе	3	7
23	то ни было	1	7
24	и пр и	2	7
25	пр и пр	1	7
26	и в этом	4	7
27	в том что	12	6
28	и в то	2	6
29	с тем что	1	6
30	сам по себе	6	6
31	в данном случае	3	6
32	не только не	7	6
33	одной стороны и	1	5
34	в этом смысле	1	5
35	в отличие от	1	5
36	к тому что	2	5
37	мы ни взяли	1	5
38	связи с этим	1	5
39	прежде всего в	1	5
40	мы не можем	2	5
41	и не в	1	4
42	тем не менее	10	4
43	не в том	5	4
44	в конце концов	1	4
45	не могут быть	3	4
46	как раз и	3	4
47	то ни стало	1	4
48	как и все	5	4
49	в лучшем случае	2	4
50	подобно тому как	5	4
51	с самого начала	1	4
52	т е как	2	4
53	сама по себе	11	4
54	то или иное	4	3
55	при этом условии	2	3
56	и пр но	1	3
57	так и от	1	3
58	во что бы	1	3
59	так или иначе	2	3
60	не только на	1	3
61	можно говорить о	1	3
62	что бы ни	1	3
63	из всего этого	1	3
64	точки зрения самого	1	3
65	то же самое	1	3
66	самом же деле	1	3
67	только то что	1	3
68	на самом же	1	3
69	на первый план	4	3
70	и в этой	1	3
71	равно как и	2	3
72	и во всяком	1	3
73	в ней и	1	3
74	в том смысле	1	3
75	и в частности	2	3
76	то и другое	2	3
77	что бы то	1	3
78	но в то	1	3
79	у нас не	1	3
80	и то и	1	3
81	т е в	4	3
82	не могло не	1	3
83	ровно ничего не	8	3
84	ни о каком	1	3
85	по себе а	2	2
86	о том как	2	2
87	том смысле что	1	2
88	ни о какой	1	2
89	была бы совершенно	1	2
90	но все эти	1	2
91	т е она	1	2
92	в собственном смысле	1	2
93	должно было бы	1	2
94	говоря уже о	6	2
95	с этой точки	4	2
96	перестал бы быть	1	2
97	в жизни и	1	2
98	вовсе не в	3	2
99	что в данном	1	2
100	друг от друга	1	2
101	она не может	1	2
102	но даже и	3	2
103	ни в одной	2	2
104	одних и тех	2	2
105	но при этом	1	2
106	не потому что	2	2
107	в такой же	1	2
108	иметь в виду	3	2
109	тех или иных	2	2
110	как и всякая	1	2
111	и прежде всего	6	2
