N	2gram	Vinokur_St	Vvedenie
1	и т	36	45
2	т е	21	40
3	т д	25	39
4	в том	56	38
5	в этом	37	35
6	и в	61	35
7	может быть	16	30
8	том что	49	30
9	не только	36	26
10	для того	15	23
11	того чтобы	15	22
12	таким образом	16	21
13	также и	10	20
14	не может	10	19
15	то что	27	19
16	потому что	13	18
17	но также	13	16
18	только в	11	16
19	со стороны	7	16
20	о том	30	16
21	так как	7	15
22	языка и	4	15
23	в общем	2	14
24	что в	41	13
25	в самом	14	13
26	и именно	2	13
27	и не	23	13
28	в нем	9	13
29	в его	19	12
30	того что	14	12
31	xix в	6	12
32	в их	3	12
33	точки зрения	16	12
34	что такое	2	12
35	как на	10	12
36	то же	7	11
37	в ее	6	11
38	по себе	3	11
39	в данном	16	11
40	этом смысле	2	11
41	ясно что	10	11
42	как мы	1	11
43	прежде всего	11	10
44	не в	15	10
45	вопрос о	9	10
46	между тем	7	10
47	в той	9	10
48	уже и	1	10
49	но в	16	10
50	дело с	2	9
51	представляют собой	1	9
52	тем не	4	9
53	смысле этого	2	9
54	все же	12	9
55	этого рода	2	9
56	из этих	7	9
57	но не	5	9
58	и как	2	9
59	не менее	8	9
60	в истории	5	9
61	это не	8	8
62	в качестве	7	8
63	как нечто	1	8
64	именно в	8	8
65	о котором	2	8
66	а только	1	8
67	можно было	14	8
68	с другой	11	8
69	наук в	1	8
70	представить себе	1	7
71	и то	6	7
72	до сих	13	7
73	смысле слова	1	7
74	в применении	3	7
75	к выводу	1	7
76	как и	11	7
77	самом деле	14	7
78	в принципиальном	1	7
79	но и	28	7
80	выводу что	1	7
81	не трудно	4	7
82	сих пор	12	7
83	в разных	1	7
84	было бы	21	7
85	этот вопрос	6	7
86	как бы	8	7
87	той мере	2	6
88	один из	1	6
89	на вопрос	7	6
90	об этом	9	6
91	этом случае	3	6
92	к истории	2	6
93	все это	13	6
94	не могут	2	6
95	его в	4	6
96	на этот	5	6
97	тем что	6	6
98	с тем	3	6
99	в какой	4	6
100	а именно	3	6
101	вместе с	5	6
102	в которых	5	6
103	же время	5	6
104	и это	4	6
105	трудно видеть	1	6
106	так например	12	6
107	вовсе не	24	6
108	уже не	1	6
109	мере в	3	6
110	применении к	3	6
111	и даже	8	6
112	в руки	1	6
113	хотя бы	8	6
114	нельзя не	3	6
115	каждой из	1	6
116	и что	8	6
117	как он	3	6
118	видеть что	1	6
119	как например	2	6
120	о языке	2	6
121	сказать что	9	6
122	что история	1	6
123	работы над	5	6
124	могут быть	5	6
125	том чтобы	1	6
126	но если	5	6
127	и его	11	6
128	в то	10	6
129	а в	18	6
130	связь между	1	5
131	на почве	2	5
132	а потому	2	5
133	смотреть на	2	5
134	этого понятия	1	5
135	уже в	3	5
136	внимание на	5	5
137	с этой	5	5
138	хотя и	4	5
139	что и	8	5
140	в виду	6	5
141	другой стороны	9	5
142	с их	2	5
143	в них	2	5
144	в г	10	5
145	но с	7	5
146	в первом	2	5
147	одним из	2	5
148	дело в	9	5
149	что не	3	5
150	что он	23	5
151	приходим к	1	5
152	одно из	3	5
153	от этого	2	5
154	по своему	2	5
155	данном случае	7	5
156	культуры в	3	5
157	во всяком	8	5
158	наука о	1	5
159	в течение	7	5
160	так что	8	5
161	и тем	3	5
162	а не	19	5
163	говорить о	3	5
164	дело не	4	5
165	на основании	2	5
166	д но	4	5
167	научной работе	1	5
168	т п	11	5
169	быть в	2	5
170	а как	5	5
171	независимо от	1	5
172	не просто	2	5
173	в целом	5	5
174	как это	6	5
175	всяком случае	8	5
176	в особенности	1	4
177	ответ на	4	4
178	в более	1	4
179	в прямом	2	4
180	здесь нет	1	4
181	с одной	3	4
182	тогда когда	1	4
183	с точки	10	4
184	этом отношении	13	4
185	о чем	4	4
186	как раз	10	4
187	в результате	5	4
188	в виде	3	4
189	в себе	3	4
190	видит в	1	4
191	должен был	5	4
192	так или	3	4
193	но все	9	4
194	из двух	3	4
195	или иначе	3	4
196	в одном	7	4
197	в котором	11	4
198	заключается в	5	4
199	от истории	1	4
200	но ведь	8	4
201	что могло	1	4
202	как она	1	4
203	в своей	12	4
204	да и	4	4
205	сравнению с	1	4
206	в чем	4	4
207	должен быть	3	4
208	к тому	9	4
209	по крайней	2	4
