N	3gram	Bakhtin_Fr	PoTuStor
1	с точки зрения	4	6
2	на самом деле	1	4
3	по ту сторону	1	4
4	с самого начала	1	4
5	до сих пор	3	3
6	в большинстве случаев	9	3
7	в этом смысле	1	3
8	мы полагаем что	1	3
9	во всяком случае	1	3
10	все то что	3	2
11	и с его	2	2
12	и может быть	1	2
13	по аналогии с	1	2
14	во всех его	3	2
15	о том что	4	2
16	можно определить как	1	2
17	в самом деле	3	2
18	нет никаких оснований	1	2
19	в его целом	2	2
20	связанных с ними	1	2
21	и в этом	1	2
22	со всех сторон	2	1
23	так и в	3	1
24	в этом легко	1	1
25	все же в	1	1
26	именно здесь в	1	1
27	в том что	4	1
28	с его помощью	1	1
29	и связанных с	1	1
30	не что иное	1	1
31	что иное как	1	1
32	дело в том	2	1
33	оно ни было	2	1
34	а в конце	1	1
35	той или иной	1	1
36	вместе с ним	1	1
37	в этой плоскости	1	1
38	мы уже знаем	1	1
39	к себе все	1	1
40	как мы сказали	1	1
41	новых и новых	1	1
42	на этом моменте	1	1
43	в применении к	1	1
44	можно было бы	2	1
45	чрезвычайно характерно для	1	1
46	и прежде всего	2	1
47	никакому сомнению что	1	1
48	характерно для всех	1	1
49	и таким путем	1	1
50	в данном случае	1	1
51	мы имеем в	2	1
52	лишь абстрактный момент	1	1
53	как это было	1	1
54	же что и	2	1
55	есть прежде всего	1	1
56	конечно никакому сомнению	1	1
57	если отвлечься от	1	1
58	не может иметь	1	1
59	уже знаем что	1	1
60	так как его	1	1
61	со всеми его	3	1
62	мы можем коснуться	1	1
63	имеем в виду	2	1
64	и того же	1	1
65	как и с	1	1
66	и т.п и	1	1
67	в свое время	2	1
68	мы увидим что	1	1
69	то же самое	1	1
70	как один из	2	1
71	если б я	1	1
72	как и всегда	1	1
73	не подлежит конечно	1	1
74	и что он	1	1
75	а с другой	1	1
76	в основном у	1	1
77	в разных местах	1	1
78	и в чем	1	1
79	в нем и	1	1
80	с одной стороны	3	1
81	на первый план	2	1
82	именно то что	1	1
83	и борьба с	1	1
84	и об его	1	1
85	в этом отношении	3	1
86	нет ничего удивительного	1	1
87	что если б	1	1
88	бы оно ни	2	1
89	таким образом и	2	1
90	это и есть	1	1
91	в них и	1	1
92	подлежит конечно никакому	1	1
93	сих пор еще	3	1
94	и связанные с	1	1
95	нужно отметить что	1	1
96	в году в	1	1
97	но именно этот	1	1
98	одного и того	1	1
99	несколько слов о	1	1
100	в связи с	2	1
