N	3gram	Vygotskiy_	Tvorches
1	в романах достоевского	1	29
2	в то же	1	25
3	то же время	1	24
4	и т д	6	17
5	в том что	30	11
6	о том что	15	8
7	и в то	1	7
8	в конечном счете	2	6
9	не может быть	4	6
10	и т п	5	5
11	в самом деле	8	5
12	по отношению к	2	5
13	в русской литературе	1	5
14	до сих пор	9	4
15	по крайней мере	1	4
16	с точки зрения	5	4
17	в одной из	1	4
18	дело в том	2	4
19	с самого начала	5	4
20	это как бы	1	3
21	что все это	1	3
22	сами по себе	2	3
23	чуть ли не	1	3
24	том что в	2	3
25	в отличие от	3	3
26	во всяком случае	1	3
27	едва ли не	1	3
28	с другой стороны	8	3
29	и все же	1	3
30	что он не	3	2
31	а может быть	1	2
32	в данном случае	3	2
33	и в другом	1	2
34	заключает в себе	6	2
35	и приводит к	1	2
36	влечет за собой	1	2
37	для того чтобы	41	2
38	у него в	1	2
39	в этой сцене	1	2
40	что у него	1	2
41	то есть не	1	2
42	в конце концов	6	2
43	потому что он	3	2
44	первой части романа	1	2
45	в этой области	1	2
46	и в самом	3	2
47	та же самая	2	2
48	к тому же	1	2
49	не могут быть	1	2
50	в высшей степени	1	2
51	да и не	1	2
52	не то что	3	2
53	в свою очередь	1	2
54	вместе с тем	4	2
55	по своей воле	1	2
56	заключается в том	9	2
57	только то что	1	2
58	можно сказать что	3	2
59	на этот вопрос	5	2
60	и та же	3	2
61	все же не	1	2
62	на самом деле	8	2
63	именно в этом	2	2
64	так же как	3	2
65	не только в	5	2
66	и что в	5	2
67	мы узнаем что	1	2
68	что у нас	1	1
69	так сказать в	1	1
70	это имеет место	1	1
71	к королю лиру	1	1
72	и как раз	1	1
73	на этом фоне	1	1
74	если мы перейдем	2	1
75	он говорит что	4	1
76	и когда он	2	1
77	и как бы	4	1
78	на всем протяжении	1	1
79	на деле же	1	1
80	в письме к	1	1
81	как будто бы	1	1
82	ни на чем	1	1
83	мы все время	3	1
84	как бы сразу	1	1
85	о том как	1	1
86	в применении к	1	1
87	героя и его	1	1
88	о котором говорил	1	1
89	знает что он	1	1
90	потому что это	1	1
91	ту же самую	3	1
92	в ответ на	1	1
93	то что не	1	1
94	один из них	1	1
95	как частный случай	1	1
96	о том не	1	1
97	то или иное	1	1
98	справедливо указывает на	1	1
99	д и т	1	1
100	об этом не	1	1
101	лежащая в основе	2	1
102	в первый раз	1	1
103	он более не	1	1
104	он не понимает	1	1
105	рядом с ними	1	1
106	как день что	1	1
107	нет ни слова	1	1
108	с такой силой	2	1
109	что в своих	1	1
110	направо и налево	1	1
111	что в них	1	1
112	в частности в	1	1
113	оно никогда не	1	1
114	что он был	1	1
115	и в свою	1	1
116	из жизни но	1	1
117	и если бы	1	1
118	мы знаем что	3	1
119	берет в руки	1	1
120	что совсем не	1	1
121	потому что в	4	1
122	собой в его	1	1
123	именно потому что	3	1
124	ничего общего с	1	1
125	а между тем	1	1
126	на которые ссылается	1	1
127	мы никогда не	5	1
128	она дана в	1	1
129	не учитывает того	1	1
130	во многих случаях	1	1
131	и прежде всего	1	1
132	потому что сама	1	1
133	гамлета вспомним как	1	1
134	в чем не	1	1
135	по себе не	2	1
136	что в основу	1	1
137	а с другой	5	1
138	то ни было	1	1
139	в первой главе	1	1
140	и того же	2	1
141	потому что не	1	1
142	что это не	2	1
143	с потрясающей силой	1	1
144	по себе и	1	1
145	это означало бы	1	1
146	на то чтобы	1	1
147	то же самое	8	1
148	которые сами по	1	1
149	по этому поводу	4	1
150	имел в виду	1	1
151	к тому что	8	1
152	у него не	1	1
153	говорил что он	1	1
154	принципиально отличную от	1	1
155	что с точки	1	1
156	в романе мы	1	1
157	в нем нет	3	1
158	бы то ни	1	1
159	конце концов к	1	1
160	из действующих лиц	1	1
161	сказывается и в	1	1
162	столь же ясно	2	1
163	на наших глазах	1	1
164	о том чтобы	1	1
165	и в том	2	1
166	он утверждает что	2	1
167	не мог бы	1	1
168	и в этом	2	1
169	мы видим как	1	1
170	это то что	1	1
171	в художественном произведении	2	1
172	в том и	3	1
173	т д и	1	1
174	того или иного	1	1
175	и в романе	1	1
176	за то что	3	1
177	на другой день	1	1
178	те и другие	1	1
179	той или иной	2	1
180	но в самом	1	1
181	он изображал их	1	1
