N	2gram	Medvedev_B	DiskursI
1	а не	1	60
2	не только	1	49
3	и в	1	49
4	и не	2	44
5	так и	1	28
6	отнюдь не	1	23
7	еще не	1	23
8	в своей	1	19
9	все же	1	19
10	прежде всего	1	19
11	далеко не	1	18
12	в данном	1	17
13	с другой	1	17
14	и на	1	12
15	не было	1	11
16	что в	1	11
17	не следует	1	8
18	и о	1	8
19	другой стороны	1	7
20	таким образом	1	7
21	одной из	1	7
22	в пределах	1	7
23	и ее	1	7
24	крайней мере	1	6
25	по крайней	1	6
26	в эпоху	1	6
27	говорить о	1	5
28	значительной степени	1	5
29	не вполне	1	5
30	за пределы	1	5
31	в значительной	1	5
32	в ней	2	5
33	и потому	1	5
34	как будто	1	5
35	во всяком	1	4
36	не о	1	4
37	будто бы	1	4
38	и во	1	4
39	до конца	1	4
40	вопрос о	1	3
41	в области	1	3
42	было бы	1	3
43	должна быть	1	3
44	и более	1	3
45	всяком случае	1	3
46	а о	1	3
47	об этом	1	3
48	к ней	1	3
49	о них	1	2
50	пожалуй и	1	2
51	из ее	1	2
52	точке зрения	1	2
53	установка на	1	2
54	не то	2	2
55	всего в	1	2
56	теории литературы	1	2
57	на выражение	1	2
58	также не	1	2
59	в трактовке	1	2
60	было и	1	2
61	выходит за	1	2
62	все это	2	2
63	видеть в	2	2
64	же не	1	2
65	тем более	1	2
66	его не	1	2
67	нельзя не	1	2
68	в книге	1	2
69	кроме того	1	1
70	в речи	1	1
71	и нет	1	1
72	следовало бы	1	1
73	словесного творчества	1	1
74	этой книги	1	1
75	для которой	1	1
76	в научном	1	1
77	так по	1	1
78	выпадает из	1	1
79	но автор	1	1
80	между ними	1	1
81	сейчас в	1	1
82	более что	1	1
83	литературы как	1	1
84	никак не	1	1
85	можно было	2	1
86	необходимо отметить	1	1
87	не склонен	1	1
88	исторической поэтике	1	1
89	литературных произведений	2	1
90	определение жанра	1	1
91	о художественном	1	1
92	стих и	1	1
93	стоит на	1	1
94	на самом	1	1
95	теорию литературы	1	1
96	не со	1	1
97	не все	1	1
98	из имеющихся	1	1
99	говорить не	1	1
100	художественного произведения	1	1
