N	2gram	Tiupa_Anal	Otkroven
1	у него	5	22
2	и в	30	19
3	и не	33	13
4	но и	29	13
5	в этом	31	12
6	человека в	1	11
7	а не	25	11
8	не только	30	11
9	не в	17	11
10	может быть	33	11
11	вопрос о	2	10
12	человека и	1	10
13	и все	5	10
14	в нем	3	10
15	к человеку	1	9
16	потому что	3	9
17	прежде всего	8	9
18	не было	1	9
19	в самой	1	9
20	никогда не	4	9
21	и он	1	8
22	он был	3	8
23	нет ничего	2	7
24	от него	2	7
25	ни с	5	7
26	в его	15	7
27	он всегда	1	7
28	он не	4	7
29	но он	1	7
30	лишь в	12	7
31	в глубине	2	7
32	все это	2	6
33	как и	23	6
34	в самом	12	5
35	в том	36	5
36	для него	5	5
37	в этой	12	5
38	а в	11	5
39	отношение к	2	5
40	о его	5	5
41	то что	11	5
42	что в	7	4
43	только и	1	4
44	того чтобы	3	4
45	есть лишь	1	4
46	не может	26	4
47	что не	3	4
48	человек и	2	4
49	все эти	3	4
50	и его	9	4
51	он сам	1	4
52	с его	3	4
53	только одно	2	3
54	и от	1	3
55	все что	3	3
56	хотя бы	4	3
57	это не	7	3
58	для того	4	3
59	с ним	6	3
60	когда он	1	3
61	быть может	2	3
62	в этих	3	3
63	не могут	3	3
64	в своих	1	3
65	о природе	1	3
66	как бы	15	3
67	было бы	4	3
68	могут быть	12	3
69	в себе	17	3
70	и есть	3	3
71	что он	3	3
72	никто не	3	3
73	это было	1	3
74	и ее	1	3
75	о том	11	3
76	того что	5	3
77	к нему	4	3
78	еще не	5	3
79	только бога	1	2
80	всего в	3	2
81	человека к	4	2
82	и к	5	2
83	как к	2	2
84	и потому	2	2
85	так и	16	2
86	и то	4	2
87	человека есть	1	2
88	в душе	1	2
89	все же	4	2
90	так как	3	2
91	при чтении	1	2
92	должно быть	2	2
93	к этой	1	2
94	его не	1	2
95	уже в	1	2
96	ничто не	2	2
97	в другом	4	2
98	личности и	3	2
99	так что	3	2
100	в своем	2	2
101	с тем	1	2
102	в которой	3	2
103	ее в	2	2
104	не все	3	2
105	одно из	2	2
106	что и	5	2
107	для человека	2	2
108	в уста	1	2
109	его в	2	2
110	ведь это	2	2
111	ко всем	2	2
112	мысль о	2	2
113	художественном творчестве	1	2
114	этого мира	2	2
115	и с	2	2
116	что же	3	2
117	одного только	1	2
118	и там	1	2
119	он в	5	2
120	было для	1	2
121	и о	3	2
122	сказать что	2	2
123	что для	1	2
124	тем что	2	2
125	него не	1	2
126	и на	10	2
127	сложнее и	1	2
128	с чем	1	2
129	учение о	1	2
