N	3gram	Vinokur_Vv	Istorich
1	и т д	39	142
2	в этих случаях	2	47
3	с другой стороны	5	46
4	до сих пор	7	30
5	в этом случае	6	29
6	с одной стороны	4	28
7	так же как	1	27
8	в том что	15	25
9	не может быть	10	24
10	вместе с тем	3	23
11	но все же	4	23
12	тем не менее	9	23
13	точно так же	2	22
14	о том что	13	22
15	мы имеем в	1	19
16	не только в	4	19
17	в связи с	2	17
18	мы уже знаем	2	15
19	в данном случае	4	15
20	после того как	2	15
21	по отношению к	4	14
22	таким образом мы	1	13
23	но и в	1	12
24	как мы видели	3	12
25	не что иное	5	11
26	т е в	4	11
27	что иное как	5	11
28	можно было бы	4	10
29	более или менее	1	9
30	в таких случаях	1	9
31	то же самое	3	8
32	на этот вопрос	5	8
33	и то что	3	8
34	но вместе с	2	8
35	в исторической действительности	1	8
36	подобно тому как	2	8
37	в зависимости от	3	8
38	наряду с этим	1	7
39	дело не в	1	7
40	с этой стороны	1	7
41	смысле этого слова	2	7
42	в одном случае	1	7
43	то что в	1	7
44	с тем что	3	7
45	во всяком случае	5	7
46	потому что он	2	7
47	на том что	2	6
48	так как в	1	6
49	т д все	2	6
50	этой точки зрения	2	6
51	в своей работе	1	6
52	т д но	5	6
53	с этой точки	2	6
54	это может быть	1	6
55	с самого начала	1	6
56	с этим в	1	5
57	том что в	1	5
58	на задний план	2	5
59	для того чтобы	22	5
60	т д мы	1	5
61	в отличие от	4	5
62	в том чтобы	5	5
63	только после того	2	5
64	в том числе	1	5
65	до наших дней	2	5
66	т д и	1	5
67	совершенно то же	1	5
68	есть не что	3	5
69	в другом месте	2	5
70	т д в	2	5
71	на самом деле	1	5
72	соответствии с этим	1	4
73	влечет за собой	2	4
74	бы составить предмет	1	4
75	так или иначе	4	4
76	только в одном	1	4
77	же самое что	2	4
78	в чистом виде	1	4
79	только то что	1	4
80	с точки зрения	4	4
81	т е с	1	4
82	состоит в том	2	4
83	но уже в	1	4
84	это еще не	2	4
85	что наряду с	1	4
86	только одна сторона	1	4
87	вопрос о том	5	4
88	по себе не	1	4
89	и тем не	3	4
90	вопрос о связи	1	4
91	не представляют собой	1	4
92	можно сказать что	3	4
93	и в особенности	4	4
94	мы можем только	1	4
95	между прочим и	1	4
96	одной стороны и	3	3
97	все то что	1	3
98	как будто бы	2	3
99	как один из	1	3
100	никак не может	1	3
101	д все эти	1	3
102	и то же	2	3
103	не только с	1	3
104	этот вопрос мы	1	3
105	в обоих случаях	1	3
106	в точности соответствует	1	3
107	что в этом	2	3
108	по этому поводу	3	3
109	к тому что	1	3
110	не только по	1	3
111	дело в том	3	3
112	она может быть	1	3
113	а так как	2	3
114	ответ на вопрос	2	3
115	по сравнению с	4	3
116	дело не только	1	3
117	в средние века	1	3
118	это только одна	1	3
119	из этих двух	1	3
120	но это только	1	3
121	не в том	2	3
122	само по себе	4	3
123	в соответствии с	2	3
124	то ни было	1	3
125	бы то ни	1	3
126	только тогда когда	1	3
127	в том смысле	1	3
128	внимание на то	1	3
129	есть и другие	1	3
130	но дело не	2	3
131	что в нем	2	3
132	т д однако	3	2
133	может быть назван	1	2
134	в том как	1	2
135	том отношении что	3	2
136	и т п	5	2
137	не в этом	1	2
138	в прямом смысле	4	2
139	в самом деле	6	2
140	с этим и	1	2
141	в частности в	1	2
142	в таком случае	1	2
143	сам по себе	2	2
144	прямо говорит о	1	2
145	в особенности в	1	2
146	сказать что в	1	2
147	во многих случаях	1	2
148	а в том	1	2
149	здесь не может	1	2
150	как если бы	1	2
151	же как он	1	2
152	приводят к тому	1	2
153	сама по себе	3	2
154	все это не	1	2
155	здесь идет речь	1	2
156	из того что	1	2
157	сказывается и в	1	2
158	а не только	1	2
159	мы имеем дело	1	2
160	в одном месте	1	2
161	и потому что	2	2
162	в подобных случаях	1	2
163	одним из них	1	2
164	что не только	1	2
165	может быть в	2	2
166	и что это	1	2
167	только в том	2	2
168	как раз наоборот	1	2
169	в достаточной степени	1	2
170	в них не	1	2
171	он представляет собой	1	2
172	не сам по	1	2
173	и не могут	2	2
174	не могут быть	2	2
175	не только как	4	2
176	может быть и	2	2
177	а в другом	1	2
178	т е на	1	2
179	что в одном	1	2
180	вовсе не в	2	2
181	не значит что	1	2
182	на вопрос о	4	2
183	об этом говорилось	1	2
184	может быть только	1	2
185	уже потому что	1	2
186	входит в ее	1	2
187	и в конце	1	2
188	как мы видим	1	2
189	и прежде всего	1	2
190	с полной ясностью	1	2
191	но в том-то	1	2
192	в конечном итоге	3	2
193	а именно в	1	2
194	показывает что в	1	2
195	и в том	4	2
196	не просто как	1	2
197	в свою очередь	2	2
198	т е не	2	2
199	и др в	1	2
200	большей или меньшей	3	2
201	тем что в	1	2
202	в качестве примера	1	2
203	здесь как и	1	2
204	и не потому	1	2
205	совершенно ясно что	1	2
206	не потому что	1	2
207	хотя бы на	1	2
208	и той же	2	2
209	не имеет своего	1	2
210	ответ на этот	2	2
211	одно и то	2	2
212	не похожи на	1	2
213	одной и той	2	2
214	только потому что	1	2
215	том что он	1	2
216	в котором можно	1	2
217	то обстоятельство что	1	2
218	в общих чертах	1	2
219	в том отношении	3	2
220	может быть названо	4	2
221	в том-то и	1	2
222	могло бы составить	1	2
223	и из него	1	2
224	т д эти	1	2
225	имеем дело с	1	2
226	к выводу что	6	1
227	о том какие	1	1
228	в руки и	1	1
229	но есть один	1	1
230	что в ней	1	1
231	уже и здесь	1	1
232	мы выделяем в	1	1
233	это ясно еще	1	1
234	по вопросу о	1	1
235	которой у нас	1	1
236	не в формах	1	1
237	имеет свою предысторию	1	1
238	об этом говорится	1	1
239	говоря уже о	1	1
240	представляют собой не	1	1
241	исследования но в	1	1
242	у него в	1	1
243	но на них	1	1
244	в них и	1	1
245	как мы уже	2	1
246	в числе тех	1	1
247	а именно как	1	1
248	при помощи которого	1	1
249	и другие причины	1	1
250	может вызвать сомнения	1	1
251	быта и т	2	1
252	именно в этой	1	1
253	если таким образом	2	1
254	представляет собой одно	1	1
255	деле представляет собой	1	1
256	нечто целое и	1	1
257	как нечто что	1	1
258	наблюдения и выводы	1	1
259	свое время не	2	1
260	но если бы	1	1
261	можно говорить о	3	1
262	эта связь в	1	1
263	может быть получено	1	1
264	его можно только	1	1
265	ничего не может	1	1
266	но в этом	1	1
267	в этой форме	1	1
268	было бы назвать	1	1
269	то что у	1	1
270	ни к какому	1	1
271	к этому времени	2	1
272	этой стороне дела	1	1
273	д все это	1	1
274	уже о том	1	1
275	но не исключительно	1	1
276	а также и	2	1
277	стоять на позиции	1	1
278	т е при	1	1
279	и вот почему	1	1
280	ее отношения к	1	1
281	и могут быть	1	1
282	прежде всего он	1	1
283	но не может	2	1
284	дело не с	2	1
285	как он есть	1	1
286	как мы знаем	1	1
287	прежде всего то	1	1
288	в чем же	3	1
289	как нечто цельное	2	1
290	вряд ли есть	1	1
291	одна из сторон	1	1
292	так чтобы не	1	1
293	в этом смысле	10	1
294	заключается не только	1	1
295	это заставляет нас	1	1
296	только в их	1	1
297	в свое время	3	1
298	полученные результаты с	1	1
299	течением времени все	1	1
300	связи с этим	1	1
301	до тех пор	1	1
302	не вытекает из	1	1
303	том-то и дело	1	1
304	по содержанию своему	1	1
305	это сказывается и	1	1
306	ясность в этот	1	1
307	т д для	1	1
308	смысле в каком	1	1
309	образом связана с	1	1
310	том что такое	6	1
311	представляет собой нечто	1	1
312	один из крупнейших	1	1
313	для нас нет	1	1
314	но не к	1	1
315	другой стороны вполне	1	1
316	обстоит как раз	1	1
317	что по его	1	1
318	этот вопрос нужно	1	1
319	и в каждом	1	1
320	правда в очень	1	1
321	но уже и	1	1
322	что может быть	3	1
323	мы установили что	1	1
324	самом деле представляет	1	1
325	в целом но	1	1
326	представляют собой одно	1	1
327	из которых каждый	1	1
328	также и в	3	1
329	дело обстоит как	1	1
330	прежде всего в	1	1
331	и чрезвычайно важный	1	1
332	народов и в	2	1
333	с течением времени	7	1
334	в его исторических	1	1
335	еще и потому	1	1
336	же самое и	1	1
337	в большей или	1	1
338	со стороны содержания	1	1
339	что оно имеет	1	1
340	из всего сказанного	1	1
341	не входят в	1	1
342	со стороны ее	1	1
343	т д а	2	1
344	вовсе не вытекает	1	1
345	том смысле что	1	1
346	если бы ему	1	1
347	все это дает	1	1
348	времени все более	1	1
349	увидим что в	1	1
350	говорилось о том	1	1
351	не прямо а	1	1
352	т д такая	1	1
353	имеется в виду	1	1
354	то или иное	1	1
355	нами не как	1	1
356	легко представить себе	1	1
357	о животных так	1	1
358	то что сейчас	1	1
359	до н э	6	1
360	ответить на этот	1	1
361	только в начале	1	1
362	еще как мы	1	1
363	именно на этом	2	1
364	и есть то	1	1
365	так как не	1	1
366	можем утверждать что	1	1
367	в этом отношении	4	1
368	в центре внимания	2	1
369	принять участие в	1	1
370	потому что в	1	1
371	именно потому что	1	1
372	всем что в	1	1
373	о котором здесь	2	1
374	нужно было бы	1	1
375	может быть не	1	1
376	дать ответ на	2	1
377	а есть только	1	1
378	то что этот	1	1
379	тем или иным	2	1
380	тех или иных	3	1
381	очевидно для всякого	1	1
382	и что такое	1	1
383	ставит себе целью	1	1
384	и другого рода	1	1
385	может быть названа	1	1
386	быть человек в	1	1
387	но это уже	1	1
388	котором здесь идет	1	1
389	к ним в	1	1
390	лицом к лицу	1	1
391	невозможно но все	1	1
392	то же время	6	1
393	в этот вопрос	1	1
394	что даже и	2	1
395	широком смысле этого	2	1
396	в значительной степени	1	1
397	того что сказано	1	1
398	в широком смысле	7	1
399	условий в которых	1	1
400	на долгое время	1	1
401	при известных условиях	1	1
402	представить себе что	2	1
403	и в этом	4	1
404	о природе и	1	1
405	вместе с другими	1	1
406	и дело что	1	1
407	странно было бы	1	1
408	на вопрос что	1	1
409	во второй половине	2	1
410	это есть та	1	1
411	должен был быть	1	1
412	то это может	1	1
413	того или иного	1	1
414	он должен быть	1	1
415	так как если	1	1
416	прийти к выводу	1	1
417	уже и сейчас	1	1
418	одним из самых	1	1
419	от того что	1	1
420	обратим внимание на	2	1
421	в одно целое	1	1
422	тесно связано с	1	1
423	и в более	1	1
424	ту или иную	1	1
425	какой бы то	1	1
426	и не в	1	1
427	в реальной действительности	1	1
428	он мог бы	1	1
429	но если мы	1	1
430	одна из наиболее	1	1
431	на котором он	2	1
432	только в этом	1	1
433	в то же	6	1
434	того что в	1	1
435	в силу которых	1	1
436	всего что было	1	1
437	может быть вполне	1	1
438	не говоря уже	2	1
439	очевидно что если	1	1
440	заключается в том	3	1
