N	4gram	Potebnia_M	Formalny
1	в то же время	3	20
2	бы то ни было	1	7
3	с одной стороны и	2	5
4	все более и более	2	4
5	во что бы то	1	3
6	один и тот же	1	3
7	что бы то ни	1	3
8	как бы ни были	1	3
9	и то и другое	2	3
10	то же время не	1	3
11	бы то ни стало	1	3
12	чтобы убедиться в этом	1	3
13	той мере в какой	1	2
14	с этой точки зрения	1	2
15	в том смысле что	2	2
16	что же касается до	1	2
17	в той мере в	1	2
18	не говоря уже о	1	2
19	и в этом отношении	1	2
20	не в том смысле	2	2
21	не в том что	3	2
22	и в том что	1	1
23	имеет место и в	1	1
24	чтобы она могла стать	1	1
25	лишь в той мере	1	1
26	это нисколько не противоречит	1	1
27	в более или менее	1	1
28	но тем не менее	6	1
29	но мы видели что	1	1
30	не что иное как	2	1
31	и т п мы	1	1
32	в том случае если	1	1
33	языка и его форм	1	1
34	не для того чтобы	1	1
35	прежде всего должны быть	1	1
36	и его форм в	1	1
37	и сами по себе	3	1
38	к одной и той	1	1
39	между предшествующим и последующим	1	1
40	в том смысле в	4	1
41	дело в том что	3	1
42	и т п однако	1	1
43	не могут быть названы	1	1
44	мере того как мы	2	1
45	языка не может быть	1	1
46	одной и той же	3	1
47	не могло бы быть	1	1
48	взятом отдельно независимо от	1	1
49	тем не менее в	2	1
50	в противном случае мы	1	1
51	ли нужно говорить что	1	1
52	есть одно из необходимых	1	1
53	одного и того же	6	1
54	так и в каждом	1	1
55	и как бы ни	2	1
56	бы иначе если бы	2	1
57	с другой стороны и	1	1
58	так а не иначе	2	1
59	одно из необходимых условий	1	1
60	друг другу и не	1	1
61	и потому не могут	1	1
62	как и во всех	1	1
63	по мере того как	6	1
64	смысле этого слова и	1	1
65	было бы если бы	1	1
66	том смысле в каком	4	1
67	тем что в нем	1	1
68	и в свою очередь	3	1
