N	2gram	Propp_Isto	ViktorSh
1	в книге	4	3
2	в конце	1	2
3	и в	40	2
4	в том	12	2
5	том что	11	2
6	в другом	6	1
7	но это	8	1
8	столь же	2	1
9	по существу	7	1
10	а отсюда	1	1
11	нет есть	1	1
12	главным образом	2	1
13	связанным с	1	1
14	степени уже	1	1
15	для них	1	1
16	а только	3	1
17	от других	1	1
18	именно в	5	1
19	ни к	3	1
20	имеется в	3	1
21	самом деле	2	1
22	за свою	1	1
23	другом месте	2	1
24	ясно что	2	1
25	с большой	1	1
26	в частности	3	1
27	и то	3	1
28	так в	7	1
29	стоит на	2	1
30	время в	2	1
31	то чего	4	1
32	и его	5	1
33	сводится к	1	1
34	даже не	2	1
35	связаны и	1	1
36	к чему	4	1
37	значительной степени	1	1
38	хотя бы	5	1
39	сказать чтобы	1	1
40	других и	1	1
41	далеко не	1	1
42	в которых	2	1
43	говорится в	1	1
44	к этому	2	1
45	только в	16	1
46	не играет	1	1
47	потому что	12	1
48	в значительной	1	1
49	это далеко	1	1
50	охотой и	1	1
51	в их	6	1
52	все дело	1	1
53	роли не	1	1
54	и только	4	1
55	есть ряд	1	1
56	то же	21	1
57	не будем	7	1
58	и не	19	1
59	гораздо более	1	1
60	я не	5	1
61	находится под	1	1
62	дело в	3	1
63	да и	3	1
64	в этом	13	1
65	так как	20	1
66	все это	6	1
67	совершенно ясно	3	1
