N	3gram	Voloshinov	Problema
1	тем не менее	3	56
2	о том что	1	39
3	в том что	4	37
4	то же самое	2	30
5	в настоящее время	2	30
6	в данном случае	2	28
7	по крайней мере	1	26
8	во всяком случае	1	25
9	с другой стороны	2	25
10	с точки зрения	2	25
11	сам по себе	1	21
12	сама по себе	1	21
13	в этом смысле	1	19
14	в то же	1	17
15	то что мы	1	15
16	до сих пор	3	14
17	ничего общего с	1	13
18	сами по себе	1	13
19	на самом деле	2	13
20	можно было бы	1	13
21	не может быть	7	12
22	и в частности	1	12
23	и в этом	1	12
24	можно сказать что	5	12
25	в то время	1	12
26	то время как	1	12
27	дело в том	4	11
28	тех или иных	1	11
29	бы то ни	3	11
30	с одной стороны	2	11
31	более или менее	1	10
32	только то что	1	10
33	не есть только	1	9
34	может быть и	3	9
35	самом же деле	1	8
36	на самом же	1	8
37	может быть только	1	8
38	к тому же	1	7
39	но и в	1	7
40	с самого начала	1	7
41	для нас не	1	7
42	в самом деле	1	6
43	и то же	2	6
44	но отнюдь не	2	6
45	ни в какой	1	6
46	едва ли кто-нибудь	1	6
47	то ни было	3	6
48	в этом отношении	1	6
49	в литературе и	1	5
50	в чем не	1	5
51	имеем в виду	2	5
52	бы даже и	1	5
53	так же как	1	5
54	в зависимости от	2	5
55	и прежде всего	1	5
56	сих пор мы	1	5
57	одно и то	2	5
58	же как и	1	5
59	ни в чем	1	5
60	в коем случае	1	4
61	как мы уже	1	4
62	уже не есть	1	4
63	но все же	1	4
64	мы имеем дело	1	4
65	и тем же	1	4
66	с большим трудом	1	4
67	этой точки зрения	3	4
68	все же не	1	4
69	и независимо от	1	4
70	ни в коем	1	4
71	равно как и	1	4
72	и не в	3	4
73	одним и тем	1	4
74	подобно тому как	1	4
75	друг к другу	1	4
76	одной стороны и	2	3
77	бы мы ни	3	3
78	бы не было	1	3
79	мы никогда не	2	3
80	но если бы	1	3
81	ясно что здесь	1	3
82	не обходится без	1	3
83	здесь вовсе не	1	3
84	если бы не	1	3
85	что не только	1	3
86	как и в	1	3
87	но уже в	1	3
88	том что всякий	1	3
89	ровно ничего не	1	3
90	отнюдь не является	1	3
91	да и вообще	2	3
92	или может быть	1	3
93	том что в	1	3
94	в виду и	1	3
95	является для нас	1	3
96	в русской литературе	1	3
97	только в результате	1	3
98	но в то	1	3
99	далеко не всегда	1	3
100	по отношению к	11	2
101	только там где	1	2
102	с ним в	1	2
103	не совпадает с	1	2
104	в частности в	1	2
105	совершенно ясно что	1	2
106	и к его	1	2
107	но несмотря на	1	2
108	между тем как	1	2
109	нельзя было говорить	1	2
110	мы все время	2	2
111	для нас и	1	2
112	с ним на	1	2
113	это не так	2	2
114	один и тот	1	2
115	в виду не	1	2
116	каких бы то	1	2
117	и в своем	1	2
118	все эти и	1	2
119	сколько бы мы	3	2
120	нам кажется что	1	2
121	и тот же	1	2
122	мы имеем в	1	2
123	еще не вполне	1	2
124	в том же	1	2
125	все более и	1	2
126	вещи и не	1	2
127	в свою очередь	1	2
128	или хотя бы	1	2
129	и не может	3	2
130	да и всякого	1	2
131	в том и	1	2
132	мы в нем	1	2
133	в нем и	1	2
134	более и более	1	2
135	по себе в	1	2
136	коем случае нельзя	1	2
137	и здесь мы	1	2
138	но тем не	2	2
139	является для него	1	2
140	в основе своей	1	2
141	мы уже сказали	1	2
142	имеет бесконечное количество	1	1
143	имеет в виду	3	1
144	таким образом к	1	1
145	находит в нем	1	1
146	конца дело в	1	1
147	даже тогда когда	1	1
148	и что она	1	1
149	в какой степени	2	1
150	вступает в свои	1	1
151	как единство и	1	1
152	а между тем	1	1
153	наметить хотя бы	1	1
154	с этой стороны	2	1
155	по аналогии с	1	1
156	мы убедились что	1	1
157	ясно что слово	1	1
158	и таким образом	1	1
159	но сами по	1	1
160	что до сих	1	1
161	какой степени не	1	1
162	со словами и	1	1
163	хотя бы только	1	1
164	в процессе живого	1	1
165	и не требует	1	1
166	деле это не	1	1
167	и с другой	1	1
168	к вопросу о	1	1
169	и делает его	1	1
170	бы оно ни	1	1
171	в свои права	1	1
172	как в жизни	1	1
173	в нашем случае	1	1
174	и та общность	1	1
175	все эти моменты	1	1
176	образом каждая вещь	1	1
177	но в ней	1	1
178	во всех языках	1	1
179	в пределах этого	1	1
180	но это же	1	1
181	так как уже	1	1
182	допустим что мы	1	1
183	зависит от того	2	1
184	но все это	1	1
185	так как будто	1	1
186	о ком идет	1	1
187	герой нашего времени	1	1
188	художественного произведения и	2	1
189	собой разумеющееся и	1	1
190	хотя бы отдаленно	1	1
191	и отнюдь не	1	1
192	ком идет речь	1	1
193	за пределы слова	1	1
194	само собой разумеющееся	1	1
195	формы и содержания	2	1
196	здесь таким образом	1	1
197	и вообще за	1	1
198	это прежде всего	1	1
199	теоретиков и историков	1	1
200	как одно из	1	1
201	в этих двух	2	1
202	том что все	1	1
203	может идти только	1	1
204	относится не к	1	1
205	отношение к предмету	2	1
206	а не к	1	1
207	до известной степени	2	1
208	в общем гораздо	1	1
209	сих пор не	1	1
210	в жизни и	2	1
211	стороны и с	1	1
212	мы ни анализировали	2	1
213	в своей изоляции	1	1
214	нечто само собой	1	1
215	является то что	1	1
216	в ней как	2	1
217	в такой же	2	1
218	мы можем сказать	2	1
219	о том кто	1	1
220	но для этого	1	1
221	том что поэт	1	1
222	как на нечто	1	1
223	вопросов о том	1	1
224	по себе не	1	1
225	то же время	1	1
226	ясно что не	1	1
227	это один и	1	1
228	как нечто само	1	1
229	в пространстве и	1	1
230	в художественном произведении	3	1
231	до конца дело	1	1
232	таким образом мы	1	1
233	эти и подобные	2	1
234	как бы подводит	1	1
235	его значение и	1	1
236	внутренней и внешней	1	1
237	хотя бы не	1	1
238	пор мы касались	1	1
239	того чтобы не	1	1
240	сказать что и	1	1
241	оно ни было	1	1
242	на второй план	1	1
243	ни на один	2	1
244	какой бы то	1	1
245	художественном произведении как	1	1
246	всей жизни в	1	1
247	но в них	1	1
248	человеческая речь но	1	1
249	отношения между людьми	1	1
250	и все элементы	1	1
251	она как бы	1	1
252	но мы можем	1	1
253	в нем по	1	1
254	то что для	1	1
255	а эта последняя	1	1
256	и связи с	1	1
257	хотя и здесь	1	1
258	то что я	1	1
259	произведения и его	1	1
260	и подобные им	2	1
261	если бы оно	1	1
262	имеем дело с	1	1
263	при таком понимании	1	1
