N	2gram	Vinokur_St	Psycholo
1	то что	27	193
2	и в	61	190
3	в том	56	163
4	что в	41	123
5	потому что	13	114
6	том что	49	113
7	и что	8	108
8	может быть	16	107
9	таким образом	16	102
10	в этом	37	100
11	то есть	2	97
12	в самом	14	82
13	как бы	8	80
14	для того	15	78
15	того чтобы	15	78
16	что он	23	76
17	не только	36	75
18	на то	5	73
19	и не	23	73
20	что она	5	71
21	самом деле	14	70
22	точки зрения	16	69
23	и т	36	69
24	не может	10	68
25	если мы	1	66
26	так же	7	63
27	так как	7	63
28	было бы	21	56
29	если бы	11	55
30	то же	7	54
31	о том	30	54
32	при этом	4	52
33	как и	11	51
34	что и	8	50
35	а не	19	50
36	что это	5	49
37	сказать что	9	46
38	по себе	3	46
39	только в	11	46
40	в сущности	2	46
41	заключается в	5	46
42	говорит что	4	45
43	к тому	9	45
44	не в	15	45
45	ясно что	10	43
46	искусства и	1	43
47	в этой	13	43
48	показать что	1	43
49	никогда не	7	42
50	и все	3	42
51	вместе с	5	41
52	как это	6	40
53	но и	28	40
54	с и	1	40
55	как раз	10	39
56	при помощи	4	39
57	того что	14	39
58	т п	11	38
59	и это	4	37
60	и как	2	36
61	с тем	3	35
62	вовсе не	24	34
63	как на	10	34
64	и его	11	34
65	тому что	8	33
66	все же	12	33
67	что все	3	33
68	когда он	1	33
69	в себе	3	32
70	все это	13	32
71	художественного произведения	1	32
72	он не	11	31
73	мы не	3	31
74	в его	19	31
75	для нас	7	31
76	в ней	9	31
77	как будто	5	30
78	никак не	1	30
79	как в	15	30
80	с одной	3	29
81	и для	4	29
82	одной стороны	2	29
83	с точки	10	29
84	в нем	9	29
85	что они	9	28
86	и когда	1	28
87	мы можем	1	28
88	и то	6	28
89	что мы	5	28
90	в своих	2	27
91	в основе	4	27
92	на деле	1	27
93	и на	7	27
94	а в	18	27
95	с другой	11	27
96	в трагедии	13	26
97	так что	8	26
98	совершенно не	7	26
99	и здесь	2	25
100	жизни и	6	25
101	до сих	13	24
102	до конца	4	24
103	тем что	6	24
104	и совершенно	1	24
105	в целом	5	24
106	в своем	8	23
107	сих пор	12	23
108	из этого	1	23
109	один из	1	23
110	целый ряд	3	23
111	что оно	4	23
112	когда говорит	1	23
113	для этого	2	23
114	могут быть	5	23
115	казалось бы	1	22
116	с этим	6	22
117	из них	11	22
118	что у	8	22
119	между тем	7	22
120	и даже	8	22
121	когда мы	1	22
122	всякий раз	2	22
123	т д	25	22
124	как она	1	22
125	в котором	11	21
126	том чтобы	1	21
127	в двух	4	21
128	в которых	5	21
129	той же	5	21
130	в своей	12	21
131	ни в	5	21
132	в конце	5	21
133	что эта	5	21
134	но только	2	21
135	как мы	1	21
136	и вот	1	21
137	и только	3	21
138	другой стороны	9	20
139	в то	10	20
140	тот же	2	20
141	мы имеем	2	20
142	она не	3	20
143	дело с	2	20
144	несмотря на	4	20
145	на этом	1	20
146	там где	6	20
147	это не	8	20
148	все эти	7	20
149	в одном	7	19
150	что при	3	19
151	в какой	4	19
152	в ее	6	19
153	у него	3	19
154	с этой	5	18
155	в которой	13	18
156	можно было	14	18
157	но в	16	18
158	зависимости от	2	18
159	в каком	4	18
160	что с	4	18
161	на самом	8	18
162	но не	5	18
163	действующих лиц	1	18
164	и есть	1	18
165	был бы	1	18
166	перед нами	1	18
167	в виду	6	17
168	во всяком	8	17
169	полагает что	1	17
170	иначе говоря	1	17
171	время как	2	17
172	что для	4	17
173	из этих	7	17
174	но это	9	17
175	одна из	1	17
176	только не	2	17
177	у нас	12	17
178	и о	4	17
179	и к	5	16
180	из которых	1	16
181	к этому	4	16
182	обратиться к	1	16
183	говорит о	5	16
184	то это	3	16
185	самого начала	3	16
186	с самого	4	16
187	в таком	4	16
188	же как	5	16
189	и тем	3	16
190	не имеет	5	16
191	так и	15	16
192	от того	1	16
193	в результате	5	15
194	в них	2	15
195	только на	1	15
196	что именно	2	15
197	во всех	8	15
198	как говорит	3	15
199	о которых	3	15
200	не могут	2	15
201	и так	3	15
202	о котором	2	15
203	и потому	3	15
204	в зависимости	2	15
205	не просто	2	15
206	которых мы	1	15
207	утверждает что	1	15
208	далеко не	1	15
209	еще не	4	15
210	для него	10	15
211	в частности	6	15
212	хотя бы	8	14
213	но он	5	14
214	очевидно что	1	14
215	и той	1	14
216	то время	2	14
217	это и	5	14
218	это только	1	14
219	того как	8	14
220	прежде всего	11	14
221	такой же	6	14
222	что на	3	14
223	те же	1	14
224	при таком	2	14
225	не то	1	14
226	этих двух	4	14
227	бы в	2	14
228	столь же	5	14
229	показывает что	1	14
230	должна быть	3	14
231	в стихе	1	14
232	всяком случае	8	14
233	этом отношении	13	14
234	с той	3	14
235	или в	1	14
236	к которым	1	14
237	по существу	3	14
238	есть только	2	14
239	в области	16	14
240	факт что	6	14
241	именно в	8	13
242	не могли	1	13
243	точка зрения	1	13
244	а с	6	13
245	могла бы	1	13
246	с такой	1	13
247	этот вопрос	6	13
248	в той	9	13
249	речь идет	6	13
250	едва ли	1	13
251	и он	2	13
252	указывает что	1	13
253	могло бы	3	13
254	как он	3	13
255	должен был	5	13
256	со стороны	7	13
257	и другие	3	12
258	в этих	5	12
259	их в	2	12
260	не менее	8	12
261	в основу	5	12
262	того же	4	12
263	я не	13	12
264	тогда когда	1	12
265	сам по	1	12
266	совершенно правильно	1	12
267	и уже	3	12
268	тот факт	5	12
269	но если	5	12
270	и этот	1	12
271	и другое	1	12
272	идет о	3	12
273	это в	4	12
274	конце концов	2	12
275	и очень	5	12
276	и с	6	12
277	например в	8	12
278	что по	1	12
279	что этот	3	12
280	что его	1	12
281	что не	3	12
282	что самое	1	12
283	и до	2	12
284	характера и	1	12
285	ничего не	6	12
286	в поэзии	1	12
287	об этом	9	12
288	что эти	1	12
289	так например	12	11
290	конечно не	2	11
291	не было	7	11
292	о смерти	1	11
293	не будет	1	11
294	и сейчас	6	11
295	была бы	10	11
296	поэзии и	3	11
297	сравнению с	1	11
298	оба эти	4	11
299	по сравнению	1	11
300	на этот	5	11
301	как к	3	11
302	уже в	3	11
303	раз в	4	11
304	на все	2	11
305	бы мы	2	11
306	и других	1	11
307	отличие от	1	11
308	он должен	2	11
309	есть в	2	11
310	исходит из	1	11
311	по поводу	13	11
312	его в	4	11
313	были бы	2	11
314	и из	1	11
315	у шекспира	3	11
316	этого слова	2	11
317	с его	3	11
318	с но	1	11
319	думать что	2	11
320	на это	2	11
321	но совершенно	1	11
322	в другом	5	10
323	трагедии и	1	10
324	в тех	5	10
325	не так	2	10
326	том и	1	10
327	сами по	2	10
328	именно на	1	10
329	данном случае	7	10
330	в их	3	10
331	что ни	2	10
332	с теми	1	10
333	в одной	3	10
334	от него	1	10
335	отличается от	2	10
336	в данном	16	10
337	по мнению	4	10
338	тому же	2	10
339	и у	2	10
340	но как	1	10
341	совсем не	3	10
342	надо сказать	2	10
343	и от	2	10
344	представить себе	1	10
345	мы в	1	10
346	не является	5	10
347	ее в	2	10
348	материала и	2	10
349	это было	2	10
350	и их	3	10
351	но что	2	9
352	вопрос о	9	9
353	на него	3	9
354	внимание на	5	9
355	что трагедия	3	9
356	и говорит	1	9
357	в чем	4	9
358	и та	1	9
359	бы не	2	9
360	его и	1	9
361	из его	3	9
362	на основании	2	9
363	в отличие	1	9
364	ответ на	4	9
365	в виде	3	9
366	совершенно точно	1	9
367	по своему	2	9
368	по его	5	9
369	на его	2	9
370	и по	6	9
371	оказывается что	1	9
372	тем самым	2	9
373	которые не	3	9
374	о чем	4	9
375	точно так	2	9
376	но все	9	9
377	мысль о	2	9
378	роль в	1	9
379	можно сказать	2	9
380	и другой	1	9
381	то как	1	9
382	во внимание	2	9
383	и именно	2	9
384	ту же	1	9
385	мысль что	1	9
386	каждого из	3	9
387	который не	3	9
388	по этому	5	9
389	должен быть	3	9
390	том случае	1	9
391	не к	2	9
392	из двух	3	8
393	что форма	1	8
394	со всей	1	8
395	себе и	1	8
396	чтобы показать	1	8
397	в сознании	2	8
398	будто бы	4	8
399	в москву	1	8
400	одно и	1	8
401	и тот	1	8
402	в общем	2	8
403	и конечно	1	8
404	ни на	3	8
405	что же	6	8
406	он в	1	8
407	тем же	3	8
408	такое же	2	8
409	о нем	1	8
410	смысле этого	2	8
411	в такой	2	8
412	бы совершенно	1	8
413	и таким	1	8
414	и вообще	5	8
415	образом мы	1	8
416	этому поводу	4	8
417	место в	2	8
418	из всех	1	8
419	самое важное	1	8
420	представление о	5	8
421	меньше всего	3	8
422	больше чем	3	8
423	точно и	2	8
424	большей частью	1	8
425	согласиться с	1	8
426	гораздо более	5	8
427	из того	2	8
428	уже давно	1	8
429	именно потому	1	8
430	кажется что	5	8
431	этом смысле	2	8
432	здесь совершенно	3	8
433	во время	5	8
434	к нему	2	8
435	в процессе	3	8
436	из которого	2	8
437	и более	4	8
438	том как	4	8
439	ссылается на	2	8
440	и во	3	8
441	бы и	4	8
442	эти два	1	8
443	в трех	1	8
444	стороны и	1	8
445	только то	1	8
446	еще раз	1	7
447	не как	2	7
448	на которых	1	7
449	и там	1	7
450	от этого	2	7
451	или вернее	1	7
452	и те	4	7
453	ни одного	4	7
454	на том	1	7
455	только при	1	7
456	связи с	3	7
457	мы вправе	1	7
458	больше и	1	7
459	в каждом	3	7
460	что такое	2	7
461	должны быть	4	7
462	что только	2	7
463	для чего	1	7
464	в особенности	1	7
465	принадлежат к	1	7
466	и при	1	7
467	и дает	1	7
468	со всеми	2	7
469	они не	2	7
470	который он	1	7
471	в течение	7	7
472	только один	1	7
473	это имеет	1	7
474	к ним	1	7
475	именно то	1	7
476	не существует	4	7
477	дело и	1	7
478	того или	4	7
479	но при	1	7
480	это можно	3	7
481	же в	1	7
482	все что	1	7
483	к этой	1	7
484	одно из	3	7
485	если он	1	7
486	когда в	1	7
487	которые мы	1	7
488	в руках	2	7
489	в глаза	1	7
490	в нашем	1	7
491	от себя	1	7
492	о ней	1	7
493	время в	1	7
494	в качестве	7	7
495	и эти	2	7
496	видит в	1	7
497	на другой	1	7
498	бы его	1	7
499	и почему	4	7
500	же мы	1	7
501	а как	5	7
502	его мнению	1	7
503	если это	3	7
504	и действительно	1	7
505	себя и	1	7
506	этого материала	1	7
507	этой трагедии	1	7
508	совпадает с	3	7
509	это то	1	7
510	времени и	4	7
511	что здесь	2	7
512	различие между	1	7
513	в полном	1	7
514	здесь в	1	7
515	а на	4	7
516	отказаться от	2	7
517	и которая	1	7
518	дело в	9	7
519	на тему	2	7
520	слова в	1	7
521	смысл этого	2	6
522	даже в	5	6
523	более или	2	6
524	вот что	3	6
525	каким образом	1	6
526	что действие	1	6
527	он был	5	6
528	что вся	1	6
529	что как	3	6
530	к этим	1	6
531	истинный смысл	1	6
532	бы что	3	6
533	в сторону	2	6
534	в русской	4	6
535	за основу	2	6
536	не могла	2	6
537	она была	2	6
538	что есть	1	6
539	образом в	1	6
540	всех этих	2	6
541	смотреть на	2	6
542	смысле слова	1	6
543	таким путем	2	6
544	в отношении	11	6
545	оно не	3	6
546	к его	2	6
547	никто не	4	6
548	да и	4	6
549	в стихах	2	6
550	решительно не	1	6
551	у меня	3	6
552	трагедии в	3	6
553	тех пор	1	6
554	каждой из	1	6
555	и вся	2	6
556	каждый из	1	6
557	на две	1	6
558	только с	4	6
559	нуждается в	2	6
560	материал для	6	6
561	от всех	1	6
562	у всех	1	6
563	на нее	3	6
564	и без	4	6
565	не все	3	6
566	совершенно непонятным	1	6
567	те которые	2	6
568	к ней	1	6
569	своей задачей	1	6
570	которые в	2	6
571	событий и	1	6
572	больше того	1	6
573	еще более	5	6
574	действие и	1	6
575	остановиться на	1	6
576	у пушкина	17	6
577	из нее	3	6
578	почти все	2	6
579	гораздо больше	2	6
580	говорить о	3	6
581	нам что	1	6
582	или менее	2	6
583	для понимания	2	6
584	тем не	4	6
585	что за	1	6
