N	4gram	Bakhtin_fo	EvropaiE
1	в то же время	10	14
2	и в то же	6	8
3	с одной стороны и	2	6
4	с этой точки зрения	1	5
5	так же как и	2	3
6	в той или иной	2	3
7	так же мало как	1	2
8	но в то же	2	2
9	же мало как и	1	2
10	мы говорили в предыдущем	1	1
11	не только в том	1	1
12	дело в том что	2	1
13	в том числе и	4	1
14	той или иной степени	1	1
15	в качестве одной из	1	1
16	одна и та же	2	1
17	одну и ту же	1	1
18	когда дело идет о	1	1
19	в тех случаях когда	1	1
20	и прежде всего в	1	1
21	и для того чтобы	1	1
22	с другой стороны в	1	1
23	в связи с этим	4	1
24	в то время как	2	1
25	плоть от плоти и	1	1
26	одного и того же	6	1
