N	2gram	Vinokur_Vv	slovoVRo
1	и в	35	92
2	и т	45	82
3	т п	5	72
4	может быть	30	59
5	и его	6	59
6	в нем	13	59
7	и не	13	51
8	не только	26	44
9	не может	19	41
10	но и	7	39
11	до конца	3	37
12	литературного языка	1	37
13	в этом	35	36
14	а не	5	34
15	во всех	2	32
16	точки зрения	12	30
17	так и	2	30
18	языка и	15	29
19	могут быть	6	29
20	и др	2	29
21	в его	12	27
22	слова в	1	26
23	языка в	5	25
24	все это	6	25
25	как бы	7	24
26	слова и	1	24
27	слово в	1	24
28	то же	11	23
29	и на	3	22
30	языков и	2	22
31	в сущности	3	21
32	как в	3	21
33	не в	10	21
34	вовсе не	6	21
35	в то	6	20
36	прежде всего	10	19
37	как мы	11	19
38	с ним	1	18
39	как и	7	18
40	язык и	3	18
41	же время	6	18
42	себя в	2	18
43	или иной	3	18
44	таким образом	21	17
45	оно не	1	17
46	и даже	6	17
47	все же	9	17
48	в истории	9	17
49	все эти	3	17
50	при этом	3	16
51	в них	5	16
52	к своему	2	16
53	отличие от	4	16
54	но в	10	16
55	в той	10	15
56	и с	2	15
57	языков в	3	15
58	с точки	4	15
59	той или	3	15
60	только в	16	14
61	в отличие	4	14
62	так сказать	1	14
63	в особенности	4	13
64	отношении к	2	13
65	в слове	3	13
66	иной степени	1	13
67	это не	8	13
68	с другой	8	13
69	рядом с	2	13
70	и для	4	13
71	и к	3	12
72	в отношении	3	12
73	еще не	4	12
74	во всяком	5	12
75	никогда не	3	12
76	и потому	2	12
77	или в	1	12
78	а в	6	12
79	отношение к	3	12
80	один из	6	11
81	в этих	3	11
82	с ними	1	11
83	для него	1	11
84	с одной	4	11
85	языка как	2	11
86	всех его	1	11
87	язык в	3	11
88	на его	1	11
89	одной стороны	4	11
90	слова как	2	11
91	зрения на	1	10
92	в языке	2	10
93	и все	1	10
94	уже не	6	10
95	лишь в	1	10
96	т д	39	10
97	в своем	3	10
98	может не	1	10
99	в том	38	10
100	с другими	1	10
101	языку и	1	10
102	в себе	4	10
103	далеко не	1	10
104	более или	1	9
105	в своей	4	9
106	сказать что	6	9
107	языка а	2	9
108	на почве	5	9
109	этом случае	6	9
110	так как	15	9
111	здесь в	1	9
112	его в	6	9
113	одна из	3	9
114	в их	12	9
115	или менее	1	9
116	и других	3	9
117	языком и	1	9
118	быть и	2	9
119	одним из	5	9
120	и от	1	9
121	но не	9	9
122	к нему	3	9
123	более того	1	9
124	в самом	13	8
125	для нас	1	8
126	не на	1	8
127	не могут	6	8
128	зависимости от	3	8
129	в значительной	3	8
130	установка на	1	8
131	все время	2	8
132	с этим	3	8
133	своему предмету	1	8
134	в зависимости	3	8
135	языка но	2	8
136	человека в	1	8
137	всяком случае	5	8
138	входит в	3	8
139	в одной	1	8
140	человека и	1	8
141	и часто	1	8
142	в ней	3	8
143	во всем	2	7
144	еще более	1	7
145	кроме того	1	7
146	язык как	5	7
147	но все	4	7
148	например в	2	7
149	том что	30	7
150	сливается с	3	7
151	но здесь	1	7
152	автора и	1	7
153	значительной степени	1	7
154	здесь не	3	7
155	того же	3	7
156	мышления и	1	7
157	о слове	1	7
158	у него	1	7
159	не было	2	7
160	связи с	3	7
161	в таком	1	7
162	мы уже	2	7
163	также и	20	7
164	за пределы	1	7
165	жизни и	2	7
166	в целом	5	7
167	что в	13	6
168	и здесь	3	6
169	дело с	9	6
170	в одном	4	6
171	другой стороны	5	6
172	по себе	11	6
173	и язык	1	6
174	конечно и	1	6
175	именно в	8	6
176	единого и	2	6
177	одновременно и	3	6
178	большей или	3	6
179	языка то	1	6
180	можно сказать	4	6
181	в свою	2	6
182	наконец в	1	6
183	говорить о	5	6
184	как к	1	6
185	и прямо	1	6
186	в качестве	8	6
187	слово не	1	6
188	бы и	3	6
189	лежит в	2	6
190	а также	3	6
191	становления и	1	6
192	человек в	1	6
193	на этом	3	6
194	например у	1	6
195	хотя бы	6	6
196	между тем	10	6
197	стороны и	3	6
198	к языку	2	6
199	или меньшей	3	6
200	он в	1	6
201	точку зрения	1	6
202	ничего не	2	6
203	в чисто	4	6
204	должна быть	2	5
205	и при	2	5
206	не как	3	5
207	а затем	2	5
208	в результате	4	5
209	они не	1	5
210	по отношению	4	5
211	вместе с	6	5
212	своего предмета	2	5
213	не менее	9	5
214	о том	16	5
215	его и	1	5
216	в противовес	1	5
217	в данном	11	5
218	и более	1	5
219	мы не	2	5
220	для того	23	5
221	с помощью	2	5
222	только на	3	5
223	языка не	2	5
224	речи в	1	5
225	той же	4	5
226	отношению к	4	5
227	со словом	2	5
228	но он	1	5
229	в дальнейшем	2	5
230	как такового	3	5
231	уже в	5	5
232	на протяжении	2	5
233	хотя и	5	5
234	этом отношении	4	5
235	и этим	1	5
236	с их	5	5
237	слова не	1	5
238	или даже	1	5
239	должен быть	4	5
240	в каждом	4	5
241	а как	5	5
242	не с	3	5
243	системы языка	1	5
244	и сам	3	5
245	меньшей степени	1	5
246	для этого	3	5
247	имеет дело	5	5
248	до сих	7	4
249	по существу	2	4
250	точном смысле	1	4
251	языке и	4	4
252	оно было	1	4
253	в большей	7	4
254	в некоторых	1	4
255	не столько	2	4
256	в виду	5	4
257	слове в	1	4
258	если бы	3	4
259	в точном	1	4
260	слове но	2	4
261	в построении	1	4
262	отношения к	1	4
263	что он	5	4
264	от его	1	4
265	так же	3	4
266	языка так	2	4
267	языка или	2	4
268	которая не	1	4
269	как только	2	4
270	к тому	4	4
271	непосредственно и	1	4
272	дело не	5	4
273	даже и	4	4
274	того чтобы	22	4
275	в другом	3	4
276	случае она	1	4
277	тогда когда	4	4
278	и уже	3	4
279	именно на	2	4
280	с этой	5	4
281	в различных	5	4
282	от других	2	4
283	эта установка	1	4
284	в чем	4	4
285	свою очередь	2	4
286	язык но	2	4
287	в известной	3	4
288	преимущественно в	2	4
289	материал в	1	4
290	и речи	1	4
291	однако в	3	4
292	к предмету	1	4
293	связано с	1	4
294	но это	2	4
295	как сказано	2	4
296	в системе	1	4
297	из них	4	4
298	того что	12	4
299	он должен	1	4
300	истории литературы	3	4
301	что оно	2	4
302	значение в	2	4
303	одной из	4	4
304	том же	2	4
305	быть только	1	4
306	смысле в	2	4
307	как раз	4	4
308	в литературе	1	4
309	что и	5	4
310	в виде	4	4
311	в которой	1	4
312	языку как	1	4
313	здесь как	1	4
314	в атмосфере	1	4
315	и как	9	4
316	же как	3	4
317	следовательно и	2	4
318	в себя	1	4
319	сих пор	7	4
320	именно как	3	4
321	выражение в	2	4
