N	3gram	Ircho_Kome	VelikijI
1	за то что	4	3
2	к тому что	3	3
3	и т д	4	2
4	в том что	13	2
5	а между тем	1	2
6	все тот же	1	2
7	но и в	2	2
8	том что он	4	2
9	и для их	1	1
10	так и в	1	1
11	законы по которым	1	1
12	в этих словах	1	1
13	другой стороны в	1	1
14	вслед за ним	1	1
15	любовь к человеку	1	1
16	в конце концов	4	1
17	но прежде всего	1	1
18	к человеку не	1	1
19	вместе с тем	4	1
20	и во всяком	1	1
21	в общественной жизни	1	1
22	по сравнению с	1	1
23	как и в	2	1
24	все это как	1	1
25	но все же	1	1
26	с другой стороны	6	1
27	хоть и не	5	1
28	и все это	1	1
29	с такой силой	1	1
30	бы то ни	4	1
31	после того как	3	1
32	его не дали	1	1
33	что он был	1	1
34	я думаю что	2	1
