N	3gram	Tiupa_Narr	Komedia
1	в том что	8	29
2	к тому же	4	21
3	в то же	3	16
4	то же время	3	16
5	до сих пор	1	16
6	в самом деле	1	13
7	о том что	6	13
8	в свою очередь	3	10
9	по отношению к	6	9
10	с одной стороны	7	9
11	речь идет о	2	8
12	с другой стороны	4	8
13	обращает на себя	3	7
14	так или иначе	2	7
15	бы то ни	3	7
16	то ни было	3	7
17	на себя внимание	3	7
18	в первую очередь	1	7
19	в отличие от	5	6
20	в том числе	6	6
21	тому же в	1	6
22	в связи с	2	6
23	с точки зрения	2	6
24	лет тому назад	1	6
25	то же самое	1	5
26	в этом отношении	3	5
27	тем не менее	3	5
28	том что он	1	5
29	и тот же	1	4
30	но все же	4	4
31	не в состоянии	1	4
32	независимо от того	1	4
33	можно было бы	2	4
34	то что он	1	3
35	в том же	1	3
36	друг от друга	1	3
37	и столь же	1	3
38	более или менее	2	3
39	друг с другом	1	3
40	в соответствии с	1	3
41	а то и	1	3
42	на протяжении всего	1	3
43	в последние десятилетия	1	3
44	один и тот	1	3
45	не мешает ему	1	3
46	состоит в том	3	3
47	том числе и	4	3
48	мере в какой	1	2
49	и даже не	1	2
50	в конечном счете	2	2
51	в этом смысле	1	2
52	при этом что	1	2
53	с этой точки	1	2
54	по отношению ко	1	2
55	как и в	1	2
56	всю свою жизнь	1	2
57	или может быть	1	2
58	так и в	1	2
59	в первом случае	2	2
60	точно так же	2	2
61	и в то	1	2
62	том что в	1	2
63	не было и	1	2
64	в нем не	1	2
65	в основе своей	4	2
66	себя внимание что	1	2
67	как это было	1	2
68	так и не	2	2
69	этой точки зрения	2	2
70	и тем более	1	2
71	подобно тому как	2	2
72	так же как	2	2
73	только потому что	1	2
74	начала х годов	1	2
75	не только в	2	2
76	как мы видели	1	2
77	тем более что	1	2
78	на фоне которых	1	1
79	следует понимать как	1	1
80	то по крайней	1	1
81	так и для	1	1
82	до нас в	1	1
83	в той мере	1	1
84	в литературе нового	1	1
85	не может быть	5	1
86	одной из этих	1	1
87	исходя из опыта	1	1
88	почти полное забвение	1	1
89	один из них	1	1
90	можно сказать что	4	1
91	здесь не только	1	1
92	во всех его	1	1
93	имеем дело с	1	1
94	литературе нового времени	1	1
95	да и в	1	1
96	до наших дней	1	1
97	в самую суть	1	1
98	не представляется возможным	1	1
99	при этом даже	1	1
100	прежде всего они	1	1
101	чего нельзя сказать	1	1
102	в случае с	1	1
103	этих двух наиболее	1	1
104	далеко не всегда	1	1
105	является ли это	1	1
106	что никогда не	1	1
107	того или иного	2	1
108	как мы уже	1	1
109	совершенно очевидно что	1	1
110	одного и того	1	1
111	событие о котором	1	1
112	то в его	1	1
113	может быть только	1	1
114	сам по себе	1	1
115	из них в	1	1
116	в себе самом	1	1
117	том что именно	1	1
118	не сводится к	2	1
119	по аналогии с	1	1
120	само по себе	1	1
121	это же время	1	1
122	и тем самым	3	1
123	и прежде всего	1	1
124	как будто он	3	1
125	в данном случае	4	1
126	по себе не	1	1
127	той мере в	1	1
128	и того же	1	1
129	в рамках этой	2	1
130	об этом свидетельствует	1	1
131	и не дает	1	1
132	в значительной степени	2	1
133	не мог бы	1	1
134	или хотя бы	1	1
135	а не в	2	1
136	мы имеем дело	2	1
137	может и не	1	1
138	в столь же	1	1
139	какую бы то	1	1
140	той или иной	4	1
141	между людьми и	1	1
142	в это же	1	1
143	не в его	1	1
144	к нему в	1	1
145	в том чтобы	1	1
146	по крайней мере	1	1
147	не имеет значения	1	1
148	не с точки	1	1
149	что у нее	1	1
150	даже не только	2	1
151	это не так	1	1
152	в свое время	1	1
153	следует отметить что	1	1
154	самом деле не	1	1
155	но уже в	1	1
156	отцов и дедов	1	1
157	принадлежат к одному	1	1
158	он не может	1	1
159	во времени и	4	1
160	говорит о своей	1	1
161	не что иное	2	1
162	мы узнаем о	1	1
163	может быть сформулирована	1	1
164	в прошлом году	2	1
165	с другом и	1	1
166	в отрыве от	1	1
167	имело место в	1	1
168	в случае же	1	1
169	зрения одного из	1	1
170	он не мог	1	1
171	же как и	1	1
172	нельзя сказать о	1	1
173	принципиальное различие между	1	1
174	все равно что	1	1
175	что иное как	2	1
176	из многочисленных примеров	1	1
177	самым существенным образом	1	1
178	как уже говорилось	1	1
179	как в случае	1	1
